# d + a > Li6 + g   [d_a__Li6_g]   ref=Trezzi2017
# detailed balance: alpha=1.53053e+10 beta=1.5 gamma=-17.1023  Q=1.47376
# T9                 rate                error
1.000000e-03 4.969000e-30 1.250000e+00
1.018629e-03 7.741111e-30 1.250000e+00
1.037605e-03 1.202672e-29 1.250000e+00
1.056935e-03 1.863401e-29 1.250000e+00
1.076624e-03 2.879300e-29 1.250000e+00
1.096681e-03 4.437056e-29 1.250000e+00
1.117111e-03 6.819242e-29 1.250000e+00
1.137921e-03 1.045241e-28 1.250000e+00
1.159120e-03 1.597872e-28 1.250000e+00
1.180713e-03 2.436231e-28 1.250000e+00
1.202708e-03 3.704691e-28 1.250000e+00
1.225114e-03 5.618862e-28 1.250000e+00
1.247936e-03 8.499895e-28 1.250000e+00
1.271184e-03 1.282489e-27 1.250000e+00
1.294865e-03 1.930075e-27 1.250000e+00
1.318987e-03 2.897220e-27 1.250000e+00
1.343558e-03 4.337919e-27 1.250000e+00
1.368587e-03 6.478579e-27 1.250000e+00
1.394083e-03 9.651227e-27 1.250000e+00
1.420053e-03 1.434154e-26 1.250000e+00
1.446507e-03 2.125813e-26 1.250000e+00
1.473454e-03 3.143235e-26 1.250000e+00
1.500903e-03 4.636141e-26 1.250000e+00
1.528864e-03 6.821353e-26 1.250000e+00
1.557345e-03 1.001208e-25 1.250000e+00
1.586357e-03 1.465967e-25 1.250000e+00
1.615909e-03 2.141293e-25 1.250000e+00
1.646012e-03 3.120223e-25 1.250000e+00
1.676675e-03 4.535852e-25 1.250000e+00
1.707910e-03 6.578121e-25 1.250000e+00
1.739726e-03 9.517447e-25 1.250000e+00
1.772136e-03 1.373791e-24 1.250000e+00
1.805149e-03 1.978373e-24 1.250000e+00
1.838777e-03 2.842426e-24 1.250000e+00
1.873032e-03 4.074455e-24 1.250000e+00
1.907924e-03 5.827136e-24 1.250000e+00
1.943467e-03 8.314803e-24 1.250000e+00
1.979672e-03 1.183766e-23 1.250000e+00
2.016551e-03 1.681523e-23 1.250000e+00
2.054117e-03 2.383246e-23 1.250000e+00
2.092383e-03 3.370310e-23 1.250000e+00
2.131362e-03 4.755669e-23 1.250000e+00
2.171068e-03 6.695765e-23 1.250000e+00
2.211512e-03 9.406791e-23 1.250000e+00
2.252711e-03 1.318686e-22 1.250000e+00
2.294676e-03 1.844616e-22 1.250000e+00
2.337424e-03 2.574785e-22 1.250000e+00
2.380968e-03 3.586349e-22 1.250000e+00
2.425323e-03 4.984785e-22 1.250000e+00
2.470504e-03 6.913989e-22 1.250000e+00
2.516527e-03 9.569850e-22 1.250000e+00
2.563407e-03 1.321849e-21 1.250000e+00
2.611161e-03 1.822068e-21 1.250000e+00
2.659804e-03 2.506451e-21 1.250000e+00
2.709354e-03 3.440900e-21 1.250000e+00
2.759826e-03 4.714208e-21 1.250000e+00
2.811239e-03 6.445776e-21 1.250000e+00
2.863610e-03 8.795844e-21 1.250000e+00
2.916956e-03 1.197903e-20 1.250000e+00
2.971296e-03 1.628220e-20 1.250000e+00
3.026648e-03 2.208809e-20 1.250000e+00
3.083031e-03 2.990627e-20 1.250000e+00
3.140465e-03 4.041379e-20 1.250000e+00
3.198969e-03 5.450857e-20 1.250000e+00
3.258562e-03 7.337912e-20 1.250000e+00
3.319266e-03 9.859554e-20 1.250000e+00
3.381101e-03 1.322280e-19 1.250000e+00
3.444087e-03 1.770011e-19 1.250000e+00
3.508247e-03 2.364934e-19 1.250000e+00
3.573602e-03 3.153969e-19 1.250000e+00
3.640175e-03 4.198512e-19 1.250000e+00
3.707988e-03 5.578761e-19 1.250000e+00
3.777064e-03 7.399271e-19 1.250000e+00
3.847427e-03 9.796107e-19 1.250000e+00
3.919100e-03 1.294601e-18 1.250000e+00
3.992109e-03 1.707816e-18 1.250000e+00
4.066478e-03 2.248915e-18 1.250000e+00
4.142232e-03 2.956224e-18 1.250000e+00
4.219398e-03 3.879170e-18 1.250000e+00
4.298001e-03 5.081394e-18 1.250000e+00
4.378069e-03 6.644688e-18 1.250000e+00
4.459628e-03 8.673995e-18 1.250000e+00
4.542706e-03 1.130373e-17 1.250000e+00
4.627332e-03 1.470576e-17 1.250000e+00
4.713535e-03 1.909949e-17 1.250000e+00
4.801343e-03 2.476450e-17 1.250000e+00
4.890787e-03 3.205649e-17 1.250000e+00
