# d + n > t + g   [d_n__t_g]   ref=Nag06  (analytic, PRIMAT-main.m)
# forward[T9] = With[{T923=T9^(2/3)},(214. T9^0.075+7.42T9)]   uncertainty factor f = 2
# T9                 rate                error
1.000000e-03 1.274791e+02 2.000000e+00
1.018629e-03 1.276558e+02 2.000000e+00
1.037605e-03 1.278328e+02 2.000000e+00
1.056935e-03 1.280100e+02 2.000000e+00
1.076624e-03 1.281875e+02 2.000000e+00
1.096681e-03 1.283652e+02 2.000000e+00
1.117111e-03 1.285432e+02 2.000000e+00
1.137921e-03 1.287214e+02 2.000000e+00
1.159120e-03 1.288998e+02 2.000000e+00
1.180713e-03 1.290785e+02 2.000000e+00
1.202708e-03 1.292575e+02 2.000000e+00
1.225114e-03 1.294367e+02 2.000000e+00
1.247936e-03 1.296162e+02 2.000000e+00
1.271184e-03 1.297959e+02 2.000000e+00
1.294865e-03 1.299759e+02 2.000000e+00
1.318987e-03 1.301561e+02 2.000000e+00
1.343558e-03 1.303366e+02 2.000000e+00
1.368587e-03 1.305173e+02 2.000000e+00
1.394083e-03 1.306983e+02 2.000000e+00
1.420053e-03 1.308795e+02 2.000000e+00
1.446507e-03 1.310610e+02 2.000000e+00
1.473454e-03 1.312427e+02 2.000000e+00
1.500903e-03 1.314247e+02 2.000000e+00
1.528864e-03 1.316070e+02 2.000000e+00
1.557345e-03 1.317895e+02 2.000000e+00
1.586357e-03 1.319722e+02 2.000000e+00
1.615909e-03 1.321553e+02 2.000000e+00
1.646012e-03 1.323385e+02 2.000000e+00
1.676675e-03 1.325221e+02 2.000000e+00
1.707910e-03 1.327059e+02 2.000000e+00
1.739726e-03 1.328899e+02 2.000000e+00
1.772136e-03 1.330742e+02 2.000000e+00
1.805149e-03 1.332588e+02 2.000000e+00
1.838777e-03 1.334436e+02 2.000000e+00
1.873032e-03 1.336287e+02 2.000000e+00
1.907924e-03 1.338141e+02 2.000000e+00
1.943467e-03 1.339997e+02 2.000000e+00
1.979672e-03 1.341856e+02 2.000000e+00
2.016551e-03 1.343717e+02 2.000000e+00
2.054117e-03 1.345581e+02 2.000000e+00
2.092383e-03 1.347448e+02 2.000000e+00
2.131362e-03 1.349317e+02 2.000000e+00
2.171068e-03 1.351189e+02 2.000000e+00
2.211512e-03 1.353063e+02 2.000000e+00
2.252711e-03 1.354941e+02 2.000000e+00
2.294676e-03 1.356820e+02 2.000000e+00
2.337424e-03 1.358703e+02 2.000000e+00
2.380968e-03 1.360588e+02 2.000000e+00
2.425323e-03 1.362476e+02 2.000000e+00
2.470504e-03 1.364366e+02 2.000000e+00
2.516527e-03 1.366260e+02 2.000000e+00
2.563407e-03 1.368156e+02 2.000000e+00
2.611161e-03 1.370054e+02 2.000000e+00
2.659804e-03 1.371955e+02 2.000000e+00
2.709354e-03 1.373859e+02 2.000000e+00
2.759826e-03 1.375766e+02 2.000000e+00
2.811239e-03 1.377675e+02 2.000000e+00
2.863610e-03 1.379587e+02 2.000000e+00
2.916956e-03 1.381502e+02 2.000000e+00
2.971296e-03 1.383420e+02 2.000000e+00
3.026648e-03 1.385340e+02 2.000000e+00
3.083031e-03 1.387263e+02 2.000000e+00
3.140465e-03 1.389188e+02 2.000000e+00
3.198969e-03 1.391117e+02 2.000000e+00
3.258562e-03 1.393048e+02 2.000000e+00
3.319266e-03 1.394982e+02 2.000000e+00
3.381101e-03 1.396919e+02 2.000000e+00
3.444087e-03 1.398858e+02 2.000000e+00
3.508247e-03 1.400800e+02 2.000000e+00
3.573602e-03 1.402745e+02 2.000000e+00
3.640175e-03 1.404693e+02 2.000000e+00
3.707988e-03 1.406644e+02 2.000000e+00
3.777064e-03 1.408597e+02 2.000000e+00
3.847427e-03 1.410553e+02 2.000000e+00
3.919100e-03 1.412512e+02 2.000000e+00
3.992109e-03 1.414474e+02 2.000000e+00
4.066478e-03 1.416438e+02 2.000000e+00
4.142232e-03 1.418406e+02 2.000000e+00
4.219398e-03 1.420376e+02 2.000000e+00
4.298001e-03 1.422349e+02 2.000000e+00
4.378069e-03 1.424325e+02 2.000000e+00
4.459628e-03 1.426303e+02 2.000000e+00
4.542706e-03 1.428285e+02 2.000000e+00
4.627332e-03 1.430269e+02 2.000000e+00
4.713535e-03 1.432257e+02 2.000000e+00
4.801343e-03 1.434247e+02 2.000000e+00
4.890787e-03 1.436240e+02 2.000000e+00
4.981898e-03 1.438236e+02 2.000000e+00
5.074705e-03 1.440234e+02 2.000000e+00
5.169242e-03 1.442236e+02 2.000000e+00
5.265540e-03 1.444240e+02 2.000000e+00
5.363631e-03 1.446248e+02 2.000000e+00
5.463550e-03 1.448258e+02 2.000000e+00
5.565331e-03 1.450271e+02 2.000000e+00
5.669007e-03 1.452288e+02 2.000000e+00
5.774615e-03 1.454307e+02 2.000000e+00
5.882190e-03 1.456329e+02 2.000000e+00
5.991770e-03 1.458354e+02 2.000000e+00
6.103390e-03 1.460381e+02 2.000000e+00
6.217090e-03 1.462412e+02 2.000000e+00
6.332908e-03 1.464446e+02 2.000000e+00
6.450884e-03 1.466483e+02 2.000000e+00
6.571058e-03 1.468523e+02 2.000000e+00
6.693470e-03 1.470565e+02 2.000000e+00
6.818162e-03 1.472611e+02 2.000000e+00
6.945178e-03 1.474660e+02 2.000000e+00
7.074559e-03 1.476711e+02 2.000000e+00
7.206351e-03 1.478766e+02 2.000000e+00
7.340598e-03 1.480824e+02 2.000000e+00
7.477346e-03 1.482885e+02 2.000000e+00
7.616642e-03 1.484948e+02 2.000000e+00
7.758532e-03 1.487015e+02 2.000000e+00
7.903066e-03 1.489085e+02 2.000000e+00
8.050292e-03 1.491158e+02 2.000000e+00
8.200261e-03 1.493234e+02 2.000000e+00
8.353023e-03 1.495313e+02 2.000000e+00
8.508632e-03 1.497395e+02 2.000000e+00
8.667139e-03 1.499480e+02 2.000000e+00
8.828599e-03 1.501569e+02 2.000000e+00
8.993067e-03 1.503660e+02 2.000000e+00
9.160598e-03 1.505754e+02 2.000000e+00
9.331251e-03 1.507852e+02 2.000000e+00
9.505083e-03 1.509953e+02 2.000000e+00
9.682153e-03 1.512057e+02 2.000000e+00
9.862522e-03 1.514164e+02 2.000000e+00
1.004625e-02 1.516274e+02 2.000000e+00
1.023340e-02 1.518387e+02 2.000000e+00
1.042404e-02 1.520504e+02 2.000000e+00
1.061823e-02 1.522623e+02 2.000000e+00
1.081604e-02 1.524746e+02 2.000000e+00
1.101753e-02 1.526872e+02 2.000000e+00
1.122277e-02 1.529001e+02 2.000000e+00
1.143184e-02 1.531134e+02 2.000000e+00
1.164481e-02 1.533270e+02 2.000000e+00
1.186174e-02 1.535408e+02 2.000000e+00
1.208271e-02 1.537551e+02 2.000000e+00
1.230780e-02 1.539696e+02 2.000000e+00
1.253708e-02 1.541845e+02 2.000000e+00
1.277063e-02 1.543997e+02 2.000000e+00
1.300854e-02 1.546152e+02 2.000000e+00
1.325087e-02 1.548310e+02 2.000000e+00
1.349772e-02 1.550472e+02 2.000000e+00
1.374917e-02 1.552637e+02 2.000000e+00
1.400531e-02 1.554806e+02 2.000000e+00
1.426621e-02 1.556977e+02 2.000000e+00
1.453198e-02 1.559152e+02 2.000000e+00
1.480269e-02 1.561331e+02 2.000000e+00
1.507845e-02 1.563513e+02 2.000000e+00
1.535935e-02 1.565698e+02 2.000000e+00
1.564548e-02 1.567886e+02 2.000000e+00
1.593694e-02 1.570078e+02 2.000000e+00
1.623382e-02 1.572274e+02 2.000000e+00
1.653624e-02 1.574473e+02 2.000000e+00
1.684430e-02 1.576675e+02 2.000000e+00
1.715809e-02 1.578881e+02 2.000000e+00
1.747773e-02 1.581090e+02 2.000000e+00
1.780332e-02 1.583302e+02 2.000000e+00
1.813498e-02 1.585518e+02 2.000000e+00
1.847281e-02 1.587738e+02 2.000000e+00
1.881694e-02 1.589961e+02 2.000000e+00
1.916748e-02 1.592188e+02 2.000000e+00
1.952456e-02 1.594418e+02 2.000000e+00
1.988828e-02 1.596652e+02 2.000000e+00
2.025878e-02 1.598889e+02 2.000000e+00
2.063618e-02 1.601130e+02 2.000000e+00
2.102061e-02 1.603374e+02 2.000000e+00
2.141220e-02 1.605622e+02 2.000000e+00
2.181109e-02 1.607874e+02 2.000000e+00
2.221741e-02 1.610129e+02 2.000000e+00
2.263130e-02 1.612388e+02 2.000000e+00
2.305289e-02 1.614650e+02 2.000000e+00
2.348235e-02 1.616917e+02 2.000000e+00
2.391980e-02 1.619187e+02 2.000000e+00
2.436540e-02 1.621460e+02 2.000000e+00
2.481930e-02 1.623738e+02 2.000000e+00
2.528166e-02 1.626019e+02 2.000000e+00
2.575263e-02 1.628303e+02 2.000000e+00
2.623238e-02 1.630592e+02 2.000000e+00
2.672106e-02 1.632884e+02 2.000000e+00
2.721885e-02 1.635181e+02 2.000000e+00
2.772591e-02 1.637481e+02 2.000000e+00
2.824241e-02 1.639784e+02 2.000000e+00
2.876854e-02 1.642092e+02 2.000000e+00
2.930447e-02 1.644404e+02 2.000000e+00
2.985038e-02 1.646719e+02 2.000000e+00
3.040646e-02 1.649039e+02 2.000000e+00
3.097291e-02 1.651362e+02 2.000000e+00
3.154990e-02 1.653689e+02 2.000000e+00
3.213764e-02 1.656020e+02 2.000000e+00
3.273634e-02 1.658355e+02 2.000000e+00
3.334618e-02 1.660695e+02 2.000000e+00
3.396739e-02 1.663038e+02 2.000000e+00
3.460016e-02 1.665385e+02 2.000000e+00
3.524473e-02 1.667736e+02 2.000000e+00
3.590130e-02 1.670092e+02 2.000000e+00
3.657011e-02 1.672451e+02 2.000000e+00
3.725137e-02 1.674815e+02 2.000000e+00
3.794533e-02 1.677183e+02 2.000000e+00
3.865221e-02 1.679554e+02 2.000000e+00
3.937226e-02 1.681931e+02 2.000000e+00
4.010573e-02 1.684311e+02 2.000000e+00
4.085286e-02 1.686695e+02 2.000000e+00
4.161391e-02 1.689084e+02 2.000000e+00
4.238913e-02 1.691477e+02 2.000000e+00
4.317880e-02 1.693875e+02 2.000000e+00
4.398317e-02 1.696276e+02 2.000000e+00
4.480254e-02 1.698683e+02 2.000000e+00
4.563716e-02 1.701093e+02 2.000000e+00
4.648734e-02 1.703508e+02 2.000000e+00
4.735335e-02 1.705927e+02 2.000000e+00
4.823549e-02 1.708351e+02 2.000000e+00
4.913407e-02 1.710779e+02 2.000000e+00
5.004939e-02 1.713212e+02 2.000000e+00
5.098176e-02 1.715649e+02 2.000000e+00
5.193150e-02 1.718091e+02 2.000000e+00
5.289893e-02 1.720538e+02 2.000000e+00
5.388438e-02 1.722989e+02 2.000000e+00
5.488820e-02 1.725445e+02 2.000000e+00
5.591071e-02 1.727905e+02 2.000000e+00
5.695227e-02 1.730370e+02 2.000000e+00
5.801323e-02 1.732840e+02 2.000000e+00
5.909396e-02 1.735315e+02 2.000000e+00
6.019482e-02 1.737794e+02 2.000000e+00
6.131619e-02 1.740279e+02 2.000000e+00
6.245845e-02 1.742768e+02 2.000000e+00
6.362198e-02 1.745262e+02 2.000000e+00
6.480720e-02 1.747761e+02 2.000000e+00
6.601449e-02 1.750265e+02 2.000000e+00
6.724427e-02 1.752774e+02 2.000000e+00
6.849697e-02 1.755288e+02 2.000000e+00
6.977300e-02 1.757808e+02 2.000000e+00
7.107280e-02 1.760332e+02 2.000000e+00
7.239681e-02 1.762861e+02 2.000000e+00
7.374549e-02 1.765396e+02 2.000000e+00
7.511929e-02 1.767936e+02 2.000000e+00
7.651869e-02 1.770481e+02 2.000000e+00
7.794416e-02 1.773032e+02 2.000000e+00
7.939618e-02 1.775587e+02 2.000000e+00
8.087525e-02 1.778149e+02 2.000000e+00
8.238187e-02 1.780715e+02 2.000000e+00
8.391656e-02 1.783288e+02 2.000000e+00
8.547985e-02 1.785865e+02 2.000000e+00
8.707225e-02 1.788449e+02 2.000000e+00
8.869432e-02 1.791038e+02 2.000000e+00
9.034660e-02 1.793632e+02 2.000000e+00
9.202967e-02 1.796232e+02 2.000000e+00
9.374409e-02 1.798838e+02 2.000000e+00
9.549045e-02 1.801450e+02 2.000000e+00
9.726934e-02 1.804068e+02 2.000000e+00
9.908137e-02 1.806692e+02 2.000000e+00
1.009272e-01 1.809321e+02 2.000000e+00
1.028073e-01 1.811957e+02 2.000000e+00
1.047225e-01 1.814598e+02 2.000000e+00
1.066734e-01 1.817246e+02 2.000000e+00
1.086606e-01 1.819900e+02 2.000000e+00
1.106848e-01 1.822560e+02 2.000000e+00
1.127468e-01 1.825226e+02 2.000000e+00
1.148472e-01 1.827899e+02 2.000000e+00
1.169866e-01 1.830578e+02 2.000000e+00
1.191660e-01 1.833264e+02 2.000000e+00
1.213859e-01 1.835956e+02 2.000000e+00
1.236472e-01 1.838654e+02 2.000000e+00
1.259506e-01 1.841360e+02 2.000000e+00
1.282970e-01 1.844072e+02 2.000000e+00
1.306870e-01 1.846790e+02 2.000000e+00
1.331216e-01 1.849516e+02 2.000000e+00
1.356015e-01 1.852248e+02 2.000000e+00
1.381276e-01 1.854988e+02 2.000000e+00
1.407008e-01 1.857734e+02 2.000000e+00
1.433219e-01 1.860487e+02 2.000000e+00
1.459919e-01 1.863248e+02 2.000000e+00
1.487115e-01 1.866016e+02 2.000000e+00
1.514819e-01 1.868791e+02 2.000000e+00
1.543038e-01 1.871574e+02 2.000000e+00
1.571784e-01 1.874364e+02 2.000000e+00
1.601064e-01 1.877162e+02 2.000000e+00
1.630891e-01 1.879967e+02 2.000000e+00
1.661273e-01 1.882780e+02 2.000000e+00
1.692220e-01 1.885601e+02 2.000000e+00
1.723745e-01 1.888429e+02 2.000000e+00
1.755856e-01 1.891266e+02 2.000000e+00
1.788566e-01 1.894110e+02 2.000000e+00
1.821885e-01 1.896963e+02 2.000000e+00
1.855825e-01 1.899824e+02 2.000000e+00
1.890397e-01 1.902693e+02 2.000000e+00
1.925614e-01 1.905571e+02 2.000000e+00
1.961486e-01 1.908457e+02 2.000000e+00
1.998026e-01 1.911352e+02 2.000000e+00
2.035248e-01 1.914255e+02 2.000000e+00
2.073162e-01 1.917167e+02 2.000000e+00
2.111783e-01 1.920088e+02 2.000000e+00
2.151123e-01 1.923018e+02 2.000000e+00
2.191197e-01 1.925957e+02 2.000000e+00
2.232016e-01 1.928906e+02 2.000000e+00
2.273597e-01 1.931863e+02 2.000000e+00
2.315951e-01 1.934831e+02 2.000000e+00
2.359095e-01 1.937807e+02 2.000000e+00
2.403043e-01 1.940793e+02 2.000000e+00
2.447809e-01 1.943789e+02 2.000000e+00
2.493409e-01 1.946795e+02 2.000000e+00
2.539859e-01 1.949811e+02 2.000000e+00
2.587174e-01 1.952837e+02 2.000000e+00
2.635371e-01 1.955873e+02 2.000000e+00
2.684465e-01 1.958920e+02 2.000000e+00
2.734474e-01 1.961977e+02 2.000000e+00
2.785414e-01 1.965045e+02 2.000000e+00
2.837304e-01 1.968123e+02 2.000000e+00
2.890160e-01 1.971213e+02 2.000000e+00
2.944000e-01 1.974313e+02 2.000000e+00
2.998844e-01 1.977425e+02 2.000000e+00
3.054710e-01 1.980548e+02 2.000000e+00
3.111616e-01 1.983682e+02 2.000000e+00
3.169582e-01 1.986829e+02 2.000000e+00
3.228628e-01 1.989986e+02 2.000000e+00
3.288774e-01 1.993156e+02 2.000000e+00
3.350041e-01 1.996338e+02 2.000000e+00
3.412449e-01 1.999532e+02 2.000000e+00
3.476019e-01 2.002739e+02 2.000000e+00
3.540774e-01 2.005958e+02 2.000000e+00
3.606735e-01 2.009190e+02 2.000000e+00
3.673925e-01 2.012434e+02 2.000000e+00
3.742366e-01 2.015692e+02 2.000000e+00
3.812083e-01 2.018963e+02 2.000000e+00
3.883098e-01 2.022248e+02 2.000000e+00
3.955436e-01 2.025546e+02 2.000000e+00
4.029122e-01 2.028858e+02 2.000000e+00
4.104181e-01 2.032184e+02 2.000000e+00
4.180637e-01 2.035524e+02 2.000000e+00
4.258518e-01 2.038879e+02 2.000000e+00
4.337850e-01 2.042248e+02 2.000000e+00
4.418660e-01 2.045633e+02 2.000000e+00
4.500975e-01 2.049032e+02 2.000000e+00
