# d + d > He3 + n   [ddTOHe3n]   ref=Parthenope3.0 (Pisanti et al 2020 (PIS2020, default))
# Forward rate N_A<sigma v> [cm^3 mol^-1 s^-1] extracted from
# parthenope3.0.f (default PIS2020 nuclear-rate selection).
# error column = sqrt((1+drate_up)/(1+drate_lo)), the full Parthenope
# 1-sigma multiplicative envelope (statistical fp/fm + systematic floor).
# NOTE: lowest 47 T9 points (below the fit validity floor, where
#   the published polynomial extrapolates non-physically) are filled by
#   log-log extrapolation; this region is dynamically frozen for BBN.
# T9                 rate                error
1.000000e-03 5.581295e-44 1.010180e+00
1.018629e-03 2.113942e-43 1.010180e+00
1.037605e-03 8.006654e-43 1.010180e+00
1.056935e-03 3.032557e-42 1.010180e+00
1.076624e-03 1.148596e-41 1.010180e+00
1.096681e-03 4.350361e-41 1.010180e+00
1.117111e-03 1.647720e-40 1.010180e+00
1.137921e-03 6.240814e-40 1.010180e+00
1.159120e-03 2.363739e-39 1.010180e+00
1.180713e-03 8.952773e-39 1.010180e+00
1.202708e-03 3.390903e-38 1.010180e+00
1.225114e-03 1.284321e-37 1.010180e+00
1.247936e-03 4.864428e-37 1.010180e+00
1.271184e-03 1.842425e-36 1.010180e+00
1.294865e-03 6.978270e-36 1.010180e+00
1.318987e-03 2.643053e-35 1.010180e+00
1.343558e-03 1.001069e-34 1.010180e+00
1.368587e-03 3.791594e-34 1.010180e+00
1.394083e-03 1.436085e-33 1.010180e+00
1.420053e-03 5.439238e-33 1.010180e+00
1.446507e-03 2.060137e-32 1.010180e+00
1.473454e-03 7.802867e-32 1.010180e+00
1.500903e-03 2.955373e-31 1.010180e+00
1.528864e-03 1.119361e-30 1.010180e+00
1.557345e-03 4.239633e-30 1.010180e+00
1.586357e-03 1.605781e-29 1.010180e+00
1.615909e-03 6.081972e-29 1.010180e+00
1.646011e-03 2.303576e-28 1.010180e+00
1.676675e-03 8.724901e-28 1.010180e+00
1.707910e-03 3.304598e-27 1.010180e+00
1.739726e-03 1.251632e-26 1.010180e+00
1.772136e-03 4.740616e-26 1.010180e+00
1.805149e-03 1.795531e-25 1.010180e+00
1.838777e-03 6.800657e-25 1.010180e+00
1.873032e-03 2.575781e-24 1.010180e+00
1.907924e-03 9.755891e-24 1.010180e+00
1.943467e-03 3.695091e-23 1.010180e+00
1.979672e-03 1.399533e-22 1.010180e+00
2.016551e-03 5.300797e-22 1.010180e+00
2.054117e-03 2.007702e-21 1.010180e+00
2.092383e-03 7.604266e-21 1.010180e+00
2.131362e-03 2.880151e-20 1.010180e+00
2.171068e-03 1.090871e-19 1.010180e+00
2.211512e-03 4.131726e-19 1.010180e+00
2.252711e-03 1.564910e-18 1.010180e+00
2.294676e-03 5.927173e-18 1.010180e+00
