# d + d > t + p   [ddTOtp]   ref=Parthenope3.0 (Pisanti et al 2020 (PIS2020, default))
# Forward rate N_A<sigma v> [cm^3 mol^-1 s^-1] extracted from
# parthenope3.0.f (default PIS2020 nuclear-rate selection).
# error column = sqrt((1+drate_up)/(1+drate_lo)), the full Parthenope
# 1-sigma multiplicative envelope (statistical fp/fm + systematic floor).
# NOTE: lowest 47 T9 points (below the fit validity floor, where
#   the published polynomial extrapolates non-physically) are filled by
#   log-log extrapolation; this region is dynamically frozen for BBN.
# T9                 rate                error
1.000000e-03 2.859058e-25 1.009883e+00
1.018629e-03 6.143434e-25 1.009883e+00
1.037605e-03 1.320077e-24 1.009883e+00
1.056935e-03 2.836531e-24 1.009883e+00
1.076624e-03 6.095031e-24 1.009883e+00
1.096681e-03 1.309677e-23 1.009883e+00
1.117111e-03 2.814183e-23 1.009883e+00
1.137921e-03 6.047008e-23 1.009883e+00
1.159120e-03 1.299358e-22 1.009883e+00
1.180713e-03 2.792011e-22 1.009883e+00
1.202708e-03 5.999365e-22 1.009883e+00
1.225114e-03 1.289121e-21 1.009883e+00
1.247936e-03 2.770014e-21 1.009883e+00
1.271184e-03 5.952099e-21 1.009883e+00
1.294865e-03 1.278964e-20 1.009883e+00
1.318987e-03 2.748189e-20 1.009883e+00
1.343558e-03 5.905203e-20 1.009883e+00
1.368587e-03 1.268887e-19 1.009883e+00
1.394083e-03 2.726537e-19 1.009883e+00
1.420053e-03 5.858677e-19 1.009883e+00
1.446507e-03 1.258890e-18 1.009883e+00
1.473454e-03 2.705055e-18 1.009883e+00
1.500903e-03 5.812519e-18 1.009883e+00
1.528864e-03 1.248972e-17 1.009883e+00
1.557345e-03 2.683742e-17 1.009883e+00
1.586357e-03 5.766722e-17 1.009883e+00
1.615909e-03 1.239131e-16 1.009883e+00
1.646011e-03 2.662597e-16 1.009883e+00
1.676675e-03 5.721287e-16 1.009883e+00
1.707910e-03 1.229368e-15 1.009883e+00
1.739726e-03 2.641619e-15 1.009883e+00
1.772136e-03 5.676211e-15 1.009883e+00
1.805149e-03 1.219682e-14 1.009883e+00
1.838777e-03 2.620807e-14 1.009883e+00
1.873032e-03 5.631489e-14 1.009883e+00
1.907924e-03 1.210073e-13 1.009883e+00
1.943467e-03 2.600158e-13 1.009883e+00
1.979672e-03 5.587119e-13 1.009883e+00
2.016551e-03 1.200539e-12 1.009883e+00
2.054117e-03 2.579672e-12 1.009883e+00
2.092383e-03 5.543100e-12 1.009883e+00
2.131362e-03 1.191080e-11 1.009883e+00
2.171068e-03 2.559347e-11 1.009883e+00
