# n + p > d + g   [n_p__d_g]   ref=Parthenope3.0 (Serpico et al 2004)
# Forward rate N_A<sigma v> [cm^3 mol^-1 s^-1] extracted from
# parthenope3.0.f (default PIS2020 nuclear-rate selection).
# error column = sqrt((1+drate_up)/(1+drate_lo)), the full Parthenope
# 1-sigma multiplicative envelope (statistical fp/fm + systematic floor).
# T9                 rate                error
1.000000e-03 4.409364e+04 1.001478e+00
1.018629e-03 4.409293e+04 1.001478e+00
1.037605e-03 4.409220e+04 1.001478e+00
1.056935e-03 4.409145e+04 1.001478e+00
1.076624e-03 4.409067e+04 1.001479e+00
1.096681e-03 4.408986e+04 1.001479e+00
1.117111e-03 4.408903e+04 1.001479e+00
1.137921e-03 4.408817e+04 1.001480e+00
1.159120e-03 4.408728e+04 1.001480e+00
1.180713e-03 4.408637e+04 1.001481e+00
1.202708e-03 4.408542e+04 1.001481e+00
1.225114e-03 4.408445e+04 1.001482e+00
1.247936e-03 4.408344e+04 1.001483e+00
1.271184e-03 4.408241e+04 1.001483e+00
1.294865e-03 4.408134e+04 1.001484e+00
1.318987e-03 4.408024e+04 1.001485e+00
1.343558e-03 4.407911e+04 1.001486e+00
1.368587e-03 4.407794e+04 1.001487e+00
1.394083e-03 4.407674e+04 1.001488e+00
1.420053e-03 4.407551e+04 1.001489e+00
1.446507e-03 4.407424e+04 1.001490e+00
1.473454e-03 4.407293e+04 1.001491e+00
1.500903e-03 4.407159e+04 1.001492e+00
1.528864e-03 4.407021e+04 1.001493e+00
1.557345e-03 4.406879e+04 1.001494e+00
1.586357e-03 4.406733e+04 1.001496e+00
1.615909e-03 4.406583e+04 1.001497e+00
1.646011e-03 4.406429e+04 1.001498e+00
1.676675e-03 4.406271e+04 1.001500e+00
1.707910e-03 4.406108e+04 1.001501e+00
1.739726e-03 4.405941e+04 1.001503e+00
1.772136e-03 4.405770e+04 1.001504e+00
1.805149e-03 4.405594e+04 1.001506e+00
1.838777e-03 4.405414e+04 1.001508e+00
1.873032e-03 4.405229e+04 1.001510e+00
1.907924e-03 4.405039e+04 1.001511e+00
1.943467e-03 4.404844e+04 1.001513e+00
1.979672e-03 4.404644e+04 1.001515e+00
2.016551e-03 4.404439e+04 1.001517e+00
2.054117e-03 4.404229e+04 1.001519e+00
2.092383e-03 4.404013e+04 1.001522e+00
2.131362e-03 4.403793e+04 1.001524e+00
2.171068e-03 4.403566e+04 1.001526e+00
2.211512e-03 4.403334e+04 1.001528e+00
2.252711e-03 4.403097e+04 1.001531e+00
2.294676e-03 4.402853e+04 1.001533e+00
2.337424e-03 4.402604e+04 1.001536e+00
2.380968e-03 4.402348e+04 1.001538e+00
2.425323e-03 4.402086e+04 1.001541e+00
2.470504e-03 4.401818e+04 1.001544e+00
2.516527e-03 4.401544e+04 1.001546e+00
2.563407e-03 4.401263e+04 1.001549e+00
2.611161e-03 4.400975e+04 1.001552e+00
2.659804e-03 4.400681e+04 1.001555e+00
2.709354e-03 4.400379e+04 1.001558e+00
2.759826e-03 4.400071e+04 1.001561e+00
2.811239e-03 4.399755e+04 1.001564e+00
2.863610e-03 4.399433e+04 1.001568e+00
2.916956e-03 4.399102e+04 1.001571e+00
2.971296e-03 4.398764e+04 1.001574e+00
3.026648e-03 4.398419e+04 1.001578e+00
3.083031e-03 4.398065e+04 1.001581e+00
3.140465e-03 4.397703e+04 1.001585e+00
3.198969e-03 4.397334e+04 1.001588e+00
3.258562e-03 4.396956e+04 1.001592e+00
3.319266e-03 4.396569e+04 1.001596e+00
3.381101e-03 4.396174e+04 1.001599e+00
3.444087e-03 4.395770e+04 1.001603e+00
3.508247e-03 4.395357e+04 1.001607e+00
3.573602e-03 4.394935e+04 1.001611e+00
3.640175e-03 4.394504e+04 1.001615e+00
3.707988e-03 4.394063e+04 1.001620e+00
3.777064e-03 4.393612e+04 1.001624e+00
3.847427e-03 4.393152e+04 1.001628e+00
3.919100e-03 4.392682e+04 1.001632e+00
3.992109e-03 4.392202e+04 1.001637e+00
4.066478e-03 4.391711e+04 1.001641e+00
4.142232e-03 4.391210e+04 1.001646e+00
4.219398e-03 4.390698e+04 1.001650e+00
4.298001e-03 4.390175e+04 1.001655e+00
4.378069e-03 4.389641e+04 1.001660e+00
4.459628e-03 4.389096e+04 1.001664e+00
4.542706e-03 4.388539e+04 1.001669e+00
4.627332e-03 4.387971e+04 1.001674e+00
4.713535e-03 4.387391e+04 1.001679e+00
4.801343e-03 4.386798e+04 1.001684e+00
4.890787e-03 4.386194e+04 1.001689e+00
4.981898e-03 4.385577e+04 1.001694e+00
5.074705e-03 4.384947e+04 1.001700e+00
5.169242e-03 4.384304e+04 1.001705e+00
5.265540e-03 4.383648e+04 1.001710e+00
5.363631e-03 4.382978e+04 1.001716e+00
5.463550e-03 4.382295e+04 1.001721e+00
5.565331e-03 4.381598e+04 1.001726e+00
5.669007e-03 4.380887e+04 1.001732e+00
5.774615e-03 4.380161e+04 1.001737e+00
5.882190e-03 4.379421e+04 1.001743e+00
5.991770e-03 4.378666e+04 1.001749e+00
6.103390e-03 4.377896e+04 1.001755e+00
6.217090e-03 4.377110e+04 1.001760e+00
6.332908e-03 4.376309e+04 1.001766e+00
6.450884e-03 4.375492e+04 1.001772e+00
6.571058e-03 4.374659e+04 1.001778e+00
6.693470e-03 4.373809e+04 1.001784e+00
6.818162e-03 4.372943e+04 1.001790e+00
6.945178e-03 4.372059e+04 1.001796e+00
7.074559e-03 4.371159e+04 1.001802e+00
7.206351e-03 4.370241e+04 1.001808e+00
7.340598e-03 4.369305e+04 1.001814e+00
7.477346e-03 4.368351e+04 1.001821e+00
7.616642e-03 4.367378e+04 1.001827e+00
7.758532e-03 4.366387e+04 1.001833e+00
7.903066e-03 4.365377e+04 1.001839e+00
8.050292e-03 4.364347e+04 1.001846e+00
8.200261e-03 4.363298e+04 1.001852e+00
8.353023e-03 4.362228e+04 1.001858e+00
8.508632e-03 4.361139e+04 1.001865e+00
8.667139e-03 4.360029e+04 1.001871e+00
8.828599e-03 4.358898e+04 1.001878e+00
8.993067e-03 4.357745e+04 1.001884e+00
9.160598e-03 4.356571e+04 1.001891e+00
9.331251e-03 4.355376e+04 1.001897e+00
9.505083e-03 4.354157e+04 1.001904e+00
9.682153e-03 4.352916e+04 1.001911e+00
9.862522e-03 4.351653e+04 1.001917e+00
1.004625e-02 4.350365e+04 1.001924e+00
1.023340e-02 4.349054e+04 1.001931e+00
1.042404e-02 4.347719e+04 1.001937e+00
1.061823e-02 4.346360e+04 1.001944e+00
1.081604e-02 4.344975e+04 1.001950e+00
1.101753e-02 4.343566e+04 1.001957e+00
1.122277e-02 4.342130e+04 1.001964e+00
1.143184e-02 4.340669e+04 1.001971e+00
1.164481e-02 4.339182e+04 1.001977e+00
1.186174e-02 4.337667e+04 1.001984e+00
1.208271e-02 4.336125e+04 1.001991e+00
1.230780e-02 4.334556e+04 1.001997e+00
1.253708e-02 4.332959e+04 1.002004e+00
1.277063e-02 4.331333e+04 1.002011e+00
1.300854e-02 4.329679e+04 1.002017e+00
1.325087e-02 4.327995e+04 1.002024e+00
1.349772e-02 4.326281e+04 1.002031e+00
1.374917e-02 4.324537e+04 1.002037e+00
1.400531e-02 4.322763e+04 1.002044e+00
1.426621e-02 4.320958e+04 1.002050e+00
1.453198e-02 4.319121e+04 1.002057e+00
1.480269e-02 4.317252e+04 1.002064e+00
1.507845e-02 4.315351e+04 1.002070e+00
1.535935e-02 4.313417e+04 1.002077e+00
1.564548e-02 4.311449e+04 1.002083e+00
1.593694e-02 4.309448e+04 1.002090e+00
1.623382e-02 4.307413e+04 1.002096e+00
1.653624e-02 4.305343e+04 1.002102e+00
1.684430e-02 4.303237e+04 1.002109e+00
1.715809e-02 4.301096e+04 1.002115e+00
1.747773e-02 4.298919e+04 1.002122e+00
1.780332e-02 4.296705e+04 1.002128e+00
1.813498e-02 4.294454e+04 1.002134e+00
1.847281e-02 4.292165e+04 1.002140e+00
1.881694e-02 4.289838e+04 1.002146e+00
1.916748e-02 4.287472e+04 1.002152e+00
1.952456e-02 4.285067e+04 1.002158e+00
1.988828e-02 4.282622e+04 1.002164e+00
2.025878e-02 4.280137e+04 1.002170e+00
2.063618e-02 4.277611e+04 1.002176e+00
2.102061e-02 4.275043e+04 1.002182e+00
2.141220e-02 4.272434e+04 1.002188e+00
2.181109e-02 4.269782e+04 1.002194e+00
2.221741e-02 4.267088e+04 1.002199e+00
2.263130e-02 4.264349e+04 1.002205e+00
2.305289e-02 4.261567e+04 1.002211e+00
2.348235e-02 4.258740e+04 1.002216e+00
2.391980e-02 4.255868e+04 1.002222e+00
2.436540e-02 4.252950e+04 1.002227e+00
2.481930e-02 4.249986e+04 1.002232e+00
2.528166e-02 4.246975e+04 1.002238e+00
2.575263e-02 4.243917e+04 1.002243e+00
2.623238e-02 4.240810e+04 1.002248e+00
2.672106e-02 4.237655e+04 1.002253e+00
2.721885e-02 4.234451e+04 1.002258e+00
2.772591e-02 4.231197e+04 1.002263e+00
2.824241e-02 4.227893e+04 1.002268e+00
2.876854e-02 4.224538e+04 1.002272e+00
2.930447e-02 4.221131e+04 1.002277e+00
2.985038e-02 4.217672e+04 1.002282e+00
3.040646e-02 4.214161e+04 1.002286e+00
3.097291e-02 4.210596e+04 1.002291e+00
3.154990e-02 4.206978e+04 1.002295e+00
3.213764e-02 4.203305e+04 1.002299e+00
3.273634e-02 4.199577e+04 1.002304e+00
3.334618e-02 4.195793e+04 1.002308e+00
3.396739e-02 4.191954e+04 1.002312e+00
3.460016e-02 4.188057e+04 1.002316e+00
3.524473e-02 4.184103e+04 1.002320e+00
3.590130e-02 4.180091e+04 1.002324e+00
3.657011e-02 4.176021e+04 1.002328e+00
3.725137e-02 4.171891e+04 1.002331e+00
3.794533e-02 4.167702e+04 1.002335e+00
3.865221e-02 4.163452e+04 1.002339e+00
3.937226e-02 4.159141e+04 1.002342e+00
4.010573e-02 4.154769e+04 1.002345e+00
4.085286e-02 4.150334e+04 1.002349e+00
4.161391e-02 4.145837e+04 1.002352e+00
4.238913e-02 4.141277e+04 1.002355e+00
4.317880e-02 4.136653e+04 1.002358e+00
4.398317e-02 4.131964e+04 1.002362e+00
4.480254e-02 4.127210e+04 1.002365e+00
4.563716e-02 4.122391e+04 1.002367e+00
4.648734e-02 4.117506e+04 1.002370e+00
4.735335e-02 4.112554e+04 1.002373e+00
4.823549e-02 4.107535e+04 1.002376e+00
4.913407e-02 4.102448e+04 1.002379e+00
5.004939e-02 4.097292e+04 1.002381e+00
5.098176e-02 4.092068e+04 1.002384e+00
5.193150e-02 4.086774e+04 1.002387e+00
5.289893e-02 4.081411e+04 1.002389e+00
5.388438e-02 4.075977e+04 1.002391e+00
5.488820e-02 4.070472e+04 1.002394e+00
5.591071e-02 4.064896e+04 1.002396e+00
5.695227e-02 4.059248e+04 1.002399e+00
5.801323e-02 4.053527e+04 1.002401e+00
5.909396e-02 4.047734e+04 1.002403e+00
6.019482e-02 4.041867e+04 1.002406e+00
6.131619e-02 4.035926e+04 1.002408e+00
6.245845e-02 4.029911e+04 1.002410e+00
6.362198e-02 4.023822e+04 1.002412e+00
6.480720e-02 4.017657e+04 1.002414e+00
6.601449e-02 4.011417e+04 1.002416e+00
6.724427e-02 4.005101e+04 1.002419e+00
6.849697e-02 3.998708e+04 1.002421e+00
6.977300e-02 3.992239e+04 1.002423e+00
7.107280e-02 3.985694e+04 1.002425e+00
7.239681e-02 3.979070e+04 1.002427e+00
7.374549e-02 3.972369e+04 1.002430e+00
7.511929e-02 3.965590e+04 1.002432e+00
7.651869e-02 3.958733e+04 1.002434e+00
7.794416e-02 3.951798e+04 1.002436e+00
7.939618e-02 3.944783e+04 1.002438e+00
8.087525e-02 3.937690e+04 1.002441e+00
8.238187e-02 3.930517e+04 1.002443e+00
8.391656e-02 3.923265e+04 1.002445e+00
8.547985e-02 3.915933e+04 1.002448e+00
8.707225e-02 3.908522e+04 1.002450e+00
8.869432e-02 3.901031e+04 1.002453e+00
9.034660e-02 3.893459e+04 1.002455e+00
9.202967e-02 3.885808e+04 1.002458e+00
9.374409e-02 3.878076e+04 1.002461e+00
9.549045e-02 3.870264e+04 1.002463e+00
9.726934e-02 3.862372e+04 1.002466e+00
9.908137e-02 3.854400e+04 1.002469e+00
1.009272e-01 3.846348e+04 1.002472e+00
1.028073e-01 3.838216e+04 1.002475e+00
1.047225e-01 3.830003e+04 1.002478e+00
1.066734e-01 3.821711e+04 1.002481e+00
1.086606e-01 3.813339e+04 1.002484e+00
1.106848e-01 3.804888e+04 1.002487e+00
1.127468e-01 3.796357e+04 1.002491e+00
1.148472e-01 3.787747e+04 1.002494e+00
1.169866e-01 3.779058e+04 1.002498e+00
1.191660e-01 3.770291e+04 1.002501e+00
1.213859e-01 3.761445e+04 1.002505e+00
1.236472e-01 3.752522e+04 1.002508e+00
1.259506e-01 3.743522e+04 1.002512e+00
1.282970e-01 3.734444e+04 1.002516e+00
1.306870e-01 3.725290e+04 1.002519e+00
1.331216e-01 3.716061e+04 1.002523e+00
1.356015e-01 3.706756e+04 1.002527e+00
1.381276e-01 3.697376e+04 1.002531e+00
1.407008e-01 3.687922e+04 1.002535e+00
1.433219e-01 3.678394e+04 1.002539e+00
1.459919e-01 3.668794e+04 1.002543e+00
1.487115e-01 3.659122e+04 1.002546e+00
1.514819e-01 3.649379e+04 1.002550e+00
1.543038e-01 3.639566e+04 1.002554e+00
1.571784e-01 3.629683e+04 1.002558e+00
1.601064e-01 3.619731e+04 1.002562e+00
1.630891e-01 3.609712e+04 1.002566e+00
1.661273e-01 3.599627e+04 1.002569e+00
1.692220e-01 3.589476e+04 1.002573e+00
1.723745e-01 3.579261e+04 1.002576e+00
1.755856e-01 3.568983e+04 1.002580e+00
1.788566e-01 3.558643e+04 1.002583e+00
1.821885e-01 3.548243e+04 1.002586e+00
1.855825e-01 3.537783e+04 1.002589e+00
1.890397e-01 3.527265e+04 1.002592e+00
1.925614e-01 3.516691e+04 1.002594e+00
1.961486e-01 3.506061e+04 1.002597e+00
1.998026e-01 3.495378e+04 1.002599e+00
2.035248e-01 3.484643e+04 1.002601e+00
2.073162e-01 3.473857e+04 1.002602e+00
2.111783e-01 3.463023e+04 1.002604e+00
2.151123e-01 3.452141e+04 1.002605e+00
2.191197e-01 3.441215e+04 1.002606e+00
2.232016e-01 3.430245e+04 1.002606e+00
2.273597e-01 3.419233e+04 1.002606e+00
2.315951e-01 3.408182e+04 1.002606e+00
2.359095e-01 3.397093e+04 1.002605e+00
2.403043e-01 3.385968e+04 1.002604e+00
2.447809e-01 3.374810e+04 1.002603e+00
2.493409e-01 3.363620e+04 1.002601e+00
2.539859e-01 3.352401e+04 1.002598e+00
2.587174e-01 3.341155e+04 1.002595e+00
2.635371e-01 3.329884e+04 1.002592e+00
2.684465e-01 3.318591e+04 1.002588e+00
2.734474e-01 3.307278e+04 1.002584e+00
2.785414e-01 3.295947e+04 1.002579e+00
2.837304e-01 3.284601e+04 1.002574e+00
2.890160e-01 3.273242e+04 1.002568e+00
2.944000e-01 3.261874e+04 1.002561e+00
2.998844e-01 3.250498e+04 1.002554e+00
3.054710e-01 3.239118e+04 1.002547e+00
3.111616e-01 3.227735e+04 1.002539e+00
3.169582e-01 3.216354e+04 1.002531e+00
3.228628e-01 3.204976e+04 1.002522e+00
3.288774e-01 3.193605e+04 1.002512e+00
3.350041e-01 3.182243e+04 1.002503e+00
3.412449e-01 3.170894e+04 1.002492e+00
3.476019e-01 3.159560e+04 1.002482e+00
3.540774e-01 3.148244e+04 1.002471e+00
3.606735e-01 3.136950e+04 1.002460e+00
3.673925e-01 3.125681e+04 1.002448e+00
3.742366e-01 3.114439e+04 1.002437e+00
3.812083e-01 3.103229e+04 1.002425e+00
3.883098e-01 3.092052e+04 1.002414e+00
3.955436e-01 3.080913e+04 1.002402e+00
4.029122e-01 3.069814e+04 1.002391e+00
4.104180e-01 3.058760e+04 1.002380e+00
4.180637e-01 3.047753e+04 1.002369e+00
4.258518e-01 3.036796e+04 1.002359e+00
4.337850e-01 3.025894e+04 1.002350e+00
4.418660e-01 3.015048e+04 1.002341e+00
4.500975e-01 3.004264e+04 1.002333e+00
4.584824e-01 2.993544e+04 1.002327e+00
4.670234e-01 2.982892e+04 1.002321e+00
4.757236e-01 2.972310e+04 1.002317e+00
4.845859e-01 2.961803e+04 1.002315e+00
4.936132e-01 2.951375e+04 1.002315e+00
5.028087e-01 2.941028e+04 1.002316e+00
5.121755e-01 2.930765e+04 1.002320e+00
5.217169e-01 2.920592e+04 1.002326e+00
5.314359e-01 2.910510e+04 1.002335e+00
5.413360e-01 2.900523e+04 1.002346e+00
5.514206e-01 2.890636e+04 1.002360e+00
5.616930e-01 2.880851e+04 1.002377e+00
5.721568e-01 2.871171e+04 1.002398e+00
5.828155e-01 2.861601e+04 1.002421e+00
5.936727e-01 2.852143e+04 1.002448e+00
6.047322e-01 2.842802e+04 1.002478e+00
6.159978e-01 2.833579e+04 1.002512e+00
6.274732e-01 2.824480e+04 1.002549e+00
6.391624e-01 2.815506e+04 1.002590e+00
6.510694e-01 2.806662e+04 1.002634e+00
6.631981e-01 2.797951e+04 1.002682e+00
6.755528e-01 2.789375e+04 1.002733e+00
6.881377e-01 2.780939e+04 1.002787e+00
