# p + p + n > d + p   [p_p_n__d_p]   ref=CF88  (analytic, PRIMAT-main.m)
# forward[T9] = With[{T923=T9^(2/3),T913=T9^(1/3)},(1.35*^7*Exp[-3.720/T913]*(1.+0.784*T913+0.346*T923+0.690*T9)/2.3590*^9)]   uncertainty factor f = 3
# T9                 rate                error
1.000000e-03 4.328118e-19 3.000000e+00
1.018629e-03 5.440128e-19 3.000000e+00
1.037605e-03 6.828302e-19 3.000000e+00
1.056935e-03 8.558816e-19 3.000000e+00
1.076624e-03 1.071311e-18 3.000000e+00
1.096681e-03 1.339129e-18 3.000000e+00
1.117111e-03 1.671620e-18 3.000000e+00
1.137921e-03 2.083842e-18 3.000000e+00
1.159120e-03 2.594225e-18 3.000000e+00
1.180713e-03 3.225298e-18 3.000000e+00
1.202708e-03 4.004561e-18 3.000000e+00
1.225114e-03 4.965539e-18 3.000000e+00
1.247936e-03 6.149047e-18 3.000000e+00
1.271184e-03 7.604711e-18 3.000000e+00
1.294865e-03 9.392789e-18 3.000000e+00
1.318987e-03 1.158636e-17 3.000000e+00
1.343558e-03 1.427391e-17 3.000000e+00
1.368587e-03 1.756251e-17 3.000000e+00
1.394083e-03 2.158146e-17 3.000000e+00
1.420053e-03 2.648679e-17 3.000000e+00
1.446507e-03 3.246648e-17 3.000000e+00
1.473454e-03 3.974678e-17 3.000000e+00
1.500903e-03 4.859962e-17 3.000000e+00
1.528864e-03 5.935144e-17 3.000000e+00
1.557345e-03 7.239364e-17 3.000000e+00
1.586357e-03 8.819493e-17 3.000000e+00
1.615909e-03 1.073159e-16 3.000000e+00
1.646012e-03 1.304263e-16 3.000000e+00
1.676675e-03 1.583251e-16 3.000000e+00
1.707910e-03 1.919647e-16 3.000000e+00
1.739726e-03 2.324787e-16 3.000000e+00
1.772136e-03 2.812147e-16 3.000000e+00
1.805149e-03 3.397734e-16 3.000000e+00
1.838777e-03 4.100531e-16 3.000000e+00
1.873032e-03 4.943032e-16 3.000000e+00
1.907924e-03 5.951856e-16 3.000000e+00
1.943467e-03 7.158468e-16 3.000000e+00
1.979672e-03 8.600020e-16 3.000000e+00
2.016551e-03 1.032033e-15 3.000000e+00
2.054117e-03 1.237102e-15 3.000000e+00
2.092383e-03 1.481283e-15 3.000000e+00
2.131362e-03 1.771717e-15 3.000000e+00
2.171068e-03 2.116788e-15 3.000000e+00
2.211512e-03 2.526329e-15 3.000000e+00
2.252711e-03 3.011861e-15 3.000000e+00
2.294676e-03 3.586868e-15 3.000000e+00
2.337424e-03 4.267112e-15 3.000000e+00
2.380968e-03 5.071001e-15 3.000000e+00
2.425323e-03 6.020013e-15 3.000000e+00
2.470504e-03 7.139173e-15 3.000000e+00
2.516527e-03 8.457615e-15 3.000000e+00
2.563407e-03 1.000922e-14 3.000000e+00
2.611161e-03 1.183335e-14 3.000000e+00
2.659804e-03 1.397569e-14 3.000000e+00
2.709354e-03 1.648919e-14 3.000000e+00
2.759826e-03 1.943519e-14 3.000000e+00
2.811239e-03 2.288465e-14 3.000000e+00
2.863610e-03 2.691959e-14 3.000000e+00
2.916956e-03 3.163473e-14 3.000000e+00
2.971296e-03 3.713931e-14 3.000000e+00
3.026648e-03 4.355924e-14 3.000000e+00
3.083031e-03 5.103946e-14 3.000000e+00
3.140465e-03 5.974669e-14 3.000000e+00
3.198969e-03 6.987248e-14 3.000000e+00
3.258562e-03 8.163672e-14 3.000000e+00
3.319266e-03 9.529161e-14 3.000000e+00
3.381101e-03 1.111261e-13 3.000000e+00
3.444087e-03 1.294709e-13 3.000000e+00
3.508247e-03 1.507042e-13 3.000000e+00
3.573602e-03 1.752583e-13 3.000000e+00
3.640175e-03 2.036264e-13 3.000000e+00
3.707988e-03 2.363710e-13 3.000000e+00
3.777064e-03 2.741331e-13 3.000000e+00
3.847427e-03 3.176424e-13 3.000000e+00
3.919100e-03 3.677287e-13 3.000000e+00
3.992109e-03 4.253349e-13 3.000000e+00
4.066478e-03 4.915315e-13 3.000000e+00
4.142232e-03 5.675328e-13 3.000000e+00
4.219398e-03 6.547148e-13 3.000000e+00
4.298001e-03 7.546358e-13 3.000000e+00
4.378069e-03 8.690583e-13 3.000000e+00
4.459628e-03 9.999748e-13 3.000000e+00
4.542706e-03 1.149635e-12 3.000000e+00
4.627332e-03 1.320579e-12 3.000000e+00
4.713535e-03 1.515669e-12 3.000000e+00
4.801343e-03 1.738129e-12 3.000000e+00
4.890787e-03 1.991589e-12 3.000000e+00
4.981898e-03 2.280131e-12 3.000000e+00
5.074705e-03 2.608341e-12 3.000000e+00
5.169242e-03 2.981368e-12 3.000000e+00
5.265540e-03 3.404990e-12 3.000000e+00
5.363631e-03 3.885682e-12 3.000000e+00
5.463550e-03 4.430697e-12 3.000000e+00
5.565331e-03 5.048149e-12 3.000000e+00
5.669007e-03 5.747117e-12 3.000000e+00
5.774615e-03 6.537739e-12 3.000000e+00
5.882190e-03 7.431339e-12 3.000000e+00
5.991770e-03 8.440546e-12 3.000000e+00
6.103390e-03 9.579440e-12 3.000000e+00
6.217090e-03 1.086370e-11 3.000000e+00
6.332908e-03 1.231079e-11 3.000000e+00
6.450884e-03 1.394011e-11 3.000000e+00
6.571058e-03 1.577325e-11 3.000000e+00
6.693470e-03 1.783414e-11 3.000000e+00
6.818162e-03 2.014939e-11 3.000000e+00
6.945178e-03 2.274846e-11 3.000000e+00
7.074559e-03 2.566401e-11 3.000000e+00
7.206351e-03 2.893220e-11 3.000000e+00
7.340598e-03 3.259304e-11 3.000000e+00
7.477346e-03 3.669076e-11 3.000000e+00
7.616642e-03 4.127421e-11 3.000000e+00
7.758532e-03 4.639735e-11 3.000000e+00
7.903066e-03 5.211970e-11 3.000000e+00
8.050292e-03 5.850684e-11 3.000000e+00
8.200261e-03 6.563107e-11 3.000000e+00
8.353023e-03 7.357195e-11 3.000000e+00
8.508632e-03 8.241702e-11 3.000000e+00
8.667139e-03 9.226250e-11 3.000000e+00
8.828599e-03 1.032141e-10 3.000000e+00
8.993067e-03 1.153879e-10 3.000000e+00
9.160598e-03 1.289113e-10 3.000000e+00
9.331251e-03 1.439238e-10 3.000000e+00
9.505083e-03 1.605784e-10 3.000000e+00
9.682153e-03 1.790427e-10 3.000000e+00
9.862522e-03 1.994997e-10 3.000000e+00
1.004625e-02 2.221501e-10 3.000000e+00
1.023340e-02 2.472127e-10 3.000000e+00
1.042404e-02 2.749266e-10 3.000000e+00
1.061823e-02 3.055529e-10 3.000000e+00
1.081604e-02 3.393763e-10 3.000000e+00
1.101753e-02 3.767070e-10 3.000000e+00
1.122277e-02 4.178829e-10 3.000000e+00
1.143184e-02 4.632721e-10 3.000000e+00
1.164481e-02 5.132747e-10 3.000000e+00
1.186174e-02 5.683260e-10 3.000000e+00
