# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: 1f3753971afba7b6
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":true,"format_version":2,"incomplete_decoupling":true,"munuOverTnu":0.0,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":50,"spectral_distortions":true,"y_SZ":0.0}
1.160451812155007198e+07 9.933143470736334191e-01 0.000000000000000000e+00
1.215423456535459310e+07 9.934429320013701270e-01 0.000000000000000000e+00
1.272999157072523609e+07 9.935841959022663206e-01 0.000000000000000000e+00
1.333302270244670287e+07 9.937393783698277305e-01 0.000000000000000000e+00
1.396461996037534624e+07 9.939096709989670986e-01 0.000000000000000000e+00
1.462613654756076634e+07 9.940963368579418535e-01 0.000000000000000000e+00
1.531898976949623041e+07 9.942996361360511015e-01 0.000000000000000000e+00
1.604466407070890814e+07 9.945194426417560685e-01 0.000000000000000000e+00
1.680471421519609168e+07 9.947573545029303466e-01 0.000000000000000000e+00
1.760076861752187833e+07 9.950151763432005803e-01 0.000000000000000000e+00
1.843453283171037212e+07 9.952919796169621414e-01 0.000000000000000000e+00
1.930779320541143045e+07 9.955856263291384955e-01 0.000000000000000000e+00
2.022242070716715232e+07 9.958959396000376385e-01 0.000000000000000000e+00
2.118037493497940898e+07 9.962221090738094809e-01 0.000000000000000000e+00
2.218370831476723030e+07 9.965620700278897681e-01 0.000000000000000000e+00
2.323457049770824239e+07 9.969120354408904650e-01 0.000000000000000000e+00
2.433521296588684618e+07 9.972698480158289636e-01 0.000000000000000000e+00
2.548799385611532256e+07 9.976319766567928182e-01 0.000000000000000000e+00
2.669538301226441562e+07 9.979929759772429021e-01 0.000000000000000000e+00
2.795996727692684904e+07 9.983440840918686998e-01 0.000000000000000000e+00
2.928445603375167400e+07 9.986798527943078208e-01 0.000000000000000000e+00
3.067168701232454926e+07 9.989927131103579772e-01 0.000000000000000000e+00
3.212463236802952364e+07 9.992753141554496787e-01 0.000000000000000000e+00
3.364640504992025346e+07 9.995176925735094198e-01 0.000000000000000000e+00
3.524026547024237365e+07 9.997135984612712800e-01 0.000000000000000000e+00
3.690962848989710957e+07 9.998568138038018693e-01 0.000000000000000000e+00
3.865807073481325805e+07 9.999463354955753225e-01 0.000000000000000000e+00
4.048933825890124589e+07 9.999873408006458853e-01 0.000000000000000000e+00
4.240735457000926137e+07 9.999924517531272317e-01 0.000000000000000000e+00
4.441622903607542068e+07 9.999935257828830304e-01 0.000000000000000000e+00
4.652026568948684633e+07 9.999923570851705357e-01 0.000000000000000000e+00
4.872397244851007313e+07 9.999917662973053512e-01 0.000000000000000000e+00
5.103207077554742992e+07 9.999916058696971533e-01 0.000000000000000000e+00
5.344950579291524738e+07 9.999913142703281688e-01 0.000000000000000000e+00
5.598145687781451643e+07 9.999909165842879588e-01 0.000000000000000000e+00
5.863334875919473916e+07 9.999905235037966911e-01 0.000000000000000000e+00
6.141086314028744400e+07 9.999901296997276701e-01 0.000000000000000000e+00
6.431995087170767039e+07 9.999897121385723509e-01 0.000000000000000000e+00
6.736684470120808482e+07 9.999892710523297090e-01 0.000000000000000000e+00
7.055807262739917636e+07 9.999888106120822240e-01 0.000000000000000000e+00
7.390047188604708016e+07 9.999883305052200688e-01 0.000000000000000000e+00
7.740120359891627729e+07 9.999878299611645316e-01 0.000000000000000000e+00
8.106776811653904617e+07 9.999873092324780277e-01 0.000000000000000000e+00
8.490802108778786659e+07 9.999867688581410841e-01 0.000000000000000000e+00
8.893019029067637026e+07 9.999862103339768327e-01 0.000000000000000000e+00
9.314289326045034826e+07 9.999856361870903543e-01 0.000000000000000000e+00
9.755515575273916125e+07 9.999850488807706661e-01 0.000000000000000000e+00
1.021764310813202858e+08 9.999844513936009260e-01 0.000000000000000000e+00
1.070166203719341457e+08 9.999838475357958334e-01 0.000000000000000000e+00
1.120860937755381018e+08 9.999832416126148704e-01 0.000000000000000000e+00
1.173957126864527911e+08 9.999826404156583193e-01 0.000000000000000000e+00
1.229568530129994899e+08 9.999820534937818861e-01 0.000000000000000000e+00
1.287814295504932255e+08 9.999814897300823846e-01 0.000000000000000000e+00
1.348819215088015497e+08 9.999809585819489088e-01 0.000000000000000000e+00
1.412713992491699457e+08 9.999804735539762346e-01 0.000000000000000000e+00
1.479635522875908911e+08 9.999800517020753787e-01 0.000000000000000000e+00
1.549727186247239113e+08 9.999797126971031735e-01 0.000000000000000000e+00
1.623139154651940763e+08 9.999794805897571637e-01 0.000000000000000000e+00
1.700028713920943439e+08 9.999793806061421098e-01 0.000000000000000000e+00
1.780560600656225383e+08 9.999794512234445598e-01 0.000000000000000000e+00
1.864907355180533528e+08 9.999797314460662223e-01 0.000000000000000000e+00
1.953249691206615865e+08 9.999802726297495337e-01 0.000000000000000000e+00
2.045776883018089235e+08 9.999811341364247541e-01 0.000000000000000000e+00
