# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: 2775acf27a847b5b
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":true,"munuOverTnu":-0.05,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":80,"spectral_distortions":true,"y_SZ":0.0}
1.160451812155007198e+07 9.999972315947788237e-01 0.000000000000000000e+00
1.194445382843508385e+07 9.999971853717534165e-01 0.000000000000000000e+00
1.229434740548801981e+07 9.999971376488822061e-01 0.000000000000000000e+00
1.265449055251050368e+07 9.999970883874728100e-01 0.000000000000000000e+00
1.302518351418111660e+07 9.999970375475366602e-01 0.000000000000000000e+00
1.340673533036361635e+07 9.999969850877518107e-01 0.000000000000000000e+00
1.379946409374797717e+07 9.999969309654250793e-01 0.000000000000000000e+00
1.420369721503815055e+07 9.999968751364552988e-01 0.000000000000000000e+00
1.461977169590851478e+07 9.999968175552931271e-01 0.000000000000000000e+00
1.504803440995584987e+07 9.999967581749019674e-01 0.000000000000000000e+00
1.548884239188134670e+07 9.999966969467182221e-01 0.000000000000000000e+00
1.594256313514404185e+07 9.999966338206088823e-01 0.000000000000000000e+00
1.640957489833307080e+07 9.999965687448297835e-01 0.000000000000000000e+00
1.689026702051510662e+07 9.999965016659814188e-01 0.000000000000000000e+00
1.738504024581887946e+07 9.999964325289647515e-01 0.000000000000000000e+00
1.789430705752837285e+07 9.999963612769354748e-01 0.000000000000000000e+00
1.841849202196240798e+07 9.999962878512556053e-01 0.000000000000000000e+00
1.895803214242760837e+07 9.999962121914456326e-01 0.000000000000000000e+00
1.951337722354025394e+07 9.999961342351345595e-01 0.000000000000000000e+00
2.008499024621973559e+07 9.999960539180073882e-01 0.000000000000000000e+00
2.067334775366751477e+07 9.999959711737518298e-01 0.000000000000000000e+00
2.127894024865204096e+07 9.999958859340030148e-01 0.000000000000000000e+00
2.190227260243212804e+07 9.999957981282857622e-01 0.000000000000000000e+00
2.254386447565865889e+07 9.999957076839544046e-01 0.000000000000000000e+00
2.320425075160592049e+07 9.999956145261292839e-01 0.000000000000000000e+00
2.388398198209420219e+07 9.999955185776302491e-01 0.000000000000000000e+00
2.458362484647430480e+07 9.999954197589044913e-01 0.000000000000000000e+00
2.530376262405800447e+07 9.999953179879491616e-01 0.000000000000000000e+00
2.604499568038682267e+07 9.999952131802255506e-01 0.000000000000000000e+00
2.680794196774604172e+07 9.999951052485640535e-01 0.000000000000000000e+00
2.759323754033992812e+07 9.999949941030555900e-01 0.000000000000000000e+00
2.840153708455819264e+07 9.999948796509267046e-01 0.000000000000000000e+00
2.923351446477630734e+07 9.999947617963945712e-01 0.000000000000000000e+00
3.008986328514331579e+07 9.999946404404945755e-01 0.000000000000000000e+00
3.097129746782724559e+07 9.999945154808774772e-01 0.000000000000000000e+00
3.187855184819832072e+07 9.999943868115663825e-01 0.000000000000000000e+00
3.281238278744807094e+07 9.999942543226698621e-01 0.000000000000000000e+00
3.377356880315344781e+07 9.999941179000390035e-01 0.000000000000000000e+00
3.476291121831235290e+07 9.999939774248660651e-01 0.000000000000000000e+00
3.578123482939223200e+07 9.999938327732137422e-01 0.000000000000000000e+00
3.682938859394711256e+07 9.999936838154726004e-01 0.000000000000000000e+00
