# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: 4ec692021a0ad72c
# fingerprint: {"QED_corrections":false,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":true,"munuOverTnu":0.0,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":80,"spectral_distortions":true,"y_SZ":0.0}
1.160451812155007198e+07 9.999972326590584881e-01 0.000000000000000000e+00
1.194445382843508385e+07 9.999971864408921940e-01 0.000000000000000000e+00
1.229434740548801981e+07 9.999971387226569419e-01 0.000000000000000000e+00
1.265449055251050368e+07 9.999970894656697862e-01 0.000000000000000000e+00
1.302518351418111660e+07 9.999970386299512626e-01 0.000000000000000000e+00
1.340673533036361635e+07 9.999969861741884181e-01 0.000000000000000000e+00
1.379946409374797717e+07 9.999969320556967300e-01 0.000000000000000000e+00
1.420369721503815055e+07 9.999968762303831360e-01 0.000000000000000000e+00
1.461977169590851478e+07 9.999968186527060654e-01 0.000000000000000000e+00
1.504803440995584987e+07 9.999967592756370260e-01 0.000000000000000000e+00
1.548884239188134670e+07 9.999966980506198588e-01 0.000000000000000000e+00
1.594256313514404185e+07 9.999966349275284383e-01 0.000000000000000000e+00
1.640957489833307080e+07 9.999965698546253723e-01 0.000000000000000000e+00
1.689026702051510662e+07 9.999965027785179261e-01 0.000000000000000000e+00
1.738504024581887946e+07 9.999964336441136137e-01 0.000000000000000000e+00
1.789430705752837285e+07 9.999963623945736790e-01 0.000000000000000000e+00
1.841849202196240798e+07 9.999962889712661340e-01 0.000000000000000000e+00
1.895803214242760837e+07 9.999962133137172415e-01 0.000000000000000000e+00
1.951337722354025394e+07 9.999961353595612223e-01 0.000000000000000000e+00
2.008499024621973559e+07 9.999960550444882967e-01 0.000000000000000000e+00
2.067334775366751477e+07 9.999959723021917268e-01 0.000000000000000000e+00
2.127894024865204096e+07 9.999958870643119724e-01 0.000000000000000000e+00
2.190227260243212804e+07 9.999957992603798473e-01 0.000000000000000000e+00
2.254386447565865889e+07 9.999957088177562348e-01 0.000000000000000000e+00
2.320425075160592049e+07 9.999956156615706915e-01 0.000000000000000000e+00
2.388398198209420219e+07 9.999955197146546126e-01 0.000000000000000000e+00
