# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: 551bff84dac003ac
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":true,"munuOverTnu":0.040000000000000015,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":80,"spectral_distortions":true,"y_SZ":0.0}
1.160451812155007198e+07 9.999972331251478774e-01 0.000000000000000000e+00
1.194445382843508385e+07 9.999971869058028595e-01 0.000000000000000000e+00
1.229434740548801981e+07 9.999971391864148629e-01 0.000000000000000000e+00
1.265449055251050368e+07 9.999970899283016079e-01 0.000000000000000000e+00
1.302518351418111660e+07 9.999970390914844076e-01 0.000000000000000000e+00
1.340673533036361635e+07 9.999969866346497538e-01 0.000000000000000000e+00
1.379946409374797717e+07 9.999969325151137900e-01 0.000000000000000000e+00
1.420369721503815055e+07 9.999968766887831206e-01 0.000000000000000000e+00
1.461977169590851478e+07 9.999968191101163972e-01 0.000000000000000000e+00
1.504803440995584987e+07 9.999967597320844614e-01 0.000000000000000000e+00
1.548884239188134670e+07 9.999966985061309321e-01 0.000000000000000000e+00
1.594256313514404185e+07 9.999966353821296838e-01 0.000000000000000000e+00
1.640957489833307080e+07 9.999965703083426583e-01 0.000000000000000000e+00
1.689026702051510662e+07 9.999965032313771207e-01 0.000000000000000000e+00
1.738504024581887946e+07 9.999964340961395859e-01 0.000000000000000000e+00
1.789430705752837285e+07 9.999963628457908538e-01 0.000000000000000000e+00
1.841849202196240798e+07 9.999962894216988252e-01 0.000000000000000000e+00
1.895803214242760837e+07 9.999962137633892079e-01 0.000000000000000000e+00
1.951337722354025394e+07 9.999961358084954455e-01 0.000000000000000000e+00
2.008499024621973559e+07 9.999960554927077583e-01 0.000000000000000000e+00
2.067334775366751477e+07 9.999959727497188533e-01 0.000000000000000000e+00
2.127894024865204096e+07 9.999958875111694123e-01 0.000000000000000000e+00
2.190227260243212804e+07 9.999957997065906934e-01 0.000000000000000000e+00
2.254386447565865889e+07 9.999957092633451339e-01 0.000000000000000000e+00
2.320425075160592049e+07 9.999956161065647331e-01 0.000000000000000000e+00
2.388398198209420219e+07 9.999955201590859932e-01 0.000000000000000000e+00
2.458362484647430480e+07 9.999954213413823068e-01 0.000000000000000000e+00
2.530376262405800447e+07 9.999953195714912368e-01 0.000000000000000000e+00
2.604499568038682267e+07 9.999952147649382450e-01 0.000000000000000000e+00
2.680794196774604172e+07 9.999951068346534244e-01 0.000000000000000000e+00
2.759323754033992812e+07 9.999949956908829041e-01 0.000000000000000000e+00
2.840153708455819264e+07 9.999948812410910381e-01 0.000000000000000000e+00
2.923351446477630734e+07 9.999947633898558230e-01 0.000000000000000000e+00
3.008986328514331579e+07 9.999946420387516577e-01 0.000000000000000000e+00
3.097129746782724559e+07 9.999945170862247767e-01 0.000000000000000000e+00
3.187855184819832072e+07 9.999943884274561379e-01 0.000000000000000000e+00
3.281238278744807094e+07 9.999942559542175369e-01 0.000000000000000000e+00
3.377356880315344781e+07 9.999941195547190631e-01 0.000000000000000000e+00
3.476291121831235290e+07 9.999939791134558886e-01 0.000000000000000000e+00
3.578123482939223200e+07 9.999938345110587212e-01 0.000000000000000000e+00
3.682938859394711256e+07 9.999936856241603556e-01 0.000000000000000000e+00
3.790824633837836981e+07 9.999935323252867603e-01 0.000000000000000000e+00
3.901870748642701656e+07 9.999933744827965709e-01 0.000000000000000000e+00
4.016169780900728703e+07 9.999932119608844205e-01 0.000000000000000000e+00
4.133817019600404054e+07 9.999930446196789724e-01 0.000000000000000000e+00
4.254910545068005472e+07 9.999928723154601906e-01 0.000000000000000000e+00
4.379551310735325515e+07 9.999926949010393695e-01 0.000000000000000000e+00
4.507843227302657813e+07 9.999925122263317867e-01 0.000000000000000000e+00
4.639893249367284775e+07 9.999923241391673878e-01 0.000000000000000000e+00
4.775811464589476585e+07 9.999921304863840232e-01 0.000000000000000000e+00
4.915711185470598191e+07 9.999919311152394297e-01 0.000000000000000000e+00
5.059709043819620460e+07 9.999917258751915838e-01 0.000000000000000000e+00
5.207925087986870110e+07 9.999915146200786253e-01 0.000000000000000000e+00
5.360482882946188748e+07 9.999912972107316556e-01 0.000000000000000000e+00
5.517509613308683038e+07 9.999910735180465027e-01 0.000000000000000000e+00
5.679136189354267716e+07 9.999908434265282198e-01 0.000000000000000000e+00
5.845497356169053912e+07 9.999906068383141999e-01 0.000000000000000000e+00
6.016731805979927629e+07 9.999903636776681370e-01 0.000000000000000000e+00
6.192982293779598922e+07 9.999901138959269575e-01 0.000000000000000000e+00
6.374395756338880956e+07 9.999898574768750770e-01 0.000000000000000000e+00
6.561123434705124050e+07 9.999895944425022387e-01 0.000000000000000000e+00
