# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: 65b1efd0471fc56f
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":true,"munuOverTnu":0.0,"nevo_file":"NEVOPRIMAT_col_1_7_test_copy.csv","nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":80,"spectral_distortions":true,"y_SZ":0.0}
1.160451812155007198e+07 9.999972324484686093e-01 0.000000000000000000e+00
1.194445382843508385e+07 9.999971862273987488e-01 0.000000000000000000e+00
1.229434740548801981e+07 9.999971385063751717e-01 0.000000000000000000e+00
1.265449055251050368e+07 9.999970892467112682e-01 0.000000000000000000e+00
1.302518351418111660e+07 9.999970384084237995e-01 0.000000000000000000e+00
1.340673533036361635e+07 9.999969859501957048e-01 0.000000000000000000e+00
1.379946409374797717e+07 9.999969318293387976e-01 0.000000000000000000e+00
1.420369721503815055e+07 9.999968760017562408e-01 0.000000000000000000e+00
1.461977169590851478e+07 9.999968184219032441e-01 0.000000000000000000e+00
1.504803440995584987e+07 9.999967590427473185e-01 0.000000000000000000e+00
1.548884239188134670e+07 9.999966978157287523e-01 0.000000000000000000e+00
1.594256313514404185e+07 9.999966346907185333e-01 0.000000000000000000e+00
1.640957489833307080e+07 9.999965696159756057e-01 0.000000000000000000e+00
1.689026702051510662e+07 9.999965025381044592e-01 0.000000000000000000e+00
1.738504024581887946e+07 9.999964334020091661e-01 0.000000000000000000e+00
1.789430705752837285e+07 9.999963621508479727e-01 0.000000000000000000e+00
1.841849202196240798e+07 9.999962887259862265e-01 0.000000000000000000e+00
1.895803214242760837e+07 9.999962130669473037e-01 0.000000000000000000e+00
1.951337722354025394e+07 9.999961351113628716e-01 0.000000000000000000e+00
2.008499024621973559e+07 9.999960547949203749e-01 0.000000000000000000e+00
2.067334775366751477e+07 9.999959720513108552e-01 0.000000000000000000e+00
2.127894024865204096e+07 9.999958868121718858e-01 0.000000000000000000e+00
2.190227260243212804e+07 9.999957990070321712e-01 0.000000000000000000e+00
2.254386447565865889e+07 9.999957085632504850e-01 0.000000000000000000e+00
2.320425075160592049e+07 9.999956154059536084e-01 0.000000000000000000e+00
2.388398198209420219e+07 9.999955194579704942e-01 0.000000000000000000e+00
2.458362484647430480e+07 9.999954206397629886e-01 0.000000000000000000e+00
2.530376262405800447e+07 9.999953188693505579e-01 0.000000000000000000e+00
2.604499568038682267e+07 9.999952140622297980e-01 0.000000000000000000e+00
2.680794196774604172e+07 9.999951061312866152e-01 0.000000000000000000e+00
2.759323754033992812e+07 9.999949949866977494e-01 0.000000000000000000e+00
2.840153708455819264e+07 9.999948805358218618e-01 0.000000000000000000e+00
2.923351446477630734e+07 9.999947626830757441e-01 0.000000000000000000e+00
3.008986328514331579e+07 9.999946413297937653e-01 0.000000000000000000e+00
3.097129746782724559e+07 9.999945163740675547e-01 0.000000000000000000e+00
3.187855184819832072e+07 9.999943877105622603e-01 0.000000000000000000e+00
3.281238278744807094e+07 9.999942552303083820e-01 0.000000000000000000e+00
3.377356880315344781e+07 9.999941188204648501e-01 0.000000000000000000e+00
3.476291121831235290e+07 9.999939783640556801e-01 0.000000000000000000e+00
3.578123482939223200e+07 9.999938337396758747e-01 0.000000000000000000e+00
3.682938859394711256e+07 9.999936848211775642e-01 0.000000000000000000e+00
3.790824633837836981e+07 9.999935314773312767e-01 0.000000000000000000e+00
3.901870748642701656e+07 9.999933735714819916e-01 0.000000000000000000e+00
4.016169780900728703e+07 9.999932109612051923e-01 0.000000000000000000e+00
4.133817019600404054e+07 9.999930434979842353e-01 0.000000000000000000e+00
4.254910545068005472e+07 9.999928710269281318e-01 0.000000000000000000e+00
4.379551310735325515e+07 9.999926933865600498e-01 0.000000000000000000e+00
4.507843227302657813e+07 9.999925104087010741e-01 0.000000000000000000e+00
4.639893249367284775e+07 9.999923219184935208e-01 0.000000000000000000e+00
4.775811464589476585e+07 9.999921277345926729e-01 0.000000000000000000e+00
4.915711185470598191e+07 9.999919276695733439e-01 0.000000000000000000e+00
5.059709043819620460e+07 9.999917215305921259e-01 0.000000000000000000e+00
5.207925087986870110e+07 9.999915091203441797e-01 0.000000000000000000e+00
5.360482882946188748e+07 9.999912902383544244e-01 0.000000000000000000e+00
5.517509613308683038e+07 9.999910646826364324e-01 0.000000000000000000e+00
5.679136189354267716e+07 9.999908322517481185e-01 0.000000000000000000e+00
5.845497356169053912e+07 9.999905927472660938e-01 0.000000000000000000e+00
6.016731805979927629e+07 9.999903459766895653e-01 0.000000000000000000e+00
6.192982293779598922e+07 9.999900917567768888e-01 0.000000000000000000e+00
6.374395756338880956e+07 9.999898299173139993e-01 0.000000000000000000e+00
6.561123434705124050e+07 9.999895603052929571e-01 0.000000000000000000e+00
6.753321000289034843e+07 9.999892827894848457e-01 0.000000000000000000e+00
6.951148684645150602e+07 9.999889972653760450e-01 0.000000000000000000e+00
7.154771413053803146e+07 9.999887036604393487e-01 0.000000000000000000e+00
7.364358942016379535e+07 9.999884019397051738e-01 0.000000000000000000e+00
7.580086000778134167e+07 9.999880921116099941e-01 0.000000000000000000e+00
7.802132436996677518e+07 9.999877742340959053e-01 0.000000000000000000e+00
8.030683366677752137e+07 9.999874484209511083e-01 0.000000000000000000e+00
8.265929328502891958e+07 9.999871148483954197e-01 0.000000000000000000e+00
8.508066442678131163e+07 9.999867737619260177e-01 0.000000000000000000e+00
8.757296574435649812e+07 9.999864254834645028e-01 0.000000000000000000e+00
9.013827502325230837e+07 9.999860704188627825e-01 0.000000000000000000e+00
9.277873091435243189e+07 9.999857090658523795e-01 0.000000000000000000e+00
9.549653471688136458e+07 9.999853420225441880e-01 0.000000000000000000e+00
9.829395221358637512e+07 9.999849699966141259e-01 0.000000000000000000e+00
1.011733155596781969e+08 9.999845938153316682e-01 0.000000000000000000e+00
1.041370252271060497e+08 9.999842144366231089e-01 0.000000000000000000e+00
1.071875520057871491e+08 9.999838329613828236e-01 0.000000000000000000e+00
1.103274390634579509e+08 9.999834506472787821e-01 0.000000000000000000e+00
1.135593040658666492e+08 9.999830689243255355e-01 0.000000000000000000e+00
1.168858413590708673e+08 9.999826894125359855e-01 0.000000000000000000e+00
1.203098242156668752e+08 9.999823139419919960e-01 0.000000000000000000e+00
1.238341071468138248e+08 9.999819445757140990e-01 0.000000000000000000e+00
1.274616282819872946e+08 9.999815836357526244e-01 0.000000000000000000e+00
1.311954118184435666e+08 9.999812337329636591e-01 0.000000000000000000e+00
1.350385705424373746e+08 9.999808978009880889e-01 0.000000000000000000e+00
1.389943084242920876e+08 9.999805791350007134e-01 0.000000000000000000e+00
1.430659232894937396e+08 9.999802814358591529e-01 0.000000000000000000e+00
1.472568095680249631e+08 9.999800088603458814e-01 0.000000000000000000e+00
1.515704611242395937e+08 9.999797660782731024e-01 0.000000000000000000e+00
1.560104741696303487e+08 9.999795583372926844e-01 0.000000000000000000e+00
1.605805502609273791e+08 9.999793915363496266e-01 0.000000000000000000e+00
1.652844993860153258e+08 9.999792694714509933e-01 0.000000000000000000e+00
1.701262431402502060e+08 9.999792053329101815e-01 0.000000000000000000e+00
1.751098179958217144e+08 9.999792043907190786e-01 0.000000000000000000e+00
1.802393786668825150e+08 9.999792764947371682e-01 0.000000000000000000e+00
1.855192015732608140e+08 9.999794320956393312e-01 0.000000000000000000e+00
1.909536884056296647e+08 9.999796833212387659e-01 0.000000000000000000e+00
1.965473697951165140e+08 9.999800433919602272e-01 0.000000000000000000e+00
2.023049090904033780e+08 9.999805276447845115e-01 0.000000000000000000e+00
2.082311062454790771e+08 9.999811534759547316e-01 0.000000000000000000e+00
2.143309018212690055e+08 9.999819395623696927e-01 0.000000000000000000e+00
2.206093811044900417e+08 9.999829079850505176e-01 0.000000000000000000e+00
2.270717783471610248e+08 9.999840833806947771e-01 0.000000000000000000e+00
2.337234811302981079e+08 9.999854924614320906e-01 0.000000000000000000e+00
2.405700348554467559e+08 9.999871671944045026e-01 0.000000000000000000e+00
2.476171473677769899e+08 9.999891408662487935e-01 0.000000000000000000e+00
2.548706937146100700e+08 9.999914550753615794e-01 1.990832470889037966e-28
2.623367210433326662e+08 9.999941514741539361e-01 1.150189907829774874e-27
2.700214536427979469e+08 9.999972808686526937e-01 6.333608219819134356e-27
2.779312981323959827e+08 1.000000898944709338e+00 3.328672559209392053e-26
2.860728488031346798e+08 1.000005068201619274e+00 1.672381146480425700e-25
2.944528931151782870e+08 1.000009859248392807e+00 8.037374101839445544e-25
3.030784173564286828e+08 1.000015351502481886e+00 3.701535757270086094e-24
3.119566124668592215e+08 1.000021633596905657e+00 1.634864288510262957e-23
3.210948800334758162e+08 1.000028806589032371e+00 6.935372430628022523e-23
3.305008384608782530e+08 1.000036983077203567e+00 2.828775812354930757e-22
3.401823293225855827e+08 1.000046288711369913e+00 1.110483183570601914e-21
3.501474238984055519e+08 1.000056867143052752e+00 4.200211792794520623e-21
3.604044299033194184e+08 1.000068880614255917e+00 1.532234497509400125e-20
