# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: 70c0bda94a30be14
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":false,"format_version":1,"incomplete_decoupling":true,"munuOverTnu":0.0,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":false,"sampling_nTOp_per_decade":80,"spectral_distortions":true,"y_SZ":0.0}
1.160451812155007198e+07 9.999983095352688034e-01 0.000000000000000000e+00
1.194445382843508385e+07 9.999983093246058719e-01 0.000000000000000000e+00
1.229434740548801981e+07 9.999983091194539764e-01 0.000000000000000000e+00
1.265449055251050368e+07 9.999983089196949892e-01 0.000000000000000000e+00
1.302518351418111660e+07 9.999983087252113378e-01 0.000000000000000000e+00
1.340673533036361635e+07 9.999983085358857826e-01 0.000000000000000000e+00
1.379946409374797717e+07 9.999983083516019722e-01 0.000000000000000000e+00
1.420369721503815055e+07 9.999983081722443323e-01 0.000000000000000000e+00
1.461977169590851478e+07 9.999983079976983991e-01 0.000000000000000000e+00
1.504803440995584987e+07 9.999983078278510407e-01 0.000000000000000000e+00
1.548884239188134670e+07 9.999983076625902356e-01 0.000000000000000000e+00
1.594256313514404185e+07 9.999983075018056278e-01 0.000000000000000000e+00
1.640957489833307080e+07 9.999983073453881932e-01 0.000000000000000000e+00
1.689026702051510662e+07 9.999983071932306844e-01 0.000000000000000000e+00
1.738504024581887946e+07 9.999983070452275191e-01 0.000000000000000000e+00
1.789430705752837285e+07 9.999983069012748915e-01 0.000000000000000000e+00
1.841849202196240798e+07 9.999983067612706611e-01 0.000000000000000000e+00
1.895803214242760837e+07 9.999983066251151298e-01 0.000000000000000000e+00
1.951337722354025394e+07 9.999983064927099319e-01 0.000000000000000000e+00
2.008499024621973559e+07 9.999983063639594771e-01 0.000000000000000000e+00
