# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: 802bec5a74ac282f
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":true,"munuOverTnu":0.010000000000000009,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":80,"spectral_distortions":true,"y_SZ":0.0}
1.160451812155007198e+07 9.999972326181832960e-01 0.000000000000000000e+00
1.194445382843508385e+07 9.999971863975315456e-01 0.000000000000000000e+00
1.229434740548801981e+07 9.999971386769038739e-01 0.000000000000000000e+00
1.265449055251050368e+07 9.999970894176151148e-01 0.000000000000000000e+00
1.302518351418111660e+07 9.999970385796828065e-01 0.000000000000000000e+00
1.340673533036361635e+07 9.999969861217908873e-01 0.000000000000000000e+00
1.379946409374797717e+07 9.999969320012522811e-01 0.000000000000000000e+00
1.420369721503815055e+07 9.999968761739710388e-01 0.000000000000000000e+00
1.461977169590851478e+07 9.999968185944030363e-01 0.000000000000000000e+00
1.504803440995584987e+07 9.999967592155172280e-01 0.000000000000000000e+00
1.548884239188134670e+07 9.999966979887539020e-01 0.000000000000000000e+00
1.594256313514404185e+07 9.999966348639851565e-01 0.000000000000000000e+00
1.640957489833307080e+07 9.999965697894708239e-01 0.000000000000000000e+00
1.689026702051510662e+07 9.999965027118159488e-01 0.000000000000000000e+00
1.738504024581887946e+07 9.999964335759249368e-01 0.000000000000000000e+00
1.789430705752837285e+07 9.999963623249572553e-01 0.000000000000000000e+00
1.841849202196240798e+07 9.999962889002783628e-01 0.000000000000000000e+00
1.895803214242760837e+07 9.999962132414126348e-01 0.000000000000000000e+00
1.951337722354025394e+07 9.999961352859918495e-01 0.000000000000000000e+00
2.008499024621973559e+07 9.999960549697043399e-01 0.000000000000000000e+00
2.067334775366751477e+07 9.999959722262412587e-01 0.000000000000000000e+00
2.127894024865204096e+07 9.999958869872412892e-01 0.000000000000000000e+00
2.190227260243212804e+07 9.999957991822338021e-01 0.000000000000000000e+00
2.254386447565865889e+07 9.999957087385781263e-01 0.000000000000000000e+00
2.320425075160592049e+07 9.999956155814025971e-01 0.000000000000000000e+00
2.388398198209420219e+07 9.999955196335379437e-01 0.000000000000000000e+00
2.458362484647430480e+07 9.999954208154490098e-01 0.000000000000000000e+00
2.530376262405800447e+07 9.999953190451595919e-01 0.000000000000000000e+00
2.604499568038682267e+07 9.999952142381738351e-01 0.000000000000000000e+00
2.680794196774604172e+07 9.999951063073881929e-01 0.000000000000000000e+00
2.759323754033992812e+07 9.999949951629971689e-01 0.000000000000000000e+00
2.840153708455819264e+07 9.999948807123854033e-01 0.000000000000000000e+00
2.923351446477630734e+07 9.999947628600102112e-01 0.000000000000000000e+00
3.008986328514331579e+07 9.999946415072654693e-01 0.000000000000000000e+00
3.097129746782724559e+07 9.999945165523317359e-01 0.000000000000000000e+00
3.187855184819832072e+07 9.999943878900026117e-01 0.000000000000000000e+00
3.281238278744807094e+07 9.999942554114937820e-01 0.000000000000000000e+00
3.377356880315344781e+07 9.999941190042261896e-01 0.000000000000000000e+00
3.476291121831235290e+07 9.999939785515911117e-01 0.000000000000000000e+00
3.578123482939223200e+07 9.999938339326917003e-01 0.000000000000000000e+00
3.682938859394711256e+07 9.999936850220739748e-01 0.000000000000000000e+00
3.790824633837836981e+07 9.999935316894456028e-01 0.000000000000000000e+00
3.901870748642701656e+07 9.999933737994030070e-01 0.000000000000000000e+00
4.016169780900728703e+07 9.999932112111737936e-01 0.000000000000000000e+00
4.133817019600404054e+07 9.999930437783991488e-01 0.000000000000000000e+00
4.254910545068005472e+07 9.999928713489760757e-01 0.000000000000000000e+00
4.379551310735325515e+07 9.999926937649943337e-01 0.000000000000000000e+00
4.507843227302657813e+07 9.999925108627916170e-01 0.000000000000000000e+00
4.639893249367284775e+07 9.999923224731736005e-01 0.000000000000000000e+00
4.775811464589476585e+07 9.999921284218299400e-01 0.000000000000000000e+00
4.915711185470598191e+07 9.999919285299938565e-01 0.000000000000000000e+00
5.059709043819620460e+07 9.999917226153817174e-01 0.000000000000000000e+00
5.207925087986870110e+07 9.999915104934555821e-01 0.000000000000000000e+00
5.360482882946188748e+07 9.999912919790451271e-01 0.000000000000000000e+00
5.517509613308683038e+07 9.999910668883587039e-01 0.000000000000000000e+00
5.679136189354267716e+07 9.999908350414113967e-01 0.000000000000000000e+00
5.845497356169053912e+07 9.999905962648855118e-01 0.000000000000000000e+00
6.016731805979927629e+07 9.999903503954316042e-01 0.000000000000000000e+00
6.192982293779598922e+07 9.999900972834085966e-01 0.000000000000000000e+00
6.374395756338880956e+07 9.999898367970510016e-01 0.000000000000000000e+00
6.561123434705124050e+07 9.999895688270442617e-01 0.000000000000000000e+00
6.753321000289034843e+07 9.999892932914774546e-01 0.000000000000000000e+00
6.951148684645150602e+07 9.999890101411431642e-01 0.000000000000000000e+00
7.154771413053803146e+07 9.999887193651469941e-01 0.000000000000000000e+00
7.364358942016379535e+07 9.999884209967899729e-01 0.000000000000000000e+00
7.580086000778134167e+07 9.999881151196948759e-01 0.000000000000000000e+00
7.802132436996677518e+07 9.999878018741507057e-01 0.000000000000000000e+00
8.030683366677752137e+07 9.999874814636648956e-01 0.000000000000000000e+00
8.265929328502891958e+07 9.999871541617257886e-01 0.000000000000000000e+00
8.508066442678131163e+07 9.999868203187980420e-01 0.000000000000000000e+00
8.757296574435649812e+07 9.999864803695932558e-01 0.000000000000000000e+00
9.013827502325230837e+07 9.999861348406882122e-01 0.000000000000000000e+00
9.277873091435243189e+07 9.999857843585769901e-01 0.000000000000000000e+00
9.549653471688136458e+07 9.999854296582840751e-01 0.000000000000000000e+00
9.829395221358637512e+07 9.999850715926866807e-01 0.000000000000000000e+00
1.011733155596781969e+08 9.999847111427218049e-01 0.000000000000000000e+00
1.041370252271060497e+08 9.999843494286898560e-01 0.000000000000000000e+00
1.071875520057871491e+08 9.999839877228905438e-01 0.000000000000000000e+00
1.103274390634579509e+08 9.999836274638624900e-01 0.000000000000000000e+00
1.135593040658666492e+08 9.999832702725272027e-01 0.000000000000000000e+00
1.168858413590708673e+08 9.999829179705728155e-01 0.000000000000000000e+00
1.203098242156668752e+08 9.999825726014497373e-01 0.000000000000000000e+00
1.238341071468138248e+08 9.999822364543848874e-01 0.000000000000000000e+00
1.274616282819872946e+08 9.999819120918650439e-01 0.000000000000000000e+00
1.311954118184435666e+08 9.999816023810850218e-01 0.000000000000000000e+00
1.350385705424373746e+08 9.999813105298951399e-01 0.000000000000000000e+00
1.389943084242920876e+08 9.999810401278493854e-01 0.000000000000000000e+00
