# T[K] Gamma_pTOn[1/s]
# fingerprint_hash: 4fdc559c1b4cbbf9
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"external_scale_factor":false,"finite_mass_corrections":true,"format_version":2,"incomplete_decoupling":true,"munuOverTnu":0.0,"n_temperature_table":2000,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_grid_file":null,"nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp":200,"spectral_distortions":true,"thermal_corrections":true,"thermal_fingerprint_hash":"c21cbe75255f86fb","y_SZ":0.0}
1.160451812155007198e+07 8.005641953190644568e-61
1.215423456535459310e+07 -3.688413349073618880e-60
1.272999157072523609e+07 -7.481801505654725098e-62
1.333302270244670287e+07 4.031866120661702737e-59
1.396461996037534624e+07 -6.233607504694516801e-59
1.462613654756076634e+07 -2.281842764142495046e-58
1.531898976949623041e+07 1.018266693541183405e-57
1.604466407070890814e+07 7.302081220172027170e-59
1.680471421519609168e+07 -1.127021504274797223e-56
1.760076861752187833e+07 1.696409012190486119e-56
1.843453283171037212e+07 6.499337001607445705e-56
1.930779320541143045e+07 -2.810629708165608225e-55
2.022242070716715232e+07 -3.490432905548599379e-56
2.118037493497940898e+07 3.148918268856549955e-54
2.218370831476723030e+07 -4.613249448147253606e-54
2.323457049770824239e+07 -1.849939773526074904e-53
2.433521296588684618e+07 7.756466892907637866e-53
2.548799385611532256e+07 1.378710413619545889e-53
2.669538301226441562e+07 -8.794083367852876810e-52
2.795996727692684904e+07 1.253579579402755687e-51
2.928445603375167400e+07 5.262133150742839833e-51
3.067168701232454926e+07 -2.140131571016360357e-50
3.212463236802952364e+07 -4.974497451432487981e-51
3.364640504992025346e+07 2.454801493185779994e-49
3.524026547024237365e+07 -3.403669936640387424e-49
3.690962848989710957e+07 -1.495861883035475620e-48
3.865807073481325805e+07 5.903793375773443024e-48
4.048933825890124589e+07 1.702035642154628422e-48
4.240735457000926137e+07 -6.849124617379732355e-47
4.441622903607542068e+07 9.233660996824123105e-47
4.652026568948684633e+07 4.249673317130374652e-46
4.872397244851007313e+07 -1.628297714961616607e-45
5.103207077554742992e+07 -5.623527376735235130e-46
5.344950579291524738e+07 1.910040512534686671e-44
5.598145687781451643e+07 -2.502707093402214081e-44
5.863334875919473916e+07 -1.206597081682525235e-43
6.141086314028744400e+07 4.489998776785050600e-43
6.431995087170767039e+07 1.812548905149651793e-43
