# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: cb61c02a033afbcd
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":false,"munuOverTnu":0.0,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":80,"spectral_distortions":false,"y_SZ":0.0}
1.160451812155007198e+07 9.999972333112111533e-01 0.000000000000000000e+00
1.194445382843508385e+07 9.999971871020572056e-01 0.000000000000000000e+00
1.229434740548801981e+07 9.999971393924756979e-01 0.000000000000000000e+00
1.265449055251050368e+07 9.999970901437964521e-01 0.000000000000000000e+00
1.302518351418111660e+07 9.999970393160517723e-01 0.000000000000000000e+00
1.340673533036361635e+07 9.999969868679402518e-01 0.000000000000000000e+00
1.379946409374797717e+07 9.999969327567896915e-01 0.000000000000000000e+00
1.420369721503815055e+07 9.999968769385177980e-01 0.000000000000000000e+00
1.461977169590851478e+07 9.999968193675949912e-01 0.000000000000000000e+00
1.504803440995584987e+07 9.999967599970034371e-01 0.000000000000000000e+00
1.548884239188134670e+07 9.999966987781974126e-01 0.000000000000000000e+00
1.594256313514404185e+07 9.999966356610615614e-01 0.000000000000000000e+00
1.640957489833307080e+07 9.999965705938685945e-01 0.000000000000000000e+00
1.689026702051510662e+07 9.999965035232357691e-01 0.000000000000000000e+00
1.738504024581887946e+07 9.999964343940797029e-01 0.000000000000000000e+00
1.789430705752837285e+07 9.999963631495711880e-01 0.000000000000000000e+00
1.841849202196240798e+07 9.999962897310870069e-01 0.000000000000000000e+00
1.895803214242760837e+07 9.999962140781623043e-01 0.000000000000000000e+00
1.951337722354025394e+07 9.999961361284392947e-01 0.000000000000000000e+00
2.008499024621973559e+07 9.999960558176163028e-01 0.000000000000000000e+00
2.067334775366751477e+07 9.999959730793948065e-01 0.000000000000000000e+00
2.127894024865204096e+07 9.999958878454222599e-01 0.000000000000000000e+00
2.190227260243212804e+07 9.999958000452371376e-01 0.000000000000000000e+00
2.254386447565865889e+07 9.999957096062077611e-01 0.000000000000000000e+00
2.320425075160592049e+07 9.999956164534707925e-01 0.000000000000000000e+00
2.388398198209420219e+07 9.999955205098649547e-01 0.000000000000000000e+00
2.458362484647430480e+07 9.999954216958623077e-01 0.000000000000000000e+00
2.530376262405800447e+07 9.999953199294935313e-01 0.000000000000000000e+00
2.604499568038682267e+07 9.999952151262678779e-01 0.000000000000000000e+00
2.680794196774604172e+07 9.999951071990857976e-01 0.000000000000000000e+00
2.759323754033992812e+07 9.999949960581421271e-01 0.000000000000000000e+00
2.840153708455819264e+07 9.999948816108172878e-01 0.000000000000000000e+00
2.923351446477630734e+07 9.999947637615558271e-01 0.000000000000000000e+00
3.008986328514331579e+07 9.999946424117271970e-01 0.000000000000000000e+00
3.097129746782724559e+07 9.999945174594681019e-01 0.000000000000000000e+00
3.187855184819832072e+07 9.999943887995006442e-01 0.000000000000000000e+00
3.281238278744807094e+07 9.999942563229271553e-01 0.000000000000000000e+00
3.377356880315344781e+07 9.999941199169970485e-01 0.000000000000000000e+00
3.476291121831235290e+07 9.999939794648432523e-01 0.000000000000000000e+00
3.578123482939223200e+07 9.999938348451965497e-01 0.000000000000000000e+00
3.682938859394711256e+07 9.999936859320677218e-01 0.000000000000000000e+00
3.790824633837836981e+07 9.999935325944157016e-01 0.000000000000000000e+00
3.901870748642701656e+07 9.999933746958007408e-01 0.000000000000000000e+00
4.016169780900728703e+07 9.999932120940411284e-01 0.000000000000000000e+00
4.133817019600404054e+07 9.999930446408863416e-01 0.000000000000000000e+00
4.254910545068005472e+07 9.999928721817302746e-01 0.000000000000000000e+00
4.379551310735325515e+07 9.999926945553885282e-01 0.000000000000000000e+00
4.507843227302657813e+07 9.999925115939720666e-01 0.000000000000000000e+00
4.639893249367284775e+07 9.999923231228917686e-01 0.000000000000000000e+00
4.775811464589476585e+07 9.999921289610298469e-01 0.000000000000000000e+00
4.915711185470598191e+07 9.999919289211204321e-01 0.000000000000000000e+00
5.059709043819620460e+07 9.999917228103820666e-01 0.000000000000000000e+00
5.207925087986870110e+07 9.999915104314376357e-01 0.000000000000000000e+00
5.360482882946188748e+07 9.999912915835672544e-01 0.000000000000000000e+00
5.517509613308683038e+07 9.999910660643253069e-01 0.000000000000000000e+00
5.679136189354267716e+07 9.999908336715486179e-01 0.000000000000000000e+00
5.845497356169053912e+07 9.999905942057827346e-01 0.000000000000000000e+00
6.016731805979927629e+07 9.999903474731365316e-01 0.000000000000000000e+00
6.192982293779598922e+07 9.999900932885706917e-01 0.000000000000000000e+00
6.374395756338880956e+07 9.999898314796152876e-01 0.000000000000000000e+00
6.561123434705124050e+07 9.999895618905032535e-01 0.000000000000000000e+00
6.753321000289034843e+07 9.999892843866974301e-01 0.000000000000000000e+00
6.951148684645150602e+07 9.999889988597878698e-01 0.000000000000000000e+00
7.154771413053803146e+07 9.999887052327232073e-01 0.000000000000000000e+00
7.364358942016379535e+07 9.999884034653491183e-01 0.000000000000000000e+00
7.580086000778134167e+07 9.999880935602252219e-01 0.000000000000000000e+00
7.802132436996677518e+07 9.999877755686957803e-01 0.000000000000000000e+00
8.030683366677752137e+07 9.999874495972023158e-01 0.000000000000000000e+00
8.265929328502891958e+07 9.999871158138405880e-01 0.000000000000000000e+00
8.508066442678131163e+07 9.999867744551775850e-01 0.000000000000000000e+00
8.757296574435649812e+07 9.999864258333600597e-01 0.000000000000000000e+00
9.013827502325230837e+07 9.999860703435822229e-01 0.000000000000000000e+00
9.277873091435243189e+07 9.999857084719809830e-01 0.000000000000000000e+00
9.549653471688136458e+07 9.999853408040747516e-01 0.000000000000000000e+00
9.829395221358637512e+07 9.999849680338678271e-01 0.000000000000000000e+00
1.011733155596781969e+08 9.999845909737855587e-01 0.000000000000000000e+00
1.041370252271060497e+08 9.999842105656181479e-01 0.000000000000000000e+00
1.071875520057871491e+08 9.999838278926918012e-01 0.000000000000000000e+00
1.103274390634579509e+08 9.999834441935051554e-01 0.000000000000000000e+00
1.135593040658666492e+08 9.999830608771025364e-01 0.000000000000000000e+00
1.168858413590708673e+08 9.999826795404918034e-01 0.000000000000000000e+00
1.203098242156668752e+08 9.999823019884412911e-01 0.000000000000000000e+00
1.238341071468138248e+08 9.999819302560339906e-01 0.000000000000000000e+00
1.274616282819872946e+08 9.999815666343933040e-01 0.000000000000000000e+00
1.311954118184435666e+08 9.999812137000435586e-01 0.000000000000000000e+00
1.350385705424373746e+08 9.999808743484108753e-01 0.000000000000000000e+00
1.389943084242920876e+08 9.999805518320307174e-01 0.000000000000000000e+00
1.430659232894937396e+08 9.999802498040822885e-01 0.000000000000000000e+00
1.472568095680249631e+08 9.999799723679366759e-01 0.000000000000000000e+00
1.515704611242395937e+08 9.999797241334784648e-01 0.000000000000000000e+00
1.560104741696303487e+08 9.999795102810353775e-01 0.000000000000000000e+00
1.605805502609273791e+08 9.999793366338437517e-01 0.000000000000000000e+00
1.652844993860153258e+08 9.999792097400701518e-01 0.000000000000000000e+00
1.701262431402502060e+08 9.999791369655235407e-01 0.000000000000000000e+00
1.751098179958217144e+08 9.999791265983115629e-01 0.000000000000000000e+00
1.802393786668825150e+08 9.999791879668339378e-01 0.000000000000000000e+00
1.855192015732608140e+08 9.999793315726713816e-01 0.000000000000000000e+00
1.909536884056296647e+08 9.999795692400968994e-01 0.000000000000000000e+00
1.965473697951165140e+08 9.999799142841536703e-01 0.000000000000000000e+00
2.023049090904033780e+08 9.999803816994743411e-01 0.000000000000000000e+00
2.082311062454790771e+08 9.999809883722645676e-01 0.000000000000000000e+00
2.143309018212690055e+08 9.999817533182422391e-01 0.000000000000000000e+00
2.206093811044900417e+08 9.999826979495717305e-01 0.000000000000000000e+00
2.270717783471610248e+08 9.999838463743170314e-01 0.000000000000000000e+00
2.337234811302981079e+08 9.999852257323336158e-01 0.000000000000000000e+00
2.405700348554467559e+08 9.999868665720417216e-01 0.000000000000000000e+00
2.476171473677769899e+08 9.999888032730904763e-01 0.000000000000000000e+00
2.548706937146100700e+08 9.999910745205873308e-01 1.889557624676452393e-28
2.623367210433326662e+08 9.999937238373010073e-01 1.092226468935737641e-27
2.700214536427979469e+08 9.999968001811071483e-01 6.017805657308045490e-27
2.779312981323959827e+08 1.000000358615970253e+00 3.164625653403124148e-26
2.860728488031346798e+08 1.000004461065900241e+00 1.590501729533020012e-25
2.944528931151782870e+08 1.000009177162740626e+00 7.649376103835907815e-25
3.030784173564286828e+08 1.000014585200352135e+00 3.524799733371337407e-24
3.119566124668592215e+08 1.000020773209960634e+00 1.558046649610129408e-23
3.210948800334758162e+08 1.000027840173762783e+00 6.614089203905575440e-23
3.305008384608782530e+08 1.000035897396730933e+00 2.699570501984432805e-22
3.401823293225855827e+08 1.000045070062748565e+00 1.060551375882748686e-21
3.501474238984055519e+08 1.000055499003464687e+00 4.014624480362447920e-21
3.604044299033194184e+08 1.000067342717188890e+00 1.465834559402506105e-20
3.709618984134646654e+08 1.000080779682932519e+00 5.167610532331074225e-20
3.818286309950104952e+08 1.000096011028536180e+00 1.760699385757609465e-19
3.930136870418622494e+08 1.000113263623452875e+00 5.803439644188979292e-19
4.045263913283039927e+08 1.000132793657701580e+00 1.852224127837007304e-18
4.163763417829000354e+08 1.000154890873924396e+00 5.729302949454411663e-18
4.285734174901039600e+08 1.000179883536688186e+00 1.719065775505240985e-17
4.411277869262718558e+08 1.000208144333697868e+00 5.007700518602197572e-17
4.540499164369260669e+08 1.000240097416643881e+00 1.417434424755277925e-16
4.673505789623640776e+08 1.000276226844211358e+00 3.901588346932512655e-16
4.810408630188527703e+08 1.000317086916175269e+00 1.045204064688279209e-15
4.951321819429209232e+08 1.000363314123088321e+00 2.727226149140619512e-15
5.096362834064487815e+08 1.000415642275170436e+00 6.936394961933291184e-15
5.245652592104764581e+08 1.000474920521016164e+00 1.720934807325455515e-14
5.399315553659272194e+08 1.000542135285618528e+00 4.168038847828209909e-14
5.557479824696080685e+08 1.000618436886299589e+00 9.861620043483314692e-14
5.720277263841720819e+08 1.000705171793800030e+00 2.280972812269497652e-13
5.887843592309185266e+08 1.000803921695487375e+00 5.161158527378219738e-13
6.060318507046331167e+08 1.000916550740701627e+00 1.143202429148194654e-12
6.237845797198551893e+08 1.001045262435666716e+00 2.480475960564443048e-12
6.420573463983147144e+08 1.001192667920096646e+00 5.275493439306136888e-12
6.608653844075227976e+08 1.001361867672758921e+00 1.100475202676766386e-11
6.802243736607878208e+08 1.001556549482595315e+00 2.252951523634874916e-11
7.001504533892848492e+08 1.001781104433330460e+00 4.529339288819411316e-11
7.206602355970234871e+08 1.002040764387914562e+00 8.946998112547806218e-11
7.417708189099742174e+08 1.002341764333956053e+00 1.737471944168343439e-10
7.634998028308640718e+08 1.002691534148324903e+00 3.318827558303711153e-10
7.858653024115747213e+08 1.003098922756962219e+00 6.238724940155663421e-10
8.088859633553140163e+08 1.003574459906610539e+00 1.154670044166062148e-09
8.325809775611968040e+08 1.004130682783725748e+00 2.105083224493838389e-09
8.569700991241761446e+08 1.004782447701065173e+00 3.781917087988604222e-09
8.820736608036700487e+08 1.005547361633655212e+00 6.698179000613680970e-09
9.079125909745934010e+08 1.006446314517534191e+00 1.169953501055569105e-08
9.345084310749771595e+08 1.007503908013819505e+00 2.016014291472511598e-08
9.618833535646533966e+08 1.008749209366315069e+00 3.428254489611645206e-08
9.900601804100320339e+08 1.010216378262924541e+00 5.754862749359823754e-08
1.019062402110335708e+09 1.011945585603252207e+00 9.538983398955791270e-08
1.048914197281219006e+09 1.013983813823443825e+00 1.561652665848841724e-07
1.079640452812016487e+09 1.016386108932333165e+00 2.525752238397207088e-07
1.111266784613485813e+09 1.019216668053091635e+00 4.036663009750470873e-07
1.143819558973324299e+09 1.022550230233389756e+00 6.376422054946365783e-07
1.177325914537234783e+09 1.026473690511489067e+00 9.957514429668210837e-07
1.211813784933942080e+09 1.031087858819847325e+00 1.537590428054075546e-06
1.247311922062922478e+09 1.036509446807307722e+00 2.348247722687819045e-06
1.283849920064341068e+09 1.042873303858659950e+00 3.547814022814990096e-06
1.321458239991118431e+09 1.050334907813024632e+00 5.303898615901885006e-06
1.360168235203776360e+09 1.059073362034864907e+00 7.847972427749110968e-06
1.400012177509135485e+09 1.069295213109163090e+00 1.149648180753612159e-05
1.441023284064728022e+09 1.081235207071755688e+00 1.667787615451700320e-05
1.483235745071326971e+09 1.095164537220759904e+00 2.396721403827226026e-05
1.526684752276691675e+09 1.111392770446010259e+00 3.413010357006376677e-05
1.571406528314249754e+09 1.130273506122583260e+00 4.817840141775017363e-05
1.617438356901275635e+09 1.152210109047025588e+00 6.744084183876630409e-05
1.664818613921616554e+09 1.177662053216749438e+00 9.365260451896514980e-05
1.713586799418937206e+09 1.207152496208673043e+00 1.290694489350043721e-04
1.763783570527214289e+09 1.241275642019309844e+00 1.766127922377112337e-04
1.815450775365811586e+09 1.280709305557034883e+00 2.400562042178439092e-04
1.868631487927488089e+09 1.326217791911284305e+00 3.242620654129303010e-04
1.923370043988390207e+09 1.378671230550171156e+00 4.354895904950198014e-04
1.979712078069975138e+09 1.439055229113166190e+00 5.817879903449559497e-04
2.037704561483635664e+09 1.508485789242248742e+00 7.735034063666949974e-04
2.097395841489860296e+09 1.588225595726897810e+00 1.023930544177306017e-03
2.158835681604428291e+09 1.679707323886041825e+00 1.350154073103795264e-03
2.222075303085304260e+09 1.784544205003020467e+00 1.774109973208946650e-03
2.287167427634904385e+09 1.904566847291362386e+00 2.323967058350559760e-03
2.354166321353172302e+09 2.041842729932049849e+00 3.035858113238048064e-03
2.423127839978229046e+09 2.198716123761460750e+00 3.956097913393821081e-03
2.494109475452268600e+09 2.377822265393789714e+00 5.143916076702882874e-03
2.567170403851538181e+09 2.582152529804788266e+00 6.674991986664895530e-03
2.642371534720295429e+09 2.815089841040386620e+00 8.645792448719611181e-03
2.719775561850031853e+09 3.080445809526433099e+00 1.117891424546567196e-02
2.799447015546083927e+09 3.382546929359637300e+00 1.442989758442049693e-02
2.881452316425378323e+09 3.726278296029369219e+00 1.859538177080116705e-02
2.965859830790022850e+09 4.117156851346071456e+00 2.392319536976972999e-02
3.052739927623100281e+09 4.561444249853135346e+00 3.072495869938755148e-02
3.142165037253938198e+09 5.066206861145454710e+00 3.939088953863022907e-02
3.234209711741948128e+09 5.639457534267579675e+00 5.040846867803307901e-02
3.328950687029297352e+09 6.290251923651917210e+00 6.438432574006985876e-02
3.426466946914258480e+09 7.028856502701161801e+00 8.207140017292686995e-02
3.526839788898484230e+09 7.866913718316216553e+00 1.044014887487155901e-01
3.630152891963314533e+09 8.817567544120590739e+00 1.325229226231763313e-01
3.736492386331355095e+09 9.895767946974974194e+00 1.678491359301945984e-01
3.845946925271603107e+09 1.111845375510724487e+01 2.121134273907155365e-01
3.958607759008128166e+09 1.250478171600699895e+01 2.674343016662867334e-01
4.074568810793635368e+09 1.407655509112838921e+01 3.363982555507763483e-01
4.193926755211558819e+09 1.585847929911453313e+01 4.221518536235783770e-01
4.316781098771873474e+09 1.787860169130840404e+01 5.285153090648602170e-01
4.443234262867848396e+09 2.016872233452465935e+01 6.601138611399054446e-01
4.573391669162797928e+09 2.276503336019526458e+01 8.225413689974380160e-01
4.707361827478274345e+09 2.570860246558956774e+01 1.022542902475629845e+00
4.845256426256653786e+09 2.904612017975583527e+01 1.268239767730038547e+00
