# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: d8f17ae77b80ef36
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":true,"munuOverTnu":-0.009999999999999995,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":80,"spectral_distortions":true,"y_SZ":0.0}
1.160451812155007198e+07 9.999972322784026479e-01 0.000000000000000000e+00
1.194445382843508385e+07 9.999971860569237814e-01 0.000000000000000000e+00
1.229434740548801981e+07 9.999971383355129584e-01 0.000000000000000000e+00
1.265449055251050368e+07 9.999970890754825703e-01 0.000000000000000000e+00
1.302518351418111660e+07 9.999970382368482680e-01 0.000000000000000000e+00
1.340673533036361635e+07 9.999969857782921023e-01 0.000000000000000000e+00
1.379946409374797717e+07 9.999969316571248878e-01 0.000000000000000000e+00
1.420369721503815055e+07 9.999968758292490101e-01 0.000000000000000000e+00
1.461977169590851478e+07 9.999968182491185686e-01 0.000000000000000000e+00
1.504803440995584987e+07 9.999967588697004084e-01 0.000000000000000000e+00
1.548884239188134670e+07 9.999966976424338183e-01 0.000000000000000000e+00
1.594256313514404185e+07 9.999966345171892312e-01 0.000000000000000000e+00
1.640957489833307080e+07 9.999965694422248141e-01 0.000000000000000000e+00
1.689026702051510662e+07 9.999965023641442796e-01 0.000000000000000000e+00
1.738504024581887946e+07 9.999964332278512558e-01 0.000000000000000000e+00
1.789430705752837285e+07 9.999963619765031009e-01 0.000000000000000000e+00
1.841849202196240798e+07 9.999962885514647182e-01 0.000000000000000000e+00
1.895803214242760837e+07 9.999962128922592619e-01 0.000000000000000000e+00
1.951337722354025394e+07 9.999961349365170671e-01 0.000000000000000000e+00
2.008499024621973559e+07 9.999960546199258005e-01 0.000000000000000000e+00
2.067334775366751477e+07 9.999959718761752825e-01 0.000000000000000000e+00
2.127894024865204096e+07 9.999958866369029753e-01 0.000000000000000000e+00
2.190227260243212804e+07 9.999957988316366952e-01 0.000000000000000000e+00
2.254386447565865889e+07 9.999957083877343278e-01 0.000000000000000000e+00
2.320425075160592049e+07 9.999956152303212109e-01 0.000000000000000000e+00
2.388398198209420219e+07 9.999955192822248540e-01 0.000000000000000000e+00
2.458362484647430480e+07 9.999954204639036615e-01 0.000000000000000000e+00
2.530376262405800447e+07 9.999953186933727700e-01 0.000000000000000000e+00
2.604499568038682267e+07 9.999952138861220030e-01 0.000000000000000000e+00
2.680794196774604172e+07 9.999951059550257204e-01 0.000000000000000000e+00
2.759323754033992812e+07 9.999949948102438979e-01 0.000000000000000000e+00
2.840153708455819264e+07 9.999948803591082180e-01 0.000000000000000000e+00
2.923351446477630734e+07 9.999947625059959488e-01 0.000000000000000000e+00
3.008986328514331579e+07 9.999946411521811740e-01 0.000000000000000000e+00
3.097129746782724559e+07 9.999945161956673712e-01 0.000000000000000000e+00
3.187855184819832072e+07 9.999943875309910135e-01 0.000000000000000000e+00
3.281238278744807094e+07 9.999942550489978599e-01 0.000000000000000000e+00
3.377356880315344781e+07 9.999941186365851609e-01 0.000000000000000000e+00
3.476291121831235290e+07 9.999939781764091151e-01 0.000000000000000000e+00
3.578123482939223200e+07 9.999938335465585748e-01 0.000000000000000000e+00
3.682938859394711256e+07 9.999936846201911145e-01 0.000000000000000000e+00
3.790824633837836981e+07 9.999935312651417885e-01 0.000000000000000000e+00
3.901870748642701656e+07 9.999933733435052430e-01 0.000000000000000000e+00
4.016169780900728703e+07 9.999932107112061708e-01 0.000000000000000000e+00
4.133817019600404054e+07 9.999930432175725414e-01 0.000000000000000000e+00
4.254910545068005472e+07 9.999928707049272614e-01 0.000000000000000000e+00
4.379551310735325515e+07 9.999926930082301268e-01 0.000000000000000000e+00
4.507843227302657813e+07 9.999925099547899432e-01 0.000000000000000000e+00
4.639893249367284775e+07 9.999923213640906638e-01 0.000000000000000000e+00
4.775811464589476585e+07 9.999921270477583057e-01 0.000000000000000000e+00
4.915711185470598191e+07 9.999919268097170466e-01 0.000000000000000000e+00
5.059709043819620460e+07 9.999917204465725851e-01 0.000000000000000000e+00
5.207925087986870110e+07 9.999915077482629533e-01 0.000000000000000000e+00
5.360482882946188748e+07 9.999912884990203032e-01 0.000000000000000000e+00
5.517509613308683038e+07 9.999910624786776392e-01 0.000000000000000000e+00
5.679136189354267716e+07 9.999908294643521378e-01 0.000000000000000000e+00
5.845497356169053912e+07 9.999905892325336998e-01 0.000000000000000000e+00
6.016731805979927629e+07 9.999903415615909452e-01 0.000000000000000000e+00
6.192982293779598922e+07 9.999900862347070873e-01 0.000000000000000000e+00
6.374395756338880956e+07 9.999898230432456847e-01 0.000000000000000000e+00
6.561123434705124050e+07 9.999895517905369458e-01 0.000000000000000000e+00
6.753321000289034843e+07 9.999892722960670444e-01 0.000000000000000000e+00
