# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: e3575556baf943b6
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.0001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":true,"munuOverTnu":0.0,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp":200,"spectral_distortions":true,"y_SZ":0.0}
1.160451812155007152e+06 9.922425260674078151e-01 0.000000000000000000e+00
1.229568530129994964e+06 9.922453528780441623e-01 0.000000000000000000e+00
1.302801852218650747e+06 9.922464619189156343e-01 0.000000000000000000e+00
1.380396964100005105e+06 9.922455195421968632e-01 0.000000000000000000e+00
1.462613654756076634e+06 9.922439592301269817e-01 0.000000000000000000e+00
1.549727186247239122e+06 9.922439601300626633e-01 0.000000000000000000e+00
1.642029215291518252e+06 9.922452254154237039e-01 0.000000000000000000e+00
1.739828769733365858e+06 9.922472049024719798e-01 0.000000000000000000e+00
1.843453283171037212e+06 9.922491457922094638e-01 0.000000000000000000e+00
1.953249691206615884e+06 9.922498438439855128e-01 0.000000000000000000e+00
2.069585592988827731e+06 9.922502452387159666e-01 0.000000000000000000e+00
2.192850481937615667e+06 9.922519691022275712e-01 0.000000000000000000e+00
2.323457049770824146e+06 9.922550548512683033e-01 0.000000000000000000e+00
2.461842568199017551e+06 9.922594351643708732e-01 0.000000000000000000e+00
2.608470352914214600e+06 9.922635032284343737e-01 0.000000000000000000e+00
2.763831314774134196e+06 9.922644147899361000e-01 0.000000000000000000e+00
2.928445603375167586e+06 9.922645671304685111e-01 0.000000000000000000e+00
3.102864348516942002e+06 9.922685679232042810e-01 0.000000000000000000e+00
3.287671505388730206e+06 9.922755082580083652e-01 0.000000000000000000e+00
3.483485809655596036e+06 9.922831978598725122e-01 0.000000000000000000e+00
3.690962848989710677e+06 9.922918768338481188e-01 0.000000000000000000e+00
3.910797257982561830e+06 9.923019827256555070e-01 0.000000000000000000e+00
4.143725043786407914e+06 9.923132504677755206e-01 0.000000000000000000e+00
4.390526050271477550e+06 9.923250031323311848e-01 0.000000000000000000e+00
4.652026568948685192e+06 9.923377895955646233e-01 0.000000000000000000e+00
4.929102105399506167e+06 9.923527187121724547e-01 0.000000000000000000e+00
5.222680310474769212e+06 9.923709384285221979e-01 0.000000000000000000e+00
5.533744086076326668e+06 9.923945015630635247e-01 0.000000000000000000e+00
5.863334875919474289e+06 9.924226178439438106e-01 0.000000000000000000e+00
6.212556152293941937e+06 9.924527151634944255e-01 0.000000000000000000e+00
6.582577110496818088e+06 9.924868698622503205e-01 0.000000000000000000e+00
6.974636583306746557e+06 9.925296119210946788e-01 0.000000000000000000e+00
7.390047188604707830e+06 9.925804101317220463e-01 0.000000000000000000e+00
7.830199724028053693e+06 9.926363639750145351e-01 0.000000000000000000e+00
8.296567823370694183e+06 9.926995730305978594e-01 0.000000000000000000e+00
8.790712890319561586e+06 9.927744956544735100e-01 0.000000000000000000e+00
9.314289326045034453e+06 9.928614878211179384e-01 0.000000000000000000e+00
9.869050068147871643e+06 9.929590198080072705e-01 0.000000000000000000e+00
1.045685245950651541e+07 9.930693745151319973e-01 0.000000000000000000e+00
1.107966446667431295e+07 9.931967281389568747e-01 0.000000000000000000e+00
1.173957126864525490e+07 9.933432001115760634e-01 0.000000000000000000e+00
1.243878223804812692e+07 9.935107075489466588e-01 0.000000000000000000e+00
1.317963833814148419e+07 9.937001717351119368e-01 0.000000000000000000e+00
1.396461996037534624e+07 9.939098788685771790e-01 0.000000000000000000e+00
1.479635522875905968e+07 9.941430321826710825e-01 0.000000000000000000e+00
1.567762879883925617e+07 9.944051707535834783e-01 0.000000000000000000e+00
1.661139118074601889e+07 9.946973361530746516e-01 0.000000000000000000e+00
1.760076861752187833e+07 9.950160193047754564e-01 0.000000000000000000e+00
1.864907355180533603e+07 9.953625032417925400e-01 0.000000000000000000e+00
1.975981571591228619e+07 9.957366253506612086e-01 0.000000000000000000e+00
2.093671388244465366e+07 9.961377866514556922e-01 0.000000000000000000e+00
2.218370831476723030e+07 9.965598222295281028e-01 0.000000000000000000e+00
2.350497395903712884e+07 9.970001069670788585e-01 0.000000000000000000e+00
2.490493442195304856e+07 9.974500347972681258e-01 0.000000000000000000e+00
2.638827678102181107e+07 9.979032406710722780e-01 0.000000000000000000e+00
2.795996727692684904e+07 9.983437908353545165e-01 0.000000000000000000e+00
2.962526794053691626e+07 9.987616889640140716e-01 0.000000000000000000e+00
3.138975421022267267e+07 9.991385581923045711e-01 0.000000000000000000e+00
3.325933359846379980e+07 9.994615892317780803e-01 0.000000000000000000e+00
3.524026547024237365e+07 9.997133099332069506e-01 0.000000000000000000e+00
3.733918199944082648e+07 9.998834309361223083e-01 0.000000000000000000e+00
3.956311037340700626e+07 9.999735532797290327e-01 0.000000000000000000e+00
4.191949632002719492e+07 9.999905911541198122e-01 0.000000000000000000e+00
4.441622903607542068e+07 9.999949214123715624e-01 0.000000000000000000e+00
4.706166760029976815e+07 9.999926875990406971e-01 0.000000000000000000e+00
4.986466895967714489e+07 9.999913136113384171e-01 0.000000000000000000e+00
5.283461758253442496e+07 9.999912608345787879e-01 0.000000000000000000e+00
5.598145687781451643e+07 9.999910100126557788e-01 0.000000000000000000e+00
5.931572248567932844e+07 9.999904545952338353e-01 0.000000000000000000e+00
6.284857755090764165e+07 9.999899031524397408e-01 0.000000000000000000e+00
6.659185009718278050e+07 9.999893779958152207e-01 0.000000000000000000e+00
7.055807262739917636e+07 9.999888149639807322e-01 0.000000000000000000e+00
7.476052408257019520e+07 9.999882082695751295e-01 0.000000000000000000e+00
7.921327429981651902e+07 9.999875707474376041e-01 0.000000000000000000e+00
8.393123111828047037e+07 9.999869047358712626e-01 0.000000000000000000e+00
8.893019029067637026e+07 9.999862105768939635e-01 0.000000000000000000e+00
9.422688836758163571e+07 9.999854914019518093e-01 0.000000000000000000e+00
9.983905873152659833e+07 9.999847516034205963e-01 0.000000000000000000e+00
1.057854909684846401e+08 9.999839982288472040e-01 0.000000000000000000e+00
1.120860937755381018e+08 9.999832418400336209e-01 0.000000000000000000e+00
1.187619616153371781e+08 9.999824943574990854e-01 0.000000000000000000e+00
1.258354453405078650e+08 9.999817696266882772e-01 4.542906114539229887e-28
1.333302270244670212e+08 9.999810870817917863e-01 1.017585564699269542e-27
1.412713992491699457e+08 9.999804734060651068e-01 0.000000000000000000e+00
1.496855491152499914e+08 9.999799594729905650e-01 0.000000000000000000e+00
1.586008472558225095e+08 9.999795820286625503e-01 2.096912280278952579e-26
1.680471421519609094e+08 9.999793873684866830e-01 5.044886022913806072e-26
1.780560600656225383e+08 9.999794472647580701e-01 0.000000000000000000e+00
1.886611109245975316e+08 9.999798379232576195e-01 0.000000000000000000e+00
1.998978005139805377e+08 9.999806562294666357e-01 9.665983720960451721e-25
2.118037493497941196e+08 9.999820287026991439e-01 2.494582605431033571e-24
2.244188186327397525e+08 9.999841179482465980e-01 0.000000000000000000e+00
2.377852437037762702e+08 9.999871273342018085e-01 0.000000000000000000e+00
