# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: fae0ab47ebf59a57
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":true,"munuOverTnu":-0.04,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":80,"spectral_distortions":true,"y_SZ":0.0}
1.160451812155007198e+07 9.999972317661737220e-01 0.000000000000000000e+00
1.194445382843508385e+07 9.999971855435214607e-01 0.000000000000000000e+00
1.229434740548801981e+07 9.999971378210017470e-01 0.000000000000000000e+00
1.265449055251050368e+07 9.999970885599237524e-01 0.000000000000000000e+00
1.302518351418111660e+07 9.999970377203003524e-01 0.000000000000000000e+00
1.340673533036361635e+07 9.999969852608099341e-01 0.000000000000000000e+00
1.379946409374797717e+07 9.999969311387607585e-01 0.000000000000000000e+00
1.420369721503815055e+07 9.999968753100523244e-01 0.000000000000000000e+00
1.461977169590851478e+07 9.999968177291362892e-01 0.000000000000000000e+00
1.504803440995584987e+07 9.999967583489769440e-01 0.000000000000000000e+00
1.548884239188134670e+07 9.999966971210112465e-01 0.000000000000000000e+00
1.594256313514404185e+07 9.999966339951069649e-01 0.000000000000000000e+00
1.640957489833307080e+07 9.999965689195207119e-01 0.000000000000000000e+00
1.689026702051510662e+07 9.999965018408538686e-01 0.000000000000000000e+00
1.738504024581887946e+07 9.999964327040080647e-01 0.000000000000000000e+00
1.789430705752837285e+07 9.999963614521389932e-01 0.000000000000000000e+00
1.841849202196240798e+07 9.999962880266096699e-01 0.000000000000000000e+00
1.895803214242760837e+07 9.999962123669413616e-01 0.000000000000000000e+00
1.951337722354025394e+07 9.999961344107632932e-01 0.000000000000000000e+00
2.008499024621973559e+07 9.999960540937609110e-01 0.000000000000000000e+00
2.067334775366751477e+07 9.999959713496230362e-01 0.000000000000000000e+00
2.127894024865204096e+07 9.999958861099846885e-01 0.000000000000000000e+00
2.190227260243212804e+07 9.999957983043717968e-01 0.000000000000000000e+00
2.254386447565865889e+07 9.999957078601395821e-01 0.000000000000000000e+00
2.320425075160592049e+07 9.999956147024094966e-01 0.000000000000000000e+00
2.388398198209420219e+07 9.999955187540034984e-01 0.000000000000000000e+00
2.458362484647430480e+07 9.999954199353713324e-01 0.000000000000000000e+00
2.530376262405800447e+07 9.999953181645147016e-01 0.000000000000000000e+00
2.604499568038682267e+07 9.999952133569021129e-01 0.000000000000000000e+00
2.680794196774604172e+07 9.999951054253750637e-01 0.000000000000000000e+00
2.759323754033992812e+07 9.999949942800412384e-01 0.000000000000000000e+00
2.840153708455819264e+07 9.999948798281539375e-01 0.000000000000000000e+00
2.923351446477630734e+07 9.999947619739699700e-01 0.000000000000000000e+00
3.008986328514331579e+07 9.999946406185844516e-01 0.000000000000000000e+00
3.097129746782724559e+07 9.999945156597362939e-01 0.000000000000000000e+00
3.187855184819832072e+07 9.999943869915767225e-01 0.000000000000000000e+00
3.281238278744807094e+07 9.999942545043982722e-01 0.000000000000000000e+00
3.377356880315344781e+07 9.999941180843133770e-01 0.000000000000000000e+00
