# T[K] Gamma_nTOp[1/s]
# fingerprint_hash: 4fdc559c1b4cbbf9
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"external_scale_factor":false,"finite_mass_corrections":true,"format_version":2,"incomplete_decoupling":true,"munuOverTnu":0.0,"n_temperature_table":2000,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_grid_file":null,"nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp":200,"spectral_distortions":true,"thermal_corrections":true,"thermal_fingerprint_hash":"c21cbe75255f86fb","y_SZ":0.0}
1.160451812155007198e+07 1.743035300383715569e+00
1.215423456535459310e+07 1.743255678712635426e+00
1.272999157072523609e+07 1.743496793689712554e+00
1.333302270244670287e+07 1.743770346199068122e+00
1.396461996037534624e+07 1.744071825611662074e+00
1.462613654756076634e+07 1.744398729102932810e+00
1.531898976949623041e+07 1.744752198049293712e+00
1.604466407070890814e+07 1.745135959985635532e+00
1.680471421519609168e+07 1.745556074919583978e+00
1.760076861752187833e+07 1.746009648469804221e+00
1.843453283171037212e+07 1.746494713106492291e+00
1.930779320541143045e+07 1.747008104681642804e+00
2.022242070716715232e+07 1.747550668733660606e+00
2.118037493497940898e+07 1.748124343425996763e+00
2.218370831476723030e+07 1.748721274142778004e+00
2.323457049770824239e+07 1.749335606431482226e+00
2.433521296588684618e+07 1.749965774477148628e+00
2.548799385611532256e+07 1.750604193489552873e+00
2.669538301226441562e+07 1.751233994976482355e+00
2.795996727692684904e+07 1.751848395387322510e+00
2.928445603375167400e+07 1.752439413106214205e+00
3.067168701232454926e+07 1.752989507797808821e+00
3.212463236802952364e+07 1.753485146260618022e+00
3.364640504992025346e+07 1.753910169877570535e+00
3.524026547024237365e+07 1.754253734970808942e+00
3.690962848989710957e+07 1.754505024784915435e+00
3.865807073481325805e+07 1.754662123205115609e+00
4.048933825890124589e+07 1.754732177090798428e+00
4.240735457000926137e+07 1.754747374226863998e+00
4.441622903607542068e+07 1.754742244544217344e+00
4.652026568948684633e+07 1.754742149389662442e+00
4.872397244851007313e+07 1.754742137448247696e+00
5.103207077554742992e+07 1.754741357529004953e+00
5.344950579291524738e+07 1.754740713125086060e+00
5.598145687781451643e+07 1.754740107303689900e+00
5.863334875919473916e+07 1.754739434091785011e+00
6.141086314028744400e+07 1.754738727507022755e+00
6.431995087170767039e+07 1.754737992428423654e+00
6.736684470120808482e+07 1.754737220541662701e+00
7.055807262739917636e+07 1.754736412863152184e+00
7.390047188604708016e+07 1.754735570612525830e+00
7.740120359891627729e+07 1.754734692305593757e+00
8.106776811653904617e+07 1.754733778366938113e+00
8.490802108778786659e+07 1.754732830638092489e+00
8.893019029067637026e+07 1.754731851352822281e+00
9.314289326045034826e+07 1.754730843781930893e+00
9.755515575273916125e+07 1.754729812996002947e+00
1.021764310813202858e+08 1.754728764514622563e+00
1.070166203719341457e+08 1.754727704475488537e+00
1.120860937755381018e+08 1.754726642359522248e+00
1.173957126864527911e+08 1.754725589653872264e+00
1.229568530129994899e+08 1.754724559647257154e+00
1.287814295504932255e+08 1.754723568584204862e+00
1.348819215088015497e+08 1.754722636267145530e+00
1.412713992491699457e+08 1.754721785315168203e+00
1.479635522875908911e+08 1.754721043520014678e+00
1.549727186247239113e+08 1.754720448779414577e+00
1.623139154651940763e+08 1.754720042387500900e+00
1.700028713920943439e+08 1.754719866208331425e+00
1.780560600656225383e+08 1.754719988865203417e+00
1.864907355180533528e+08 1.754720478336972755e+00
1.953249691206615865e+08 1.754721427328079564e+00
2.045776883018089235e+08 1.754722940003491161e+00
2.142687170991337895e+08 1.754725134963117439e+00
2.244188186327397525e+08 1.754728173194633589e+00
2.350497395903712809e+08 1.754732246333542411e+00
2.461842568199017346e+08 1.754737581173311023e+00
2.578462261289400160e+08 1.754744450448173732e+00
2.700606333961229920e+08 1.754753172884342183e+00
2.828536481035947800e+08 1.754764146941709235e+00
2.962526794053691626e+08 1.754777850559792185e+00
3.102864348516941667e+08 1.754794888393097274e+00
3.249849818952549100e+08 1.754815956932774812e+00
3.403798123109682798e+08 1.754841868955738571e+00
3.565039096674089432e+08 1.754873647272809700e+00
3.733918199944082499e+08 1.754912520031532086e+00
3.910797257982562184e+08 1.754960000163981348e+00
4.096055235830545425e+08 1.755017873046332388e+00
4.290089050443339944e+08 1.755088315159913481e+00
4.493314421088839173e+08 1.755174029803882485e+00
4.706166760029976964e+08 1.755278331290158755e+00
4.929102105399506092e+08 1.755405289310595141e+00
5.162598098266089559e+08 1.755559998778858377e+00
5.407155005984696150e+08 1.755748983843667288e+00
5.663296794024143219e+08 1.755980472191698061e+00
5.931572248567932844e+08 1.756265045289959303e+00
6.212556152293941975e+08 1.756616313367159732e+00
6.506850515851603746e+08 1.757052204643464233e+00
6.815085867675396204e+08 1.757596509424159459e+00
