# T[K] L_nTOpCCRTh L_pTOnCCRTh
# fingerprint_hash: 1b3f42d52e957854
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"format_version":1,"incomplete_decoupling":true,"nevo_file":"NEVOPRIMAT_col_1_7_test_copy.csv","nevo_file_prefix":"NEVOPRIMAT","sampling_nTOp_thermal_per_decade":20}
1.160451812155007198e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.303947249057686701e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.465186585531386919e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.646363939931250364e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.849944743879096583e+07 0.000000000000000000e+00 0.000000000000000000e+00
2.078699291451200470e+07 0.000000000000000000e+00 0.000000000000000000e+00
2.335740436884158105e+07 0.000000000000000000e+00 0.000000000000000000e+00
2.624565953783069178e+07 0.000000000000000000e+00 0.000000000000000000e+00
2.949106132249086350e+07 0.000000000000000000e+00 0.000000000000000000e+00
3.313777261620307341e+07 0.000000000000000000e+00 0.000000000000000000e+00
3.723541726610305905e+07 0.000000000000000000e+00 0.000000000000000000e+00
4.183975534622605145e+07 0.000000000000000000e+00 0.000000000000000000e+00
4.701344193141789734e+07 0.000000000000000000e+00 0.000000000000000000e+00
5.282687969728206843e+07 0.000000000000000000e+00 0.000000000000000000e+00
5.935917694820335507e+07 0.000000000000000000e+00 0.000000000000000000e+00
6.669922411013423651e+07 0.000000000000000000e+00 0.000000000000000000e+00
7.494690333688253164e+07 0.000000000000000000e+00 0.000000000000000000e+00
8.421444769002307951e+07 0.000000000000000000e+00 0.000000000000000000e+00
9.462796838792821765e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.063291709064735919e+08 0.000000000000000000e+00 0.000000000000000000e+00
1.194772832838327438e+08 0.000000000000000000e+00 0.000000000000000000e+00
1.342512228694160879e+08 0.000000000000000000e+00 0.000000000000000000e+00
1.508520310017161071e+08 0.000000000000000000e+00 0.000000000000000000e+00
1.695056087457580566e+08 2.998459134570642979e-07 1.058438104328090414e-43
1.904657909176121950e+08 4.961991424282986834e-07 2.358391951559405964e-39
2.140178002267987728e+08 7.909226984461658012e-07 1.784048679921664380e-35
2.404821285399788618e+08 1.227646582889488886e-06 5.159167755775972719e-32
2.702188980815315247e+08 1.869711657340134028e-06 6.339185296907262192e-29
3.036327619175156951e+08 2.823005297769636117e-06 3.626120343278212305e-26
3.411784104080032706e+08 4.262415571350765550e-06 1.050077799375062430e-23
3.833667585586618781e+08 6.430785209387756793e-06 1.657533595386889268e-21
4.307718984680742621e+08 9.671062476134836925e-06 1.524110152378222811e-19
4.840389114785345197e+08 1.455818261172491063e-05 8.666244040951919943e-18
5.438926463367916346e+08 2.203043674887720417e-05 3.217106930205984292e-16
6.111475828165042400e+08 3.339415613897623881e-05 8.203689236437082044e-15
6.867189150249601603e+08 5.098392654297868962e-05 1.501764538158244976e-13
7.716350052138688564e+08 7.843298159508057870e-05 2.052486429145921953e-12
8.670513775636543036e+08 1.218439381290611749e-04 2.169974808134828243e-11
9.742664423663172722e+08 1.896057911184796977e-04 1.832090105875011691e-10
1.094739164579016685e+09 2.954477302244186442e-04 1.272595480631944540e-09
1.230108917179098845e+09 4.579764726524590763e-04 7.452394153198922731e-09
1.382217789481770754e+09 6.997581583790269929e-04 3.788313745360246499e-08
1.553135653988366127e+09 1.047938560265291837e-03 1.692729764192766522e-07
1.745188332870666742e+09 1.531850389872631540e-03 6.851658552247576903e-07
1.960989247376270294e+09 2.166430811086082417e-03 2.506353115203443461e-06
2.203474980834823608e+09 2.967957101482049560e-03 8.271213991766980007e-06
2.475945239200693130e+09 3.903539674859995718e-03 2.454040068913764707e-05
2.782107752908548355e+09 4.913828402309392690e-03 6.547641907356547631e-05
3.126128731058926582e+09 5.832664950235657945e-03 1.574728819254947367e-04
3.512689554506026745e+09 6.388880732603006464e-03 3.426506056412386108e-04
3.947050479317934036e+09 6.141011817892678970e-03 6.765269550218231190e-04
4.435122217475556374e+09 4.404651750479771088e-03 1.217390861846793203e-03
4.983546368868432999e+09 2.402672215338127332e-04 1.997998789848554144e-03
5.599785799093060493e+09 -7.200019452961631955e-03 2.987049187242435400e-03
6.292226192899732590e+09 -1.836322267829025578e-02 4.093942142620754336e-03
7.070290165210536957e+09 -3.240132685486964148e-02 5.368531801692123448e-03
7.944565482512627602e+09 -4.325488004352524146e-02 7.703831932846389938e-03
8.926949139441949844e+09 -3.183840295854316327e-02 1.525808723337025025e-02
1.003080925112844467e+10 4.441570264810607016e-02 4.002438195192899867e-02
1.127116696430667305e+10 2.871645841446705538e-01 1.171479555988609589e-01
