# T[K] L_nTOpCCRTh L_pTOnCCRTh
# fingerprint_hash: bd1db339284aa88a
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":100.0,"format_version":1,"incomplete_decoupling":true,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","sampling_nTOp_thermal_per_decade":20}
1.160451812155007198e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.303947249057686701e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.465186585531386919e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.646363939931250364e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.849944743879096583e+07 0.000000000000000000e+00 0.000000000000000000e+00
2.078699291451200470e+07 0.000000000000000000e+00 0.000000000000000000e+00
2.335740436884158105e+07 0.000000000000000000e+00 0.000000000000000000e+00
2.624565953783069178e+07 0.000000000000000000e+00 0.000000000000000000e+00
2.949106132249086350e+07 0.000000000000000000e+00 0.000000000000000000e+00
3.313777261620307341e+07 0.000000000000000000e+00 0.000000000000000000e+00
3.723541726610305905e+07 0.000000000000000000e+00 0.000000000000000000e+00
4.183975534622605145e+07 0.000000000000000000e+00 0.000000000000000000e+00
4.701344193141789734e+07 0.000000000000000000e+00 0.000000000000000000e+00
5.282687969728206843e+07 0.000000000000000000e+00 0.000000000000000000e+00
5.935917694820335507e+07 0.000000000000000000e+00 0.000000000000000000e+00
6.669922411013423651e+07 0.000000000000000000e+00 0.000000000000000000e+00
7.494690333688253164e+07 0.000000000000000000e+00 0.000000000000000000e+00
8.421444769002307951e+07 0.000000000000000000e+00 0.000000000000000000e+00
9.462796838792821765e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.063291709064735919e+08 0.000000000000000000e+00 0.000000000000000000e+00
1.194772832838327438e+08 0.000000000000000000e+00 0.000000000000000000e+00
1.342512228694160879e+08 0.000000000000000000e+00 0.000000000000000000e+00
1.508520310017161071e+08 0.000000000000000000e+00 0.000000000000000000e+00
1.695056087457580566e+08 2.965005524251772194e-07 1.058495164781111602e-43
1.904657909176121950e+08 5.006853893091554531e-07 2.357737089497621783e-39
2.140178002267987728e+08 7.848061227772197100e-07 1.782951128721610527e-35
2.404821285399788618e+08 1.219989169953361163e-06 5.158926650841920142e-32
2.702188980815315247e+08 1.859390299550807316e-06 6.336281605170935524e-29
3.036327619175156951e+08 2.814239740586864914e-06 3.627034769105303448e-26
3.411784104080032706e+08 4.293241430553694824e-06 1.050167213843857309e-23
3.833667585586618781e+08 6.430043121235440739e-06 1.656672367156951553e-21
4.307718984680742621e+08 9.713370937583797092e-06 1.523309688435513974e-19
4.840389114785345197e+08 1.455570454068761477e-05 8.667796944738206784e-18
5.438926463367916346e+08 2.204975550398852074e-05 3.219397193806397761e-16
6.111475828165042400e+08 3.343292256198272138e-05 8.205433634094111416e-15
6.867189150249601603e+08 5.108170519698139082e-05 1.501001544511429345e-13
7.716350052138688564e+08 7.846288489691296934e-05 2.053062908628845022e-12
8.670513775636543036e+08 1.215110351655854595e-04 2.170935883947893958e-11
9.742664423663172722e+08 1.895360548902818231e-04 1.831151402495458336e-10
1.094739164579016685e+09 2.954176054896380499e-04 1.272305964756211510e-09
1.230108917179098845e+09 4.579036474010740577e-04 7.450565143845774126e-09
1.382217789481770754e+09 6.996689663173091258e-04 3.788295529824151638e-08
1.553135653988366127e+09 1.047724908688308287e-03 1.692785338184909975e-07
1.745188332870666742e+09 1.531745210273913454e-03 6.853385373906499621e-07
1.960989247376270294e+09 2.168319757709790026e-03 2.506563357809450752e-06
2.203474980834823608e+09 2.968444731450584333e-03 8.268052808755480966e-06
2.475945239200693130e+09 3.902148958467984916e-03 2.453174877913697722e-05
2.782107752908548355e+09 4.914782570575513404e-03 6.546088249200927834e-05
3.126128731058926582e+09 5.823592753077164695e-03 1.574413932808474490e-04
3.512689554506026745e+09 6.397711456289864769e-03 3.426948019911576159e-04
3.947050479317934036e+09 6.111143992392339616e-03 6.767059514924712860e-04
4.435122217475556374e+09 4.363850679530920963e-03 1.219001449719231845e-03
4.983546368868432999e+09 3.457392609715077142e-04 1.999678577316558233e-03
5.599785799093060493e+09 -7.171836643101184294e-03 2.982828379163446168e-03
6.292226192899732590e+09 -1.850762700866839458e-02 4.078460127683022907e-03
7.070290165210536957e+09 -3.254845338803241672e-02 5.368035498655535434e-03
7.944565482512627602e+09 -4.261373872979728333e-02 7.763393500432251570e-03
8.926949139441949844e+09 -3.191018805038326606e-02 1.521909212910045606e-02
1.003080925112844467e+10 4.503569768111939653e-02 4.019964713710971055e-02
1.127116696430667305e+10 2.841248472553821736e-01 1.167880305928825635e-01
1.266490086260851479e+10 9.015347542211742393e-01 3.334986306868075179e-01
