# T[K] L_nTOpCCRTh L_pTOnCCRTh
# fingerprint_hash: cfa39ba2ebeba8f6
# fingerprint: {"T_end_MeV":0.0001,"T_start_cosmo_MeV":40.0,"format_version":1,"incomplete_decoupling":true,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"sampling_nTOp_thermal":100}
1.160451812155007152e+06 -1.360953040203014865e-02 0.000000000000000000e+00
1.303563409706621896e+06 -1.360259787409314261e-02 0.000000000000000000e+00
1.464324106634233147e+06 -1.360699744334958189e-02 0.000000000000000000e+00
1.644910461051312508e+06 -1.360463921026534330e-02 0.000000000000000000e+00
1.847767452995909145e+06 -1.359773127969865665e-02 0.000000000000000000e+00
2.075641587304900866e+06 -1.359578426722981778e-02 0.000000000000000000e+00
2.331618078868253622e+06 -1.358702116579013457e-02 0.000000000000000000e+00
2.619162623718770221e+06 -1.357226415307115353e-02 0.000000000000000000e+00
2.942168321501078550e+06 -1.357037890767765105e-02 0.000000000000000000e+00
3.305008384608782362e+06 -1.355026917935013391e-02 0.000000000000000000e+00
3.712595347624938004e+06 -1.352099769282807257e-02 0.000000000000000000e+00
4.170447578709503636e+06 -1.348284973782669198e-02 0.000000000000000000e+00
4.684763993439414538e+06 -1.343899415641050185e-02 0.000000000000000000e+00
5.262507982660608366e+06 -1.337882610789817815e-02 0.000000000000000000e+00
5.911501690661373548e+06 -1.328562083941856042e-02 0.000000000000000000e+00
6.640531920110169798e+06 -1.316965295340905354e-02 0.000000000000000000e+00
7.459469097617474385e+06 -1.300042620899872874e-02 0.000000000000000000e+00
8.379400910610638559e+06 -1.278533818311982165e-02 0.000000000000000000e+00
9.412782424846891314e+06 -1.249231449939572879e-02 0.000000000000000000e+00
1.057360471502369642e+07 -1.211649751231670853e-02 0.000000000000000000e+00
1.187758429159592092e+07 -1.161987787772035020e-02 0.000000000000000000e+00
1.334237588847198524e+07 -1.097440324591434334e-02 0.000000000000000000e+00
1.498781149254716188e+07 -1.017428063335841862e-02 0.000000000000000000e+00
1.683616885132249445e+07 -9.173104389700696693e-03 0.000000000000000000e+00
1.891247309396661073e+07 -7.976482492383070097e-03 0.000000000000000000e+00
2.124483554950303212e+07 -6.586465199783410850e-03 0.000000000000000000e+00
2.386483434942269325e+07 -5.050335643570855008e-03 0.000000000000000000e+00
2.680794196774609387e+07 -3.457152749862059827e-03 0.000000000000000000e+00
3.011400548704943433e+07 -1.968308373788744091e-03 0.000000000000000000e+00
3.382778609283479303e+07 -7.909063205148995261e-04 0.000000000000000000e+00
3.799956510052125156e+07 -1.294725609212312801e-04 0.000000000000000000e+00
4.268582472012860328e+07 -5.807003652958528911e-08 0.000000000000000000e+00
4.795001277560810000e+07 -6.004087969302204114e-08 0.000000000000000000e+00
5.386340173244398832e+07 -6.257939403550872685e-08 0.000000000000000000e+00
6.050605366400460154e+07 -6.358464684059222412e-08 0.000000000000000000e+00
6.796790422143469751e+07 -6.295280778468251715e-08 0.000000000000000000e+00
7.634998028308625519e+07 -5.895302321843469867e-08 0.000000000000000000e+00
8.576576776938943565e+07 -5.134013357707808213e-08 0.000000000000000000e+00
9.634274814216737449e+07 -3.383428684551894428e-08 0.000000000000000000e+00
1.082241243912457377e+08 -9.746177895059920731e-09 0.000000000000000000e+00
1.215707598766897619e+08 3.176313987352778637e-08 0.000000000000000000e+00
1.365633562768869698e+08 9.002134713774591136e-08 0.000000000000000000e+00
1.534049001299677491e+08 1.846098053084518561e-07 0.000000000000000000e+00
1.723234110925867558e+08 3.188788430849846610e-07 4.675776492295417158e-43
