# T[K] L_nTOpCCRTh
# fingerprint_hash: 808827bedd5a085d
# fingerprint: {"QED_corrections":true,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"external_scale_factor":false,"format_version":2,"incomplete_decoupling":true,"munuOverTnu":0.0,"n_temperature_table":2000,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_grid_file":null,"nevo_spectral_file":null,"sampling_nTOp_thermal":150,"spectral_distortions":true,"y_SZ":0.0}
1.160451812155007152e+06 -1.361054583607541890e-02
1.253672669040457346e+06 -1.361066416655523463e-02
1.354382098969128216e+06 -1.361007452679669459e-02
1.463181670389291598e+06 -1.360296810613239801e-02
1.580721276656508446e+06 -1.359474361940275246e-02
1.707703018046817277e+06 -1.360336638401579527e-02
1.844885395617988426e+06 -1.359636476619921659e-02
1.993087841969969217e+06 -1.359360750804739469e-02
2.153195615968253464e+06 -1.359105170424833309e-02
2.326165090667775832e+06 -1.357977154861444817e-02
2.513029466023765039e+06 -1.358313359240743805e-02
2.714904940513381269e+06 -1.357821090688677255e-02
2.932997378533025272e+06 -1.356629669255329969e-02
3.168609513397883624e+06 -1.355771514915588873e-02
3.423148728969279211e+06 -1.354014239514809287e-02
3.698135466392064467e+06 -1.352376853970529633e-02
3.995212306157895830e+06 -1.350216645219727042e-02
4.316153779744552448e+06 -1.347356417970413042e-02
4.662876969439075328e+06 -1.343498154550048368e-02
5.037452959660786204e+06 -1.339451585982891386e-02
5.442119208186591044e+06 -1.335560648902260963e-02
5.879292911175437272e+06 -1.328891547668706839e-02
6.351585441825673915e+06 -1.322176786200965001e-02
6.861817948911500163e+06 -1.312837848246359990e-02
7.413038208373740315e+06 -1.300821233549741794e-02
8.008538828624290414e+06 -1.287926275123468800e-02
8.651876918310545385e+06 -1.271748024548844183e-02
9.346895334021069109e+06 -1.251515265160730098e-02
1.009774563485171832e+07 -1.227832526519294885e-02
1.090891288094713911e+07 -1.198598771042472776e-02
1.178524242414645478e+07 -1.164396146007061830e-02
1.273196885076255910e+07 -1.125326599722344459e-02
1.375474724937859736e+07 -1.078019717378498644e-02
1.485968699043405987e+07 -1.023377190912482838e-02
1.605338821937643550e+07 -9.609438483143774648e-03
1.734298128136319667e+07 -8.888134037442069202e-03
1.873616931300986558e+07 -8.077912549287953256e-03
2.024127425559782237e+07 -7.187179106052616478e-03
2.186728656459341571e+07 -6.214587790352267722e-03
2.362391891240761057e+07 -5.188143085198541893e-03
2.552166420518058166e+07 -4.125476708790324493e-03
2.757185826014227793e+07 -3.082377955010175401e-03
2.978674751794058830e+07 -2.099725850847438714e-03
3.217956219440392405e+07 -1.243958649777080535e-03
3.476459530869602412e+07 -5.835213335660194636e-04
3.755728805992225558e+07 -1.692171199346017088e-04
4.057432206216824800e+07 -9.964334227196000251e-06
4.383371898892010003e+07 -5.755461261887020708e-08
4.735494822207101434e+07 -5.994459686792420958e-08
5.115904314853739738e+07 -6.131196313880099760e-08
5.526872679915801436e+07 -6.273911711506070847e-08
5.970854758035659045e+07 -6.350971235653965126e-08
6.450502590933625400e+07 -6.316476001262984332e-08
6.968681262870006263e+07 -6.303151878456665308e-08
7.528486014676062763e+07 -5.929767396850968536e-08
8.133260732580941916e+07 -5.431331594048542647e-08
8.786617922274161875e+07 -4.718431815675977508e-08
9.492460287514951825e+07 -3.691439865191927514e-08
1.025500404218405932e+08 -2.121313655867086034e-08
1.107880409502801001e+08 -1.486021654820751030e-09
1.196878125753223747e+08 2.522853022046926544e-08
1.293025163744374216e+08 6.088645136070454845e-08
1.396895839352056682e+08 1.078728272570147542e-07
1.509110604118803144e+08 1.670985008865618498e-07
1.630339751402070820e+08 2.512933983727433734e-07
1.761307420242955089e+08 3.589926611907621215e-07
1.902795920871724188e+08 4.954619336140775406e-07
2.055650407687853873e+08 6.803177704834846630e-07
2.220783927627585828e+08 9.057153757767718203e-07
2.399182874074511528e+08 1.207761376406382240e-06
2.591912878891160190e+08 1.610608698657728372e-06
2.800125177766344547e+08 2.120300231724530746e-06
3.025063486900575757e+08 2.773777318686030313e-06
3.268071432106052041e+08 3.676008361201679163e-06
3.530600574697548747e+08 4.824366284242904499e-06
3.814219082115249038e+08 6.317284900663331326e-06
