# T[K] L_nTOpCCRTh L_pTOnCCRTh
# fingerprint_hash: d42373c936ae964f
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.0001,"T_start_cosmo_MeV":40.0,"format_version":1,"incomplete_decoupling":false,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","sampling_nTOp_thermal_per_decade":20}
1.160451812155007152e+06 0.000000000000000000e+00 0.000000000000000000e+00
1.303563409706621896e+06 0.000000000000000000e+00 0.000000000000000000e+00
1.464324106634233147e+06 0.000000000000000000e+00 0.000000000000000000e+00
1.644910461051312508e+06 0.000000000000000000e+00 0.000000000000000000e+00
1.847767452995909145e+06 0.000000000000000000e+00 0.000000000000000000e+00
2.075641587304900866e+06 0.000000000000000000e+00 0.000000000000000000e+00
2.331618078868253622e+06 0.000000000000000000e+00 0.000000000000000000e+00
2.619162623718770221e+06 0.000000000000000000e+00 0.000000000000000000e+00
2.942168321501078550e+06 0.000000000000000000e+00 0.000000000000000000e+00
3.305008384608782362e+06 0.000000000000000000e+00 0.000000000000000000e+00
3.712595347624938004e+06 0.000000000000000000e+00 0.000000000000000000e+00
4.170447578709503636e+06 0.000000000000000000e+00 0.000000000000000000e+00
4.684763993439414538e+06 0.000000000000000000e+00 0.000000000000000000e+00
5.262507982660608366e+06 0.000000000000000000e+00 0.000000000000000000e+00
5.911501690661373548e+06 0.000000000000000000e+00 0.000000000000000000e+00
6.640531920110169798e+06 0.000000000000000000e+00 0.000000000000000000e+00
7.459469097617474385e+06 0.000000000000000000e+00 0.000000000000000000e+00
8.379400910610638559e+06 0.000000000000000000e+00 0.000000000000000000e+00
9.412782424846891314e+06 0.000000000000000000e+00 0.000000000000000000e+00
1.057360471502369642e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.187758429159592092e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.334237588847198524e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.498781149254716188e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.683616885132249445e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.891247309396661073e+07 0.000000000000000000e+00 0.000000000000000000e+00
2.124483554950303212e+07 0.000000000000000000e+00 0.000000000000000000e+00
2.386483434942269325e+07 0.000000000000000000e+00 0.000000000000000000e+00
2.680794196774609387e+07 0.000000000000000000e+00 0.000000000000000000e+00
3.011400548704943433e+07 0.000000000000000000e+00 0.000000000000000000e+00
3.382778609283479303e+07 0.000000000000000000e+00 0.000000000000000000e+00
3.799956510052125156e+07 0.000000000000000000e+00 0.000000000000000000e+00
4.268582472012860328e+07 0.000000000000000000e+00 0.000000000000000000e+00
4.795001277560810000e+07 0.000000000000000000e+00 0.000000000000000000e+00
5.386340173244398832e+07 0.000000000000000000e+00 0.000000000000000000e+00
6.050605366400460154e+07 0.000000000000000000e+00 0.000000000000000000e+00
6.796790422143469751e+07 0.000000000000000000e+00 0.000000000000000000e+00
7.634998028308625519e+07 0.000000000000000000e+00 0.000000000000000000e+00
8.576576776938943565e+07 0.000000000000000000e+00 0.000000000000000000e+00
9.634274814216737449e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.082241243912457377e+08 0.000000000000000000e+00 0.000000000000000000e+00
1.215707598766897619e+08 0.000000000000000000e+00 0.000000000000000000e+00
1.365633562768869698e+08 0.000000000000000000e+00 0.000000000000000000e+00
1.534049001299677491e+08 0.000000000000000000e+00 0.000000000000000000e+00
1.723234110925867558e+08 3.241570747528284700e-07 4.573453339248151212e-43
1.935750291250549555e+08 5.299621982475315034e-07 8.480327461874786882e-39
2.174474824005956948e+08 8.310555477512574215e-07 5.469952301483950508e-35
2.442639828911565840e+08 1.290315623351024622e-06 1.374850986075367384e-31
2.743876023725696802e+08 1.964433323253709296e-06 1.493124562394749826e-28
3.082261880963261127e+08 2.967366421895259842e-06 7.672319829747030319e-26
3.462378846818088293e+08 4.479101519887362016e-06 2.022612088117309703e-23
3.889373369905503988e+08 6.708456277854042059e-06 2.940928386223390614e-21
4.369026579639606476e+08 1.007392943308624972e-05 2.515410086380996013e-19
4.907832557628955245e+08 1.515605891511767974e-05 1.344845300224028365e-17
5.513086261816620827e+08 2.292967562988808232e-05 4.734145991771790227e-16
6.192982293779599667e+08 3.479745664236056095e-05 1.151421224209752138e-14
6.956725846410008669e+08 5.304929746915008795e-05 2.023727152205024226e-13
7.814657334111797810e+08 8.146567152729279105e-05 2.671115799144969120e-12
8.778392392895778418e+08 1.265877701164702955e-04 2.741261370682404818e-11
9.860979145851315260e+08 1.967763447660791443e-04 2.254848339935100880e-10
1.107707486322991371e+09 3.062961709527286538e-04 1.532193671009032415e-09
1.244314440896294832e+09 4.733145645837648460e-04 8.802239694236735200e-09
1.397768316040429831e+09 7.213504642694229790e-04 4.403457521762459883e-08
1.570146741943434238e+09 1.075891013318360130e-03 1.939398278775261691e-07
1.763783570527214289e+09 1.561837705634638992e-03 7.749458969350827926e-07
1.981300473745013952e+09 2.202521985601569796e-03 2.801262260462286943e-06
2.225642438708523750e+09 2.992309893241503621e-03 9.142622865268871732e-06
2.500117640217119217e+09 3.902930552068088494e-03 2.686269934097967581e-05
2.808442230528189659e+09 4.859549940015997667e-03 7.114310663812082550e-05
3.154790652782743454e+09 5.697782037039132372e-03 1.700343640267672045e-04
3.543852159285292149e+09 6.075297593977401454e-03 3.688848131369443207e-04
3.980894299846241951e+09 5.539466875301036347e-03 7.280379099945677186e-04
4.471834239762517929e+09 3.312835923645077174e-03 1.317058869299654687e-03
5.023318873019258499e+09 -1.438613633207188117e-03 2.176112783736896573e-03
5.642814815374651909e+09 -9.864107173456803171e-03 3.313253644000736797e-03
6.338709495754812241e+09 -2.260712397432340995e-02 4.708539153056141846e-03
7.120424714647408485e+09 -3.869476626531277719e-02 6.526897046524301159e-03
7.998544206974141121e+09 -5.132834478899750419e-02 9.937410881129520729e-03
8.984956936531223297e+09 -4.221867588033340057e-02 1.948142802357770431e-02
1.009301806207818985e+10 3.196262407182211274e-02 4.862857283006213893e-02
1.133772975441373825e+10 2.745581760125889170e-01 1.340853406922820901e-01
1.273594431254301071e+10 8.994715669796259361e-01 3.663566769188585370e-01
1.430659232894943237e+10 2.369831085605454302e+00 9.576241230606246102e-01
1.607093899312790680e+10 5.612914147948251831e+00 2.384645441870108407e+00
1.805287200350434113e+10 1.244005542010379095e+01 5.665226546703192589e+00
2.027922498581259918e+10 2.660355816703107834e+01 1.303549985974972358e+01
2.278014079673177338e+10 5.513913740554323084e+01 2.900967233886483854e+01
2.558947963159211731e+10 1.120891383461291042e+02 6.298407600386688898e+01
2.874527746156900406e+10 2.242303959414922474e+02 1.338883566223493347e+02
3.229026100720219421e+10 4.422829490029690191e+02 2.791577032515134533e+02
3.627242622052348328e+10 8.651513145002535339e+02 5.741979421145795186e+02
4.074568810793635559e+10 1.679336550092406924e+03 1.163700336278266604e+03
4.577061069187206268e+10 3.236027604717970007e+03 2.335526646160294149e+03
5.141522699426070404e+10 6.204494297063437443e+03 4.638490492301833910e+03
5.775596014367386627e+10 1.182821754855337713e+04 9.125530345417921126e+03
6.487865807710988617e+10 2.247253301025593464e+04 1.784858859302955534e+04
7.287975584538148499e+10 4.257953780293218006e+04 3.464764034745772369e+04
8.186758125868817139e+10 8.037098343160402146e+04 6.687506753378607391e+04
9.196382154966552734e+10 1.512485059192437911e+05 1.284782532392915164e+05
1.033051709112422485e+11 2.838933299144114135e+05 2.457314986341991462e+05
1.160451812155009613e+11 5.326411680975793861e+05 4.680179766977236723e+05
