# B10 + a > C13 + p   [B10aTOC13p]   ref=TALYS2
# detailed balance: alpha=9.3591 beta=0 gamma=-47.1333  Q=4.0616
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 9.995056e-36 1.000000e+02
1.037605e-03 9.990549e-36 1.000000e+02
1.056935e-03 9.986465e-36 1.000000e+02
1.076624e-03 9.982789e-36 1.000000e+02
1.096681e-03 9.979506e-36 1.000000e+02
1.117111e-03 9.976604e-36 1.000000e+02
1.137921e-03 9.974067e-36 1.000000e+02
1.159120e-03 9.971881e-36 1.000000e+02
1.180713e-03 9.970032e-36 1.000000e+02
1.202708e-03 9.968507e-36 1.000000e+02
1.225114e-03 9.967291e-36 1.000000e+02
1.247936e-03 9.966371e-36 1.000000e+02
1.271184e-03 9.965732e-36 1.000000e+02
1.294865e-03 9.965360e-36 1.000000e+02
1.318987e-03 9.965243e-36 1.000000e+02
1.343558e-03 9.965365e-36 1.000000e+02
1.368587e-03 9.965714e-36 1.000000e+02
1.394083e-03 9.966274e-36 1.000000e+02
1.420053e-03 9.967034e-36 1.000000e+02
1.446507e-03 9.967978e-36 1.000000e+02
1.473454e-03 9.969092e-36 1.000000e+02
1.500903e-03 9.970365e-36 1.000000e+02
1.528864e-03 9.971780e-36 1.000000e+02
1.557345e-03 9.973325e-36 1.000000e+02
1.586357e-03 9.974987e-36 1.000000e+02
1.615909e-03 9.976750e-36 1.000000e+02
1.646012e-03 9.978601e-36 1.000000e+02
1.676675e-03 9.980527e-36 1.000000e+02
1.707910e-03 9.982514e-36 1.000000e+02
1.739726e-03 9.984548e-36 1.000000e+02
1.772136e-03 9.986614e-36 1.000000e+02
1.805149e-03 9.988700e-36 1.000000e+02
1.838777e-03 9.990792e-36 1.000000e+02
1.873032e-03 9.992875e-36 1.000000e+02
1.907924e-03 9.994935e-36 1.000000e+02
1.943467e-03 9.996960e-36 1.000000e+02
1.979672e-03 9.998934e-36 1.000000e+02
2.016551e-03 1.000084e-35 1.000000e+02
2.054117e-03 1.000268e-35 1.000000e+02
2.092383e-03 1.000442e-35 1.000000e+02
2.131362e-03 1.000605e-35 1.000000e+02
2.171068e-03 1.000757e-35 1.000000e+02
2.211512e-03 1.000895e-35 1.000000e+02
2.252711e-03 1.001018e-35 1.000000e+02
2.294676e-03 1.001125e-35 1.000000e+02
2.337424e-03 1.001215e-35 1.000000e+02
2.380968e-03 1.001286e-35 1.000000e+02
2.425323e-03 1.001336e-35 1.000000e+02
2.470504e-03 1.001365e-35 1.000000e+02
2.516527e-03 1.001371e-35 1.000000e+02
2.563407e-03 1.001352e-35 1.000000e+02
2.611161e-03 1.001307e-35 1.000000e+02
2.659804e-03 1.001235e-35 1.000000e+02
2.709354e-03 1.001134e-35 1.000000e+02
2.759826e-03 1.001003e-35 1.000000e+02
2.811239e-03 1.000841e-35 1.000000e+02
2.863610e-03 1.000646e-35 1.000000e+02
2.916956e-03 1.000417e-35 1.000000e+02
2.971296e-03 1.000152e-35 1.000000e+02
3.026648e-03 9.998511e-36 1.000000e+02
3.083031e-03 9.995198e-36 1.000000e+02
3.140465e-03 9.991726e-36 1.000000e+02
3.198969e-03 9.988244e-36 1.000000e+02
3.258562e-03 9.984898e-36 1.000000e+02
3.319266e-03 9.981835e-36 1.000000e+02
3.381101e-03 9.979202e-36 1.000000e+02
3.444087e-03 9.977144e-36 1.000000e+02
3.508247e-03 9.975810e-36 1.000000e+02
3.573602e-03 9.975344e-36 1.000000e+02
3.640175e-03 9.975895e-36 1.000000e+02
3.707988e-03 9.977608e-36 1.000000e+02
3.777064e-03 9.980632e-36 1.000000e+02
3.847427e-03 9.985114e-36 1.000000e+02
3.919100e-03 9.991203e-36 1.000000e+02
3.992109e-03 9.999050e-36 1.000000e+02
4.066478e-03 1.000869e-35 1.000000e+02
4.142232e-03 1.001950e-35 1.000000e+02
4.219398e-03 1.003064e-35 1.000000e+02
