# B11 + a > C14 + p   [B11aTOC14p]   ref=Wan91  (analytic, PRIMAT-main.m)
# forward[T9] = With[{T923=T9^(2/3),T932=T9^(3/2),T913=T9^(1/3),T943=T9^(4/3),T953=T9^(5/3)},(8.403*^15*Exp[-31.914/T913-(T9/0.3432)^2]*(1.+0.022*T913+5.712*T923+0.642*T9+15.982*T943+4.062*T953) +5.44*^-3/T932*Exp[-2.868/T9]+2.419*^2/T932*Exp[-5.147/T9]+4.899*^2/T932*Exp[-5.157/T9]+4.944*^6/T9^(3/5)*Exp[-11.26/T9])]   uncertainty factor f = 3
# T9                 rate                error
1.000000e-03 2.236923e-123 3.000000e+00
1.018629e-03 1.585239e-122 3.000000e+00
1.037605e-03 1.110014e-121 3.000000e+00
1.056935e-03 7.680389e-121 3.000000e+00
1.076624e-03 5.251599e-120 3.000000e+00
1.096681e-03 3.548828e-119 3.000000e+00
1.117111e-03 2.370253e-118 3.000000e+00
1.137921e-03 1.564776e-117 3.000000e+00
1.159120e-03 1.021148e-116 3.000000e+00
1.180713e-03 6.587711e-116 3.000000e+00
1.202708e-03 4.201659e-115 3.000000e+00
1.225114e-03 2.649586e-114 3.000000e+00
1.247936e-03 1.652100e-113 3.000000e+00
1.271184e-03 1.018652e-112 3.000000e+00
1.294865e-03 6.211218e-112 3.000000e+00
1.318987e-03 3.745576e-111 3.000000e+00
1.343558e-03 2.233989e-110 3.000000e+00
1.368587e-03 1.317933e-109 3.000000e+00
1.394083e-03 7.691038e-109 3.000000e+00
1.420053e-03 4.440018e-108 3.000000e+00
1.446507e-03 2.535839e-107 3.000000e+00
1.473454e-03 1.432928e-106 3.000000e+00
1.500903e-03 8.011640e-106 3.000000e+00
1.528864e-03 4.432422e-105 3.000000e+00
1.557345e-03 2.426675e-104 3.000000e+00
1.586357e-03 1.314804e-103 3.000000e+00
1.615909e-03 7.050450e-103 3.000000e+00
1.646012e-03 3.742028e-102 3.000000e+00
1.676675e-03 1.965889e-101 3.000000e+00
1.707910e-03 1.022351e-100 3.000000e+00
1.739726e-03 5.263293e-100 3.000000e+00
1.772136e-03 2.682614e-99 3.000000e+00
1.805149e-03 1.353720e-98 3.000000e+00
1.838777e-03 6.763886e-98 3.000000e+00
1.873032e-03 3.346470e-97 3.000000e+00
1.907924e-03 1.639559e-96 3.000000e+00
1.943467e-03 7.955053e-96 3.000000e+00
1.979672e-03 3.822617e-95 3.000000e+00
2.016551e-03 1.819308e-94 3.000000e+00
2.054117e-03 8.576395e-94 3.000000e+00
2.092383e-03 4.004813e-93 3.000000e+00
2.131362e-03 1.852525e-92 3.000000e+00
2.171068e-03 8.489367e-92 3.000000e+00
2.211512e-03 3.854261e-91 3.000000e+00
2.252711e-03 1.733750e-90 3.000000e+00
2.294676e-03 7.727449e-90 3.000000e+00
2.337424e-03 3.412830e-89 3.000000e+00
2.380968e-03 1.493642e-88 3.000000e+00
2.425323e-03 6.478228e-88 3.000000e+00
2.470504e-03 2.784632e-87 3.000000e+00
2.516527e-03 1.186329e-86 3.000000e+00
2.563407e-03 5.009479e-86 3.000000e+00
2.611161e-03 2.096783e-85 3.000000e+00
2.659804e-03 8.699844e-85 3.000000e+00
2.709354e-03 3.578410e-84 3.000000e+00
2.759826e-03 1.459193e-83 3.000000e+00
2.811239e-03 5.899326e-83 3.000000e+00
2.863610e-03 2.364733e-82 3.000000e+00
2.916956e-03 9.398857e-82 3.000000e+00
2.971296e-03 3.704279e-81 3.000000e+00
3.026648e-03 1.447741e-80 3.000000e+00
3.083031e-03 5.611237e-80 3.000000e+00
3.140465e-03 2.156899e-79 3.000000e+00
3.198969e-03 8.222925e-79 3.000000e+00
3.258562e-03 3.109356e-78 3.000000e+00
3.319266e-03 1.166229e-77 3.000000e+00
3.381101e-03 4.338990e-77 3.000000e+00
3.444087e-03 1.601424e-76 3.000000e+00
3.508247e-03 5.863519e-76 3.000000e+00
3.573602e-03 2.129935e-75 3.000000e+00
3.640175e-03 7.676290e-75 3.000000e+00
3.707988e-03 2.744952e-74 3.000000e+00
3.777064e-03 9.739519e-74 3.000000e+00
3.847427e-03 3.429102e-73 3.000000e+00
3.919100e-03 1.198076e-72 3.000000e+00
3.992109e-03 4.154033e-72 3.000000e+00
4.066478e-03 1.429413e-71 3.000000e+00
4.142232e-03 4.881665e-71 3.000000e+00
4.219398e-03 1.654707e-70 3.000000e+00
4.298001e-03 5.567204e-70 3.000000e+00
4.378069e-03 1.859243e-69 3.000000e+00
4.459628e-03 6.163654e-69 3.000000e+00
4.542706e-03 2.028444e-68 3.000000e+00
4.627332e-03 6.627200e-68 3.000000e+00
4.713535e-03 2.149607e-67 3.000000e+00
4.801343e-03 6.922603e-67 3.000000e+00
4.890787e-03 2.213505e-66 3.000000e+00
4.981898e-03 7.027670e-66 3.000000e+00
5.074705e-03 2.215548e-65 3.000000e+00
5.169242e-03 6.935997e-65 3.000000e+00
5.265540e-03 2.156321e-64 3.000000e+00
5.363631e-03 6.657535e-64 3.000000e+00
5.463550e-03 2.041398e-63 3.000000e+00
5.565331e-03 6.216907e-63 3.000000e+00
5.669007e-03 1.880495e-62 3.000000e+00
5.774615e-03 5.649882e-62 3.000000e+00
5.882190e-03 1.686142e-61 3.000000e+00
5.991770e-03 4.998668e-61 3.000000e+00
6.103390e-03 1.472103e-60 3.000000e+00
6.217090e-03 4.306886e-60 3.000000e+00
6.332908e-03 1.251837e-59 3.000000e+00
6.450884e-03 3.615005e-59 3.000000e+00
6.571058e-03 1.037204e-58 3.000000e+00
6.693470e-03 2.956866e-58 3.000000e+00
6.818162e-03 8.375831e-58 3.000000e+00
6.945178e-03 2.357602e-57 3.000000e+00
7.074559e-03 6.594419e-57 3.000000e+00
7.206351e-03 1.833002e-56 3.000000e+00
7.340598e-03 5.063452e-56 3.000000e+00
7.477346e-03 1.390095e-55 3.000000e+00
7.616642e-03 3.792917e-55 3.000000e+00
7.758532e-03 1.028607e-54 3.000000e+00
7.903066e-03 2.772616e-54 3.000000e+00
8.050292e-03 7.428656e-54 3.000000e+00
8.200261e-03 1.978461e-53 3.000000e+00
8.353023e-03 5.237904e-53 3.000000e+00
8.508632e-03 1.378531e-52 3.000000e+00
8.667139e-03 3.606789e-52 3.000000e+00
8.828599e-03 9.381792e-52 3.000000e+00
8.993067e-03 2.426206e-51 3.000000e+00
9.160598e-03 6.238238e-51 3.000000e+00
9.331251e-03 1.594793e-50 3.000000e+00
9.505083e-03 4.053876e-50 3.000000e+00
9.682153e-03 1.024650e-49 3.000000e+00
9.862522e-03 2.575345e-49 3.000000e+00
1.004625e-02 6.436724e-49 3.000000e+00
1.023340e-02 1.599850e-48 3.000000e+00
1.042404e-02 3.954518e-48 3.000000e+00
1.061823e-02 9.721266e-48 3.000000e+00
1.081604e-02 2.376742e-47 3.000000e+00
1.101753e-02 5.779441e-47 3.000000e+00
1.122277e-02 1.397813e-46 3.000000e+00
1.143184e-02 3.362687e-46 3.000000e+00
1.164481e-02 8.046597e-46 3.000000e+00
1.186174e-02 1.915319e-45 3.000000e+00
1.208271e-02 4.535106e-45 3.000000e+00
1.230780e-02 1.068232e-44 3.000000e+00
1.253708e-02 2.503164e-44 3.000000e+00
1.277063e-02 5.835433e-44 3.000000e+00
1.300854e-02 1.353415e-43 3.000000e+00
1.325087e-02 3.123034e-43 3.000000e+00
1.349772e-02 7.170084e-43 3.000000e+00
1.374917e-02 1.637900e-42 3.000000e+00
1.400531e-02 3.722887e-42 3.000000e+00
1.426621e-02 8.420058e-42 3.000000e+00
1.453198e-02 1.894989e-41 3.000000e+00
1.480269e-02 4.243931e-41 3.000000e+00
1.507845e-02 9.458298e-41 3.000000e+00
1.535935e-02 2.097752e-40 3.000000e+00
1.564548e-02 4.630256e-40 3.000000e+00
1.593694e-02 1.017135e-39 3.000000e+00
1.623382e-02 2.223761e-39 3.000000e+00
1.653624e-02 4.838896e-39 3.000000e+00
1.684430e-02 1.048012e-38 3.000000e+00
1.715809e-02 2.259230e-38 3.000000e+00
1.747773e-02 4.847770e-38 3.000000e+00
1.780332e-02 1.035436e-37 3.000000e+00
1.813498e-02 2.201492e-37 3.000000e+00
1.847281e-02 4.659461e-37 3.000000e+00
1.881694e-02 9.817289e-37 3.000000e+00
1.916748e-02 2.059193e-36 3.000000e+00
1.952456e-02 4.299961e-36 3.000000e+00
1.988828e-02 8.939350e-36 3.000000e+00
2.025878e-02 1.850264e-35 3.000000e+00
2.063618e-02 3.812935e-35 3.000000e+00
2.102061e-02 7.823398e-35 3.000000e+00
2.141220e-02 1.598282e-34 3.000000e+00
2.181109e-02 3.251213e-34 3.000000e+00
2.221741e-02 6.585410e-34 3.000000e+00
2.263130e-02 1.328243e-33 3.000000e+00
2.305289e-02 2.667725e-33 3.000000e+00
2.348235e-02 5.335622e-33 3.000000e+00
2.391980e-02 1.062725e-32 3.000000e+00
2.436540e-02 2.107946e-32 3.000000e+00
2.481930e-02 4.164021e-32 3.000000e+00
2.528166e-02 8.192036e-32 3.000000e+00
2.575263e-02 1.605120e-31 3.000000e+00
2.623238e-02 3.132357e-31 3.000000e+00
2.672106e-02 6.088270e-31 3.000000e+00
2.721885e-02 1.178654e-30 3.000000e+00
2.772591e-02 2.272791e-30 3.000000e+00
2.824241e-02 4.365401e-30 3.000000e+00
2.876854e-02 8.352011e-30 3.000000e+00
2.930447e-02 1.591735e-29 3.000000e+00
2.985038e-02 3.021858e-29 3.000000e+00
3.040646e-02 5.714934e-29 3.000000e+00
3.097291e-02 1.076695e-28 3.000000e+00
3.154990e-02 2.020827e-28 3.000000e+00
3.213764e-02 3.778597e-28 3.000000e+00
3.273634e-02 7.038941e-28 3.000000e+00
3.334618e-02 1.306380e-27 3.000000e+00
3.396739e-02 2.415612e-27 3.000000e+00
3.460016e-02 4.450313e-27 3.000000e+00
3.524473e-02 8.169009e-27 3.000000e+00
3.590130e-02 1.494079e-26 3.000000e+00
3.657011e-02 2.722783e-26 3.000000e+00
3.725137e-02 4.944216e-26 3.000000e+00
3.794533e-02 8.946155e-26 3.000000e+00
3.865221e-02 1.613019e-25 3.000000e+00
3.937226e-02 2.898121e-25 3.000000e+00
4.010573e-02 5.188916e-25 3.000000e+00
4.085286e-02 9.258261e-25 3.000000e+00
4.161391e-02 1.646206e-24 3.000000e+00
4.238913e-02 2.917091e-24 3.000000e+00
4.317880e-02 5.151532e-24 3.000000e+00
4.398317e-02 9.066768e-24 3.000000e+00
