# B12 + a > N16 + g   [B12aTON16g]   ref=TALYS2
# detailed balance: alpha=3.0835e+10 beta=1.5 gamma=-117.323  Q=10.1101
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 9.996497e-36 1.000000e+02
1.037605e-03 9.993302e-36 1.000000e+02
1.056935e-03 9.990407e-36 1.000000e+02
1.076624e-03 9.987801e-36 1.000000e+02
1.096681e-03 9.985474e-36 1.000000e+02
1.117111e-03 9.983416e-36 1.000000e+02
1.137921e-03 9.981617e-36 1.000000e+02
1.159120e-03 9.980067e-36 1.000000e+02
1.180713e-03 9.978756e-36 1.000000e+02
1.202708e-03 9.977674e-36 1.000000e+02
1.225114e-03 9.976812e-36 1.000000e+02
1.247936e-03 9.976159e-36 1.000000e+02
1.271184e-03 9.975706e-36 1.000000e+02
1.294865e-03 9.975442e-36 1.000000e+02
1.318987e-03 9.975359e-36 1.000000e+02
1.343558e-03 9.975446e-36 1.000000e+02
1.368587e-03 9.975693e-36 1.000000e+02
1.394083e-03 9.976091e-36 1.000000e+02
1.420053e-03 9.976629e-36 1.000000e+02
1.446507e-03 9.977299e-36 1.000000e+02
1.473454e-03 9.978089e-36 1.000000e+02
1.500903e-03 9.978992e-36 1.000000e+02
1.528864e-03 9.979996e-36 1.000000e+02
1.557345e-03 9.981091e-36 1.000000e+02
1.586357e-03 9.982269e-36 1.000000e+02
1.615909e-03 9.983520e-36 1.000000e+02
1.646012e-03 9.984832e-36 1.000000e+02
1.676675e-03 9.986198e-36 1.000000e+02
1.707910e-03 9.987606e-36 1.000000e+02
1.739726e-03 9.989048e-36 1.000000e+02
1.772136e-03 9.990513e-36 1.000000e+02
1.805149e-03 9.991992e-36 1.000000e+02
1.838777e-03 9.993474e-36 1.000000e+02
1.873032e-03 9.994951e-36 1.000000e+02
1.907924e-03 9.996411e-36 1.000000e+02
1.943467e-03 9.997846e-36 1.000000e+02
1.979672e-03 9.999245e-36 1.000000e+02
2.016551e-03 1.000060e-35 1.000000e+02
2.054117e-03 1.000190e-35 1.000000e+02
