# Be10 + p > B11 + g   [Be10pTOB11g]   ref=TALYS2
# detailed balance: alpha=4.3305e+09 beta=1.5 gamma=-130.293  Q=11.2278
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.060545e-35 1.000000e+02
1.037605e-03 1.126222e-35 1.000000e+02
1.056935e-03 1.197638e-35 1.000000e+02
1.076624e-03 1.275483e-35 1.000000e+02
1.096681e-03 1.360543e-35 1.000000e+02
1.117111e-03 1.453715e-35 1.000000e+02
1.137921e-03 1.556026e-35 1.000000e+02
1.159120e-03 1.668650e-35 1.000000e+02
1.180713e-03 1.792941e-35 1.000000e+02
1.202708e-03 1.930454e-35 1.000000e+02
1.225114e-03 2.082989e-35 1.000000e+02
1.247936e-03 2.252627e-35 1.000000e+02
1.271184e-03 2.441784e-35 1.000000e+02
1.294865e-03 2.653271e-35 1.000000e+02
1.318987e-03 2.890371e-35 1.000000e+02
1.343558e-03 3.156922e-35 1.000000e+02
1.368587e-03 3.457429e-35 1.000000e+02
1.394083e-03 3.797195e-35 1.000000e+02
1.420053e-03 4.182477e-35 1.000000e+02
1.446507e-03 4.620683e-35 1.000000e+02
1.473454e-03 5.120609e-35 1.000000e+02
1.500903e-03 5.692732e-35 1.000000e+02
1.528864e-03 6.349572e-35 1.000000e+02
1.557345e-03 7.106139e-35 1.000000e+02
1.586357e-03 7.980487e-35 1.000000e+02
1.615909e-03 8.994403e-35 1.000000e+02
1.646012e-03 1.017427e-34 1.000000e+02
1.676675e-03 1.155217e-34 1.000000e+02
1.707910e-03 1.316721e-34 1.000000e+02
1.739726e-03 1.506728e-34 1.000000e+02
1.772136e-03 1.731123e-34 1.000000e+02
1.805149e-03 1.997162e-34 1.000000e+02
1.838777e-03 2.313835e-34 1.000000e+02
1.873032e-03 2.692316e-34 1.000000e+02
1.907924e-03 3.146552e-34 1.000000e+02
1.943467e-03 3.694027e-34 1.000000e+02
1.979672e-03 4.356747e-34 1.000000e+02
2.016551e-03 5.162530e-34 1.000000e+02
2.054117e-03 6.146698e-34 1.000000e+02
2.092383e-03 7.354293e-34 1.000000e+02
2.131362e-03 8.843023e-34 1.000000e+02
2.171068e-03 1.068716e-33 1.000000e+02
2.211512e-03 1.298273e-33 1.000000e+02
2.252711e-03 1.585453e-33 1.000000e+02
2.294676e-03 1.946548e-33 1.000000e+02
2.337424e-03 2.402935e-33 1.000000e+02
2.380968e-03 2.982805e-33 1.000000e+02
2.425323e-03 3.723529e-33 1.000000e+02
2.470504e-03 4.674903e-33 1.000000e+02
2.516527e-03 5.903631e-33 1.000000e+02
2.563407e-03 7.499554e-33 1.000000e+02
2.611161e-03 9.584341e-33 1.000000e+02
2.659804e-03 1.232368e-32 1.000000e+02
2.709354e-03 1.594451e-32 1.000000e+02
2.759826e-03 2.075941e-32 1.000000e+02
2.811239e-03 2.720152e-32 1.000000e+02
2.863610e-03 3.587453e-32 1.000000e+02
2.916956e-03 4.762503e-32 1.000000e+02
2.971296e-03 6.364746e-32 1.000000e+02
3.026648e-03 8.563939e-32 1.000000e+02
3.083031e-03 1.160885e-31 1.000000e+02
3.140465e-03 1.587246e-31 1.000000e+02
3.198969e-03 2.191623e-31 1.000000e+02
3.258562e-03 3.059718e-31 1.000000e+02
3.319266e-03 4.324328e-31 1.000000e+02
3.381101e-03 6.194480e-31 1.000000e+02
3.444087e-03 9.004664e-31 1.000000e+02
3.508247e-03 1.329946e-30 1.000000e+02
3.573602e-03 1.998168e-30 1.000000e+02
3.640175e-03 3.057657e-30 1.000000e+02
3.707988e-03 4.771246e-30 1.000000e+02
3.777064e-03 7.601312e-30 1.000000e+02
3.847427e-03 1.237903e-29 1.000000e+02
3.919100e-03 2.063255e-29 1.000000e+02
3.992109e-03 3.523835e-29 1.000000e+02
4.066478e-03 6.170774e-29 1.000000e+02
4.142232e-03 1.104950e-28 1.000000e+02
4.219398e-03 2.015325e-28 1.000000e+02
4.298001e-03 3.729635e-28 1.000000e+02
4.378069e-03 6.976320e-28 1.000000e+02
4.459628e-03 1.313847e-27 1.000000e+02
4.542706e-03 2.481656e-27 1.000000e+02
4.627332e-03 4.683130e-27 1.000000e+02
4.713535e-03 8.795259e-27 1.000000e+02
4.801343e-03 1.637565e-26 1.000000e+02
4.890787e-03 3.010964e-26 1.000000e+02
4.981898e-03 5.446151e-26 1.000000e+02
5.074705e-03 9.659582e-26 1.000000e+02
5.169242e-03 1.682764e-25 1.000000e+02
5.265540e-03 2.890213e-25 1.000000e+02
5.363631e-03 4.912786e-25 1.000000e+02
5.463550e-03 8.295964e-25 1.000000e+02
5.565331e-03 1.397000e-24 1.000000e+02
5.669007e-03 2.354868e-24 1.000000e+02
5.774615e-03 3.988657e-24 1.000000e+02
5.882190e-03 6.814380e-24 1.000000e+02
5.991770e-03 1.178733e-23 1.000000e+02
6.103390e-03 2.070956e-23 1.000000e+02
6.217090e-03 3.695782e-23 1.000000e+02
6.332908e-03 6.692826e-23 1.000000e+02
6.450884e-03 1.228763e-22 1.000000e+02
6.571058e-03 2.284916e-22 1.000000e+02
6.693470e-03 4.299353e-22 1.000000e+02
6.818162e-03 8.178142e-22 1.000000e+02
6.945178e-03 1.571132e-21 1.000000e+02
7.074559e-03 3.045560e-21 1.000000e+02
7.206351e-03 5.951815e-21 1.000000e+02
7.340598e-03 1.171721e-20 1.000000e+02
7.477346e-03 2.321973e-20 1.000000e+02
7.616642e-03 4.628223e-20 1.000000e+02
7.758532e-03 9.271744e-20 1.000000e+02
7.903066e-03 1.865367e-19 1.000000e+02
8.050292e-03 3.766229e-19 1.000000e+02
8.200261e-03 7.643580e-19 1.000000e+02
8.353023e-03 1.567491e-18 1.000000e+02
8.508632e-03 3.266131e-18 1.000000e+02
8.667139e-03 6.953189e-18 1.000000e+02
8.828599e-03 1.520752e-17 1.000000e+02
8.993067e-03 3.436040e-17 1.000000e+02
9.160598e-03 8.028649e-17 1.000000e+02
9.331251e-03 1.903088e-16 1.000000e+02
9.505083e-03 4.463327e-16 1.000000e+02
9.682153e-03 1.010168e-15 1.000000e+02
9.862522e-03 2.151864e-15 1.000000e+02
1.004625e-02 4.208553e-15 1.000000e+02
1.023340e-02 7.493651e-15 1.000000e+02
1.042404e-02 1.243657e-14 1.000000e+02
1.061823e-02 1.976746e-14 1.000000e+02
1.081604e-02 3.092003e-14 1.000000e+02
1.101753e-02 4.890607e-14 1.000000e+02
1.122277e-02 7.976635e-14 1.000000e+02
1.143184e-02 1.336351e-13 1.000000e+02
1.164481e-02 2.280397e-13 1.000000e+02
1.186174e-02 3.930380e-13 1.000000e+02
1.208271e-02 6.785449e-13 1.000000e+02
1.230780e-02 1.168667e-12 1.000000e+02
1.253708e-02 2.011979e-12 1.000000e+02
1.277063e-02 3.470749e-12 1.000000e+02
1.300854e-02 6.013627e-12 1.000000e+02
1.325087e-02 1.048437e-11 1.000000e+02
1.349772e-02 1.838484e-11 1.000000e+02
1.374917e-02 3.239597e-11 1.000000e+02
1.400531e-02 5.731112e-11 1.000000e+02
1.426621e-02 1.017129e-10 1.000000e+02
1.453198e-02 1.810666e-10 1.000000e+02
1.480269e-02 3.233132e-10 1.000000e+02
1.507845e-02 5.790668e-10 1.000000e+02
1.535935e-02 1.040200e-09 1.000000e+02
1.564548e-02 1.873655e-09 1.000000e+02
1.593694e-02 3.383313e-09 1.000000e+02
1.623382e-02 6.122965e-09 1.000000e+02
1.653624e-02 1.110126e-08 1.000000e+02
1.684430e-02 2.015433e-08 1.000000e+02
1.715809e-02 3.662220e-08 1.000000e+02
1.747773e-02 6.657248e-08 1.000000e+02
1.780332e-02 1.210079e-07 1.000000e+02
1.813498e-02 2.198356e-07 1.000000e+02
1.847281e-02 3.990573e-07 1.000000e+02
1.881694e-02 7.238170e-07 1.000000e+02
1.916748e-02 1.311867e-06 1.000000e+02
1.952456e-02 2.375907e-06 1.000000e+02
1.988828e-02 4.299907e-06 1.000000e+02
2.025878e-02 7.775954e-06 1.000000e+02
2.063618e-02 1.403824e-05 1.000000e+02
2.102061e-02 2.526457e-05 1.000000e+02
2.141220e-02 4.526096e-05 1.000000e+02
2.181109e-02 8.059739e-05 1.000000e+02
2.221741e-02 1.424545e-04 1.000000e+02
2.263130e-02 2.495524e-04 1.000000e+02
2.305289e-02 4.326638e-04 1.000000e+02
2.348235e-02 7.413363e-04 1.000000e+02
2.391980e-02 1.253512e-03 1.000000e+02
2.436540e-02 2.088635e-03 1.000000e+02
2.481930e-02 3.424446e-03 1.000000e+02
2.528166e-02 5.517416e-03 1.000000e+02
2.575263e-02 8.739154e-03 1.000000e+02
2.623238e-02 1.363096e-02 1.000000e+02
2.672106e-02 2.097275e-02 1.000000e+02
2.721885e-02 3.188641e-02 1.000000e+02
2.772591e-02 4.798724e-02 1.000000e+02
2.824241e-02 7.160856e-02 1.000000e+02
2.876854e-02 1.061383e-01 1.000000e+02
2.930447e-02 1.565293e-01 1.000000e+02
2.985038e-02 2.300834e-01 1.000000e+02
3.040646e-02 3.374467e-01 1.000000e+02
3.097291e-02 4.913213e-01 1.000000e+02
3.154990e-02 7.042541e-01 1.000000e+02
3.213764e-02 9.854736e-01 1.000000e+02
3.273634e-02 1.334937e+00 1.000000e+02
3.334618e-02 1.735902e+00 1.000000e+02
3.396739e-02 2.148754e+00 1.000000e+02
3.460016e-02 2.510693e+00 1.000000e+02
3.524473e-02 2.745961e+00 1.000000e+02
3.590130e-02 2.787643e+00 1.000000e+02
3.657011e-02 2.604777e+00 1.000000e+02
3.725137e-02 2.221483e+00 1.000000e+02
3.794533e-02 1.714758e+00 1.000000e+02
3.865221e-02 1.187950e+00 1.000000e+02
3.937226e-02 7.324499e-01 1.000000e+02
4.010573e-02 3.985635e-01 1.000000e+02
4.085286e-02 1.914570e-01 1.000000e+02
4.161391e-02 8.307488e-02 1.000000e+02
4.238913e-02 3.343957e-02 1.000000e+02
4.317880e-02 1.282364e-02 1.000000e+02
4.398317e-02 4.811598e-03 1.000000e+02
4.480254e-02 1.814104e-03 1.000000e+02
4.563716e-02 7.058248e-04 1.000000e+02
4.648734e-02 2.910458e-04 1.000000e+02
4.735335e-02 1.306239e-04 1.000000e+02
4.823549e-02 6.553127e-05 1.000000e+02
4.913407e-02 3.774038e-05 1.000000e+02
5.004939e-02 2.562494e-05 1.000000e+02
5.098176e-02 2.085503e-05 1.000000e+02
5.193150e-02 1.998636e-05 1.000000e+02
5.289893e-02 2.199586e-05 1.000000e+02
5.388438e-02 2.711076e-05 1.000000e+02
5.488820e-02 3.649603e-05 1.000000e+02
5.591071e-02 5.233136e-05 1.000000e+02
5.695227e-02 7.794717e-05 1.000000e+02
5.801323e-02 1.176170e-04 1.000000e+02
5.909396e-02 1.753398e-04 1.000000e+02
6.019482e-02 2.518569e-04 1.000000e+02
6.131619e-02 3.429621e-04 1.000000e+02
6.245845e-02 4.449107e-04 1.000000e+02
6.362198e-02 5.542296e-04 1.000000e+02
6.480720e-02 6.682700e-04 1.000000e+02
6.601449e-02 7.861677e-04 1.000000e+02
6.724427e-02 9.095669e-04 1.000000e+02
6.849697e-02 1.043196e-03 1.000000e+02
6.977300e-02 1.195541e-03 1.000000e+02
7.107280e-02 1.378664e-03 1.000000e+02
7.239681e-02 1.600124e-03 1.000000e+02
7.374549e-02 1.864366e-03 1.000000e+02
7.511929e-02 2.175046e-03 1.000000e+02
7.651869e-02 2.534206e-03 1.000000e+02
7.794416e-02 2.941230e-03 1.000000e+02
7.939618e-02 3.391615e-03 1.000000e+02
8.087525e-02 3.875613e-03 1.000000e+02
8.238187e-02 4.375403e-03 1.000000e+02
8.391656e-02 4.863918e-03 1.000000e+02
8.547985e-02 5.306254e-03 1.000000e+02
8.707225e-02 5.661953e-03 1.000000e+02
8.869432e-02 5.889303e-03 1.000000e+02
9.034660e-02 5.951624e-03 1.000000e+02
9.202967e-02 5.853893e-03 1.000000e+02
9.374409e-02 5.676400e-03 1.000000e+02
9.549045e-02 5.504727e-03 1.000000e+02
9.726934e-02 5.415631e-03 1.000000e+02
9.908137e-02 5.483129e-03 1.000000e+02
1.009272e-01 5.792237e-03 1.000000e+02
1.028073e-01 6.389657e-03 1.000000e+02
1.047225e-01 7.272760e-03 1.000000e+02
1.066734e-01 8.434223e-03 1.000000e+02
1.086606e-01 9.841217e-03 1.000000e+02
1.106848e-01 1.141009e-02 1.000000e+02
1.127468e-01 1.306070e-02 1.000000e+02
1.148472e-01 1.480183e-02 1.000000e+02
1.169866e-01 1.666917e-02 1.000000e+02
1.191660e-01 1.872144e-02 1.000000e+02
1.213859e-01 2.104196e-02 1.000000e+02
1.236472e-01 2.368685e-02 1.000000e+02
1.259506e-01 2.667633e-02 1.000000e+02
1.282970e-01 3.002255e-02 1.000000e+02
1.306870e-01 3.372698e-02 1.000000e+02
1.331216e-01 3.778170e-02 1.000000e+02
1.356015e-01 4.217273e-02 1.000000e+02
1.381276e-01 4.687171e-02 1.000000e+02
1.407008e-01 5.183312e-02 1.000000e+02
1.433219e-01 5.706502e-02 1.000000e+02
1.459919e-01 6.273013e-02 1.000000e+02
1.487115e-01 6.907390e-02 1.000000e+02
1.514819e-01 7.642071e-02 1.000000e+02
1.543038e-01 8.497768e-02 1.000000e+02
1.571784e-01 9.476313e-02 1.000000e+02
1.601064e-01 1.057348e-01 1.000000e+02
1.630891e-01 1.178232e-01 1.000000e+02
1.661273e-01 1.310798e-01 1.000000e+02
1.692220e-01 1.455935e-01 1.000000e+02
1.723745e-01 1.614573e-01 1.000000e+02
1.755856e-01 1.787686e-01 1.000000e+02
1.788566e-01 1.976294e-01 1.000000e+02
1.821885e-01 2.181482e-01 1.000000e+02
1.855825e-01 2.404684e-01 1.000000e+02
1.890397e-01 2.647730e-01 1.000000e+02
1.925614e-01 2.912741e-01 1.000000e+02
1.961486e-01 3.202184e-01 1.000000e+02
1.998026e-01 3.518926e-01 1.000000e+02
2.035248e-01 3.866148e-01 1.000000e+02
2.073162e-01 4.246696e-01 1.000000e+02
2.111783e-01 4.663399e-01 1.000000e+02
2.151123e-01 5.119258e-01 1.000000e+02
2.191197e-01 5.617450e-01 1.000000e+02
2.232016e-01 6.161316e-01 1.000000e+02
2.273597e-01 6.754362e-01 1.000000e+02
2.315951e-01 7.400247e-01 1.000000e+02
2.359095e-01 8.102772e-01 1.000000e+02
2.403043e-01 8.865863e-01 1.000000e+02
2.447809e-01 9.693550e-01 1.000000e+02
2.493409e-01 1.058994e+00 1.000000e+02
2.539859e-01 1.155931e+00 1.000000e+02
2.587174e-01 1.260671e+00 1.000000e+02
2.635371e-01 1.373778e+00 1.000000e+02
2.684465e-01 1.495856e+00 1.000000e+02
2.734474e-01 1.627555e+00 1.000000e+02
2.785414e-01 1.769569e+00 1.000000e+02
2.837304e-01 1.922643e+00 1.000000e+02
2.890160e-01 2.087580e+00 1.000000e+02
2.944000e-01 2.265241e+00 1.000000e+02
2.998844e-01 2.456554e+00 1.000000e+02
3.054710e-01 2.662489e+00 1.000000e+02
3.111616e-01 2.883969e+00 1.000000e+02
3.169582e-01 3.121915e+00 1.000000e+02
3.228628e-01 3.377271e+00 1.000000e+02
