# Be11 + He3 > B13 + p   [Be11He3TOB13p]   ref=TALYS2
# detailed balance: alpha=2.0166 beta=0 gamma=-130.598  Q=11.254
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.002220e-35 1.000000e+02
1.037605e-03 1.003780e-35 1.000000e+02
1.056935e-03 1.004701e-35 1.000000e+02
1.076624e-03 1.005005e-35 1.000000e+02
1.096681e-03 1.004715e-35 1.000000e+02
1.117111e-03 1.003854e-35 1.000000e+02
1.137921e-03 1.002447e-35 1.000000e+02
1.159120e-03 1.000520e-35 1.000000e+02
1.180713e-03 9.980998e-36 1.000000e+02
1.202708e-03 9.952124e-36 1.000000e+02
1.225114e-03 9.918852e-36 1.000000e+02
1.247936e-03 9.881459e-36 1.000000e+02
1.271184e-03 9.840220e-36 1.000000e+02
1.294865e-03 9.795413e-36 1.000000e+02
1.318987e-03 9.747317e-36 1.000000e+02
1.343558e-03 9.696208e-36 1.000000e+02
1.368587e-03 9.642360e-36 1.000000e+02
1.394083e-03 9.586046e-36 1.000000e+02
1.420053e-03 9.527535e-36 1.000000e+02
1.446507e-03 9.467091e-36 1.000000e+02
1.473454e-03 9.404976e-36 1.000000e+02
1.500903e-03 9.341446e-36 1.000000e+02
1.528864e-03 9.276750e-36 1.000000e+02
1.557345e-03 9.211135e-36 1.000000e+02
1.586357e-03 9.144838e-36 1.000000e+02
1.615909e-03 9.078094e-36 1.000000e+02
1.646012e-03 9.011129e-36 1.000000e+02
1.676675e-03 8.944164e-36 1.000000e+02
1.707910e-03 8.877413e-36 1.000000e+02
1.739726e-03 8.811085e-36 1.000000e+02
1.772136e-03 8.745380e-36 1.000000e+02
1.805149e-03 8.680496e-36 1.000000e+02
1.838777e-03 8.616622e-36 1.000000e+02
1.873032e-03 8.553942e-36 1.000000e+02
1.907924e-03 8.492635e-36 1.000000e+02
1.943467e-03 8.432875e-36 1.000000e+02
1.979672e-03 8.374830e-36 1.000000e+02
2.016551e-03 8.318664e-36 1.000000e+02
2.054117e-03 8.264539e-36 1.000000e+02
2.092383e-03 8.212609e-36 1.000000e+02
2.131362e-03 8.163030e-36 1.000000e+02
2.171068e-03 8.115950e-36 1.000000e+02
2.211512e-03 8.071519e-36 1.000000e+02
2.252711e-03 8.029884e-36 1.000000e+02
2.294676e-03 7.991188e-36 1.000000e+02
2.337424e-03 7.955579e-36 1.000000e+02
2.380968e-03 7.923200e-36 1.000000e+02
2.425323e-03 7.894198e-36 1.000000e+02
2.470504e-03 7.868720e-36 1.000000e+02
2.516527e-03 7.846915e-36 1.000000e+02
2.563407e-03 7.828936e-36 1.000000e+02
2.611161e-03 7.814939e-36 1.000000e+02
2.659804e-03 7.805085e-36 1.000000e+02
2.709354e-03 7.799539e-36 1.000000e+02
2.759826e-03 7.798476e-36 1.000000e+02
2.811239e-03 7.802074e-36 1.000000e+02
2.863610e-03 7.810523e-36 1.000000e+02
2.916956e-03 7.824020e-36 1.000000e+02
2.971296e-03 7.842775e-36 1.000000e+02
3.026648e-03 7.866989e-36 1.000000e+02
3.083031e-03 7.896362e-36 1.000000e+02
3.140465e-03 7.930056e-36 1.000000e+02
3.198969e-03 7.967199e-36 1.000000e+02
3.258562e-03 8.006909e-36 1.000000e+02
3.319266e-03 8.048287e-36 1.000000e+02
3.381101e-03 8.090415e-36 1.000000e+02
3.444087e-03 8.132359e-36 1.000000e+02
3.508247e-03 8.173163e-36 1.000000e+02
3.573602e-03 8.211855e-36 1.000000e+02
3.640175e-03 8.247444e-36 1.000000e+02
3.707988e-03 8.278925e-36 1.000000e+02
3.777064e-03 8.305286e-36 1.000000e+02
3.847427e-03 8.325510e-36 1.000000e+02
3.919100e-03 8.338581e-36 1.000000e+02
3.992109e-03 8.343498e-36 1.000000e+02
4.066478e-03 8.340274e-36 1.000000e+02
4.142232e-03 8.334459e-36 1.000000e+02
4.219398e-03 8.333489e-36 1.000000e+02
4.298001e-03 8.344804e-36 1.000000e+02
4.378069e-03 8.375924e-36 1.000000e+02
4.459628e-03 8.434593e-36 1.000000e+02
4.542706e-03 8.528995e-36 1.000000e+02
4.627332e-03 8.668051e-36 1.000000e+02
4.713535e-03 8.861809e-36 1.000000e+02
4.801343e-03 9.121959e-36 1.000000e+02
4.890787e-03 9.462506e-36 1.000000e+02
4.981898e-03 9.900658e-36 1.000000e+02
5.074705e-03 1.045643e-35 1.000000e+02
5.169242e-03 1.114304e-35 1.000000e+02
5.265540e-03 1.197156e-35 1.000000e+02
5.363631e-03 1.295537e-35 1.000000e+02
5.463550e-03 1.410994e-35 1.000000e+02
5.565331e-03 1.545261e-35 1.000000e+02
5.669007e-03 1.700218e-35 1.000000e+02
5.774615e-03 1.877839e-35 1.000000e+02
5.882190e-03 2.080118e-35 1.000000e+02
5.991770e-03 2.308970e-35 1.000000e+02
6.103390e-03 2.566559e-35 1.000000e+02
6.217090e-03 2.857434e-35 1.000000e+02
6.332908e-03 3.187888e-35 1.000000e+02
6.450884e-03 3.565672e-35 1.000000e+02
6.571058e-03 4.000382e-35 1.000000e+02
6.693470e-03 4.503944e-35 1.000000e+02
6.818162e-03 5.091268e-35 1.000000e+02
6.945178e-03 5.781098e-35 1.000000e+02
7.074559e-03 6.597039e-35 1.000000e+02
7.206351e-03 7.567114e-35 1.000000e+02
7.340598e-03 8.724637e-35 1.000000e+02
7.477346e-03 1.011093e-34 1.000000e+02
7.616642e-03 1.177747e-34 1.000000e+02
7.758532e-03 1.378861e-34 1.000000e+02
7.903066e-03 1.622510e-34 1.000000e+02
8.050292e-03 1.918870e-34 1.000000e+02
8.200261e-03 2.281403e-34 1.000000e+02
8.353023e-03 2.728595e-34 1.000000e+02
8.508632e-03 3.285141e-34 1.000000e+02
8.667139e-03 3.984224e-34 1.000000e+02
8.828599e-03 4.870855e-34 1.000000e+02
8.993067e-03 6.006696e-34 1.000000e+02
9.160598e-03 7.474590e-34 1.000000e+02
9.331251e-03 9.374700e-34 1.000000e+02
9.505083e-03 1.183197e-33 1.000000e+02
9.682153e-03 1.500366e-33 1.000000e+02
9.862522e-03 1.908489e-33 1.000000e+02
1.004625e-02 2.431354e-33 1.000000e+02
1.023340e-02 3.099840e-33 1.000000e+02
1.042404e-02 3.958335e-33 1.000000e+02
1.061823e-02 5.067535e-33 1.000000e+02
1.081604e-02 6.510588e-33 1.000000e+02
1.101753e-02 8.402559e-33 1.000000e+02
1.122277e-02 1.090154e-32 1.000000e+02
1.143184e-02 1.421750e-32 1.000000e+02
1.164481e-02 1.863477e-32 1.000000e+02
1.186174e-02 2.454134e-32 1.000000e+02
1.208271e-02 3.246791e-32 1.000000e+02
1.230780e-02 4.314842e-32 1.000000e+02
1.253708e-02 5.760919e-32 1.000000e+02
1.277063e-02 7.728653e-32 1.000000e+02
1.300854e-02 1.042005e-31 1.000000e+02
1.325087e-02 1.412046e-31 1.000000e+02
1.349772e-02 1.923394e-31 1.000000e+02
1.374917e-02 2.633587e-31 1.000000e+02
1.400531e-02 3.624988e-31 1.000000e+02
1.426621e-02 5.016124e-31 1.000000e+02
1.453198e-02 6.978625e-31 1.000000e+02
1.480269e-02 9.762295e-31 1.000000e+02
1.507845e-02 1.373266e-30 1.000000e+02
1.535935e-02 1.942735e-30 1.000000e+02
1.564548e-02 2.764105e-30 1.000000e+02
1.593694e-02 3.955512e-30 1.000000e+02
1.623382e-02 5.693575e-30 1.000000e+02
1.653624e-02 8.244050e-30 1.000000e+02
1.684430e-02 1.200921e-29 1.000000e+02
1.715809e-02 1.760156e-29 1.000000e+02
1.747773e-02 2.595947e-29 1.000000e+02
1.780332e-02 3.852952e-29 1.000000e+02
1.813498e-02 5.755575e-29 1.000000e+02
1.847281e-02 8.653760e-29 1.000000e+02
1.881694e-02 1.309602e-28 1.000000e+02
