# C11 + He3 > O14 + g   [C11He3TOO14g]   ref=TALYS2
# detailed balance: alpha=2.8818e+11 beta=1.5 gamma=-203.939  Q=17.5742
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 9.996882e-36 1.000000e+02
1.037605e-03 9.994038e-36 1.000000e+02
1.056935e-03 9.991461e-36 1.000000e+02
1.076624e-03 9.989141e-36 1.000000e+02
1.096681e-03 9.987070e-36 1.000000e+02
1.117111e-03 9.985237e-36 1.000000e+02
1.137921e-03 9.983636e-36 1.000000e+02
1.159120e-03 9.982256e-36 1.000000e+02
1.180713e-03 9.981088e-36 1.000000e+02
1.202708e-03 9.980125e-36 1.000000e+02
1.225114e-03 9.979358e-36 1.000000e+02
1.247936e-03 9.978776e-36 1.000000e+02
1.271184e-03 9.978373e-36 1.000000e+02
1.294865e-03 9.978138e-36 1.000000e+02
1.318987e-03 9.978064e-36 1.000000e+02
1.343558e-03 9.978141e-36 1.000000e+02
1.368587e-03 9.978361e-36 1.000000e+02
1.394083e-03 9.978715e-36 1.000000e+02
1.420053e-03 9.979195e-36 1.000000e+02
1.446507e-03 9.979791e-36 1.000000e+02
1.473454e-03 9.980495e-36 1.000000e+02
1.500903e-03 9.981298e-36 1.000000e+02
1.528864e-03 9.982192e-36 1.000000e+02
1.557345e-03 9.983168e-36 1.000000e+02
1.586357e-03 9.984216e-36 1.000000e+02
1.615909e-03 9.985329e-36 1.000000e+02
1.646012e-03 9.986498e-36 1.000000e+02
1.676675e-03 9.987714e-36 1.000000e+02
1.707910e-03 9.988968e-36 1.000000e+02
1.739726e-03 9.990251e-36 1.000000e+02
1.772136e-03 9.991555e-36 1.000000e+02
1.805149e-03 9.992872e-36 1.000000e+02
1.838777e-03 9.994191e-36 1.000000e+02
1.873032e-03 9.995505e-36 1.000000e+02
1.907924e-03 9.996805e-36 1.000000e+02
1.943467e-03 9.998082e-36 1.000000e+02
1.979672e-03 9.999328e-36 1.000000e+02
2.016551e-03 1.000053e-35 1.000000e+02
2.054117e-03 1.000169e-35 1.000000e+02
2.092383e-03 1.000279e-35 1.000000e+02
2.131362e-03 1.000382e-35 1.000000e+02
2.171068e-03 1.000477e-35 1.000000e+02
2.211512e-03 1.000564e-35 1.000000e+02
2.252711e-03 1.000642e-35 1.000000e+02
2.294676e-03 1.000710e-35 1.000000e+02
2.337424e-03 1.000766e-35 1.000000e+02
2.380968e-03 1.000811e-35 1.000000e+02
2.425323e-03 1.000843e-35 1.000000e+02
2.470504e-03 1.000861e-35 1.000000e+02
2.516527e-03 1.000864e-35 1.000000e+02
2.563407e-03 1.000852e-35 1.000000e+02
2.611161e-03 1.000824e-35 1.000000e+02
2.659804e-03 1.000779e-35 1.000000e+02
2.709354e-03 1.000715e-35 1.000000e+02
2.759826e-03 1.000633e-35 1.000000e+02
2.811239e-03 1.000530e-35 1.000000e+02
2.863610e-03 1.000407e-35 1.000000e+02
2.916956e-03 1.000263e-35 1.000000e+02
2.971296e-03 1.000096e-35 1.000000e+02
3.026648e-03 9.999061e-36 1.000000e+02
3.083031e-03 9.996971e-36 1.000000e+02
3.140465e-03 9.994781e-36 1.000000e+02
3.198969e-03 9.992584e-36 1.000000e+02
3.258562e-03 9.990472e-36 1.000000e+02
3.319266e-03 9.988539e-36 1.000000e+02
3.381101e-03 9.986877e-36 1.000000e+02
3.444087e-03 9.985579e-36 1.000000e+02
3.508247e-03 9.984736e-36 1.000000e+02
3.573602e-03 9.984442e-36 1.000000e+02
3.640175e-03 9.984790e-36 1.000000e+02
3.707988e-03 9.985871e-36 1.000000e+02
3.777064e-03 9.987780e-36 1.000000e+02
3.847427e-03 9.990608e-36 1.000000e+02
3.919100e-03 9.994451e-36 1.000000e+02
3.992109e-03 9.999401e-36 1.000000e+02
4.066478e-03 1.000548e-35 1.000000e+02
4.142232e-03 1.001230e-35 1.000000e+02
4.219398e-03 1.001932e-35 1.000000e+02
4.298001e-03 1.002601e-35 1.000000e+02
4.378069e-03 1.003184e-35 1.000000e+02
4.459628e-03 1.003628e-35 1.000000e+02
4.542706e-03 1.003877e-35 1.000000e+02
4.627332e-03 1.003880e-35 1.000000e+02
4.713535e-03 1.003582e-35 1.000000e+02
4.801343e-03 1.002931e-35 1.000000e+02
4.890787e-03 1.001873e-35 1.000000e+02
4.981898e-03 1.000356e-35 1.000000e+02
5.074705e-03 9.983430e-36 1.000000e+02
5.169242e-03 9.958867e-36 1.000000e+02
5.265540e-03 9.930820e-36 1.000000e+02
5.363631e-03 9.900230e-36 1.000000e+02
5.463550e-03 9.868030e-36 1.000000e+02
5.565331e-03 9.835142e-36 1.000000e+02
5.669007e-03 9.802477e-36 1.000000e+02
5.774615e-03 9.770932e-36 1.000000e+02
5.882190e-03 9.741395e-36 1.000000e+02
5.991770e-03 9.714743e-36 1.000000e+02
6.103390e-03 9.691636e-36 1.000000e+02
6.217090e-03 9.671690e-36 1.000000e+02
6.332908e-03 9.654202e-36 1.000000e+02
6.450884e-03 9.638476e-36 1.000000e+02
6.571058e-03 9.623824e-36 1.000000e+02
6.693470e-03 9.609560e-36 1.000000e+02
6.818162e-03 9.595002e-36 1.000000e+02
6.945178e-03 9.579474e-36 1.000000e+02
7.074559e-03 9.562413e-36 1.000000e+02
7.206351e-03 9.545054e-36 1.000000e+02
7.340598e-03 9.530103e-36 1.000000e+02
7.477346e-03 9.520294e-36 1.000000e+02
7.616642e-03 9.518355e-36 1.000000e+02
7.758532e-03 9.527028e-36 1.000000e+02
7.903066e-03 9.549095e-36 1.000000e+02
8.050292e-03 9.587322e-36 1.000000e+02
8.200261e-03 9.639288e-36 1.000000e+02
8.353023e-03 9.694447e-36 1.000000e+02
8.508632e-03 9.741346e-36 1.000000e+02
8.667139e-03 9.768324e-36 1.000000e+02
8.828599e-03 9.763682e-36 1.000000e+02
8.993067e-03 9.715990e-36 1.000000e+02
9.160598e-03 9.623711e-36 1.000000e+02
9.331251e-03 9.527167e-36 1.000000e+02
9.505083e-03 9.476918e-36 1.000000e+02
9.682153e-03 9.522899e-36 1.000000e+02
9.862522e-03 9.718216e-36 1.000000e+02
1.004625e-02 1.012566e-35 1.000000e+02
1.023340e-02 1.079152e-35 1.000000e+02
1.042404e-02 1.170719e-35 1.000000e+02
1.061823e-02 1.285542e-35 1.000000e+02
1.081604e-02 1.420811e-35 1.000000e+02
1.101753e-02 1.571653e-35 1.000000e+02
1.122277e-02 1.732962e-35 1.000000e+02
1.143184e-02 1.906365e-35 1.000000e+02
1.164481e-02 2.095998e-35 1.000000e+02
1.186174e-02 2.307420e-35 1.000000e+02
1.208271e-02 2.547934e-35 1.000000e+02
1.230780e-02 2.824623e-35 1.000000e+02
1.253708e-02 3.142565e-35 1.000000e+02
1.277063e-02 3.507192e-35 1.000000e+02
1.300854e-02 3.924519e-35 1.000000e+02
1.325087e-02 4.401705e-35 1.000000e+02
1.349772e-02 4.949025e-35 1.000000e+02
1.374917e-02 5.579362e-35 1.000000e+02
1.400531e-02 6.308377e-35 1.000000e+02
1.426621e-02 7.154949e-35 1.000000e+02
1.453198e-02 8.141143e-35 1.000000e+02
1.480269e-02 9.293424e-35 1.000000e+02
1.507845e-02 1.064386e-34 1.000000e+02
1.535935e-02 1.223159e-34 1.000000e+02
1.564548e-02 1.410467e-34 1.000000e+02
1.593694e-02 1.632213e-34 1.000000e+02
1.623382e-02 1.895678e-34 1.000000e+02
1.653624e-02 2.209938e-34 1.000000e+02
1.684430e-02 2.586338e-34 1.000000e+02
1.715809e-02 3.039079e-34 1.000000e+02
1.747773e-02 3.586013e-34 1.000000e+02
1.780332e-02 4.249684e-34 1.000000e+02
1.813498e-02 5.058684e-34 1.000000e+02
1.847281e-02 6.049144e-34 1.000000e+02
1.881694e-02 7.266698e-34 1.000000e+02
1.916748e-02 8.769540e-34 1.000000e+02
1.952456e-02 1.063219e-33 1.000000e+02
1.988828e-02 1.295042e-33 1.000000e+02
2.025878e-02 1.584813e-33 1.000000e+02
2.063618e-02 1.948958e-33 1.000000e+02
2.102061e-02 2.409362e-33 1.000000e+02
2.141220e-02 2.995178e-33 1.000000e+02
2.181109e-02 3.745499e-33 1.000000e+02
2.221741e-02 4.713125e-33 1.000000e+02
2.263130e-02 5.969887e-33 1.000000e+02
2.305289e-02 7.614244e-33 1.000000e+02
2.348235e-02 9.782202e-33 1.000000e+02
2.391980e-02 1.266314e-32 1.000000e+02
2.436540e-02 1.652291e-32 1.000000e+02
2.481930e-02 2.173791e-32 1.000000e+02
2.528166e-02 2.884487e-32 1.000000e+02
2.575263e-02 3.860041e-32 1.000000e+02
2.623238e-02 5.207200e-32 1.000000e+02
2.672106e-02 7.078141e-32 1.000000e+02
2.721885e-02 9.690588e-32 1.000000e+02
2.772591e-02 1.335704e-31 1.000000e+02
2.824241e-02 1.852735e-31 1.000000e+02
2.876854e-02 2.585070e-31 1.000000e+02
2.930447e-02 3.626609e-31 1.000000e+02
2.985038e-02 5.113426e-31 1.000000e+02
3.040646e-02 7.244066e-31 1.000000e+02
3.097291e-02 1.032228e-30 1.000000e+02
3.154990e-02 1.482092e-30 1.000000e+02
3.213764e-02 2.148168e-30 1.000000e+02
3.273634e-02 3.148776e-30 1.000000e+02
3.334618e-02 4.676090e-30 1.000000e+02
3.396739e-02 7.048202e-30 1.000000e+02
3.460016e-02 1.080228e-29 1.000000e+02
3.524473e-02 1.686478e-29 1.000000e+02
3.590130e-02 2.686962e-29 1.000000e+02
3.657011e-02 4.376681e-29 1.000000e+02
3.725137e-02 7.301593e-29 1.000000e+02
3.794533e-02 1.249876e-28 1.000000e+02
3.865221e-02 2.199274e-28 1.000000e+02
3.937226e-02 3.985129e-28 1.000000e+02
4.010573e-02 7.449740e-28 1.000000e+02
4.085286e-02 1.436387e-27 1.000000e+02
4.161391e-02 2.840521e-27 1.000000e+02
4.238913e-02 5.724099e-27 1.000000e+02
4.317880e-02 1.167845e-26 1.000000e+02
4.398317e-02 2.396729e-26 1.000000e+02
4.480254e-02 4.915805e-26 1.000000e+02
4.563716e-02 1.001150e-25 1.000000e+02
4.648734e-02 2.011494e-25 1.000000e+02
4.735335e-02 3.961321e-25 1.000000e+02
4.823549e-02 7.597129e-25 1.000000e+02
4.913407e-02 1.409723e-24 1.000000e+02
5.004939e-02 2.514661e-24 1.000000e+02
5.098176e-02 4.294856e-24 1.000000e+02
5.193150e-02 7.054545e-24 1.000000e+02
5.289893e-02 1.121369e-23 1.000000e+02
5.388438e-02 1.735785e-23 1.000000e+02
5.488820e-02 2.632805e-23 1.000000e+02
5.591071e-02 3.937540e-23 1.000000e+02
5.695227e-02 5.842827e-23 1.000000e+02
5.801323e-02 8.656074e-23 1.000000e+02
5.909396e-02 1.288329e-22 1.000000e+02
6.019482e-02 1.938408e-22 1.000000e+02
6.131619e-02 2.959831e-22 1.000000e+02
6.245845e-02 4.578891e-22 1.000000e+02
6.362198e-02 7.158779e-22 1.000000e+02
6.480720e-02 1.128279e-21 1.000000e+02
6.601449e-02 1.788164e-21 1.000000e+02
6.724427e-02 2.842658e-21 1.000000e+02
6.849697e-02 4.521500e-21 1.000000e+02
6.977300e-02 7.177854e-21 1.000000e+02
7.107280e-02 1.134742e-20 1.000000e+02
7.239681e-02 1.785919e-20 1.000000e+02
7.374549e-02 2.799701e-20 1.000000e+02
7.511929e-02 4.373911e-20 1.000000e+02
7.651869e-02 6.813348e-20 1.000000e+02
7.794416e-02 1.058783e-19 1.000000e+02
7.939618e-02 1.642227e-19 1.000000e+02
8.087525e-02 2.543482e-19 1.000000e+02
8.238187e-02 3.930576e-19 1.000000e+02
8.391656e-02 6.050070e-19 1.000000e+02
8.547985e-02 9.259237e-19 1.000000e+02
8.707225e-02 1.406482e-18 1.000000e+02
8.869432e-02 2.116756e-18 1.000000e+02
9.034660e-02 3.150809e-18 1.000000e+02
9.202967e-02 4.637469e-18 1.000000e+02
9.374409e-02 6.769706e-18 1.000000e+02
9.549045e-02 9.835559e-18 1.000000e+02
9.726934e-02 1.427182e-17 1.000000e+02
9.908137e-02 2.075495e-17 1.000000e+02
1.009272e-01 3.035181e-17 1.000000e+02
1.028073e-01 4.466166e-17 1.000000e+02
1.047225e-01 6.598527e-17 1.000000e+02
1.066734e-01 9.766608e-17 1.000000e+02
1.086606e-01 1.444933e-16 1.000000e+02
1.106848e-01 2.132004e-16 1.000000e+02
1.127468e-01 3.133010e-16 1.000000e+02
1.148472e-01 4.584931e-16 1.000000e+02
1.169866e-01 6.682099e-16 1.000000e+02
1.191660e-01 9.698713e-16 1.000000e+02
1.213859e-01 1.401992e-15 1.000000e+02
1.236472e-01 2.018278e-15 1.000000e+02
1.259506e-01 2.893130e-15 1.000000e+02
1.282970e-01 4.129081e-15 1.000000e+02
1.306870e-01 5.866504e-15 1.000000e+02
1.331216e-01 8.287910e-15 1.000000e+02
1.356015e-01 1.160831e-14 1.000000e+02
1.381276e-01 1.606905e-14 1.000000e+02
1.407008e-01 2.191624e-14 1.000000e+02
1.433219e-01 2.948429e-14 1.000000e+02
1.459919e-01 3.947561e-14 1.000000e+02
1.487115e-01 5.311374e-14 1.000000e+02
1.514819e-01 7.248866e-14 1.000000e+02
1.543038e-01 1.004544e-13 1.000000e+02
1.571784e-01 1.404275e-13 1.000000e+02
1.601064e-01 1.966739e-13 1.000000e+02
1.630891e-01 2.744323e-13 1.000000e+02
1.661273e-01 3.811510e-13 1.000000e+02
1.692220e-01 5.269387e-13 1.000000e+02
1.723745e-01 7.251900e-13 1.000000e+02
1.755856e-01 9.935732e-13 1.000000e+02
1.788566e-01 1.355289e-12 1.000000e+02
1.821885e-01 1.840724e-12 1.000000e+02
1.855825e-01 2.490403e-12 1.000000e+02
