# C11 + a > O15 + g   [C11aTOO15g]   ref=TALYS2
# detailed balance: alpha=9.9378e+10 beta=1.5 gamma=-118.594  Q=10.2196
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 9.997371e-36 1.000000e+02
1.037605e-03 9.994974e-36 1.000000e+02
1.056935e-03 9.992801e-36 1.000000e+02
1.076624e-03 9.990844e-36 1.000000e+02
1.096681e-03 9.989097e-36 1.000000e+02
1.117111e-03 9.987552e-36 1.000000e+02
1.137921e-03 9.986202e-36 1.000000e+02
1.159120e-03 9.985038e-36 1.000000e+02
1.180713e-03 9.984054e-36 1.000000e+02
1.202708e-03 9.983241e-36 1.000000e+02
1.225114e-03 9.982594e-36 1.000000e+02
1.247936e-03 9.982104e-36 1.000000e+02
1.271184e-03 9.981763e-36 1.000000e+02
1.294865e-03 9.981566e-36 1.000000e+02
1.318987e-03 9.981503e-36 1.000000e+02
1.343558e-03 9.981568e-36 1.000000e+02
1.368587e-03 9.981754e-36 1.000000e+02
1.394083e-03 9.982052e-36 1.000000e+02
1.420053e-03 9.982457e-36 1.000000e+02
1.446507e-03 9.982959e-36 1.000000e+02
1.473454e-03 9.983553e-36 1.000000e+02
1.500903e-03 9.984231e-36 1.000000e+02
1.528864e-03 9.984984e-36 1.000000e+02
1.557345e-03 9.985807e-36 1.000000e+02
1.586357e-03 9.986691e-36 1.000000e+02
1.615909e-03 9.987630e-36 1.000000e+02
1.646012e-03 9.988616e-36 1.000000e+02
1.676675e-03 9.989641e-36 1.000000e+02
1.707910e-03 9.990698e-36 1.000000e+02
1.739726e-03 9.991780e-36 1.000000e+02
1.772136e-03 9.992880e-36 1.000000e+02
1.805149e-03 9.993990e-36 1.000000e+02
1.838777e-03 9.995102e-36 1.000000e+02
1.873032e-03 9.996210e-36 1.000000e+02
1.907924e-03 9.997307e-36 1.000000e+02
1.943467e-03 9.998383e-36 1.000000e+02
1.979672e-03 9.999433e-36 1.000000e+02
2.016551e-03 1.000045e-35 1.000000e+02
2.054117e-03 1.000142e-35 1.000000e+02
2.092383e-03 1.000235e-35 1.000000e+02
2.131362e-03 1.000322e-35 1.000000e+02
2.171068e-03 1.000402e-35 1.000000e+02
2.211512e-03 1.000476e-35 1.000000e+02
2.252711e-03 1.000541e-35 1.000000e+02
2.294676e-03 1.000598e-35 1.000000e+02
2.337424e-03 1.000646e-35 1.000000e+02
2.380968e-03 1.000684e-35 1.000000e+02
2.425323e-03 1.000710e-35 1.000000e+02
2.470504e-03 1.000726e-35 1.000000e+02
2.516527e-03 1.000729e-35 1.000000e+02
2.563407e-03 1.000719e-35 1.000000e+02
2.611161e-03 1.000695e-35 1.000000e+02
2.659804e-03 1.000656e-35 1.000000e+02
2.709354e-03 1.000603e-35 1.000000e+02
2.759826e-03 1.000533e-35 1.000000e+02
2.811239e-03 1.000447e-35 1.000000e+02
2.863610e-03 1.000344e-35 1.000000e+02
2.916956e-03 1.000222e-35 1.000000e+02
2.971296e-03 1.000081e-35 1.000000e+02
3.026648e-03 9.999208e-36 1.000000e+02
3.083031e-03 9.997446e-36 1.000000e+02
3.140465e-03 9.995599e-36 1.000000e+02
3.198969e-03 9.993747e-36 1.000000e+02
3.258562e-03 9.991967e-36 1.000000e+02
3.319266e-03 9.990337e-36 1.000000e+02
3.381101e-03 9.988935e-36 1.000000e+02
3.444087e-03 9.987840e-36 1.000000e+02
3.508247e-03 9.987130e-36 1.000000e+02
3.573602e-03 9.986882e-36 1.000000e+02
3.640175e-03 9.987175e-36 1.000000e+02
3.707988e-03 9.988087e-36 1.000000e+02
3.777064e-03 9.989696e-36 1.000000e+02
3.847427e-03 9.992081e-36 1.000000e+02
3.919100e-03 9.995321e-36 1.000000e+02
3.992109e-03 9.999495e-36 1.000000e+02
4.066478e-03 1.000462e-35 1.000000e+02
4.142232e-03 1.001036e-35 1.000000e+02
4.219398e-03 1.001628e-35 1.000000e+02
4.298001e-03 1.002193e-35 1.000000e+02
4.378069e-03 1.002684e-35 1.000000e+02
4.459628e-03 1.003058e-35 1.000000e+02
