# C12 + t > C14 + p   [C12tTOC14p]   ref=TALYS2
# detailed balance: alpha=4.1069 beta=0 gamma=-53.8558  Q=4.6409
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.012506e-35 1.000000e+02
1.037605e-03 1.021809e-35 1.000000e+02
1.056935e-03 1.027939e-35 1.000000e+02
1.076624e-03 1.030956e-35 1.000000e+02
1.096681e-03 1.030950e-35 1.000000e+02
1.117111e-03 1.028041e-35 1.000000e+02
1.137921e-03 1.022369e-35 1.000000e+02
1.159120e-03 1.014099e-35 1.000000e+02
1.180713e-03 1.003408e-35 1.000000e+02
1.202708e-03 9.904890e-36 1.000000e+02
1.225114e-03 9.755434e-36 1.000000e+02
1.247936e-03 9.587785e-36 1.000000e+02
1.271184e-03 9.404045e-36 1.000000e+02
1.294865e-03 9.206315e-36 1.000000e+02
1.318987e-03 8.996667e-36 1.000000e+02
1.343558e-03 8.777121e-36 1.000000e+02
1.368587e-03 8.549626e-36 1.000000e+02
1.394083e-03 8.316043e-36 1.000000e+02
1.420053e-03 8.078130e-36 1.000000e+02
1.446507e-03 7.837535e-36 1.000000e+02
1.473454e-03 7.595784e-36 1.000000e+02
1.500903e-03 7.354280e-36 1.000000e+02
1.528864e-03 7.114299e-36 1.000000e+02
1.557345e-03 6.876990e-36 1.000000e+02
1.586357e-03 6.643380e-36 1.000000e+02
1.615909e-03 6.414370e-36 1.000000e+02
1.646012e-03 6.190750e-36 1.000000e+02
1.676675e-03 5.973195e-36 1.000000e+02
1.707910e-03 5.762280e-36 1.000000e+02
1.739726e-03 5.558482e-36 1.000000e+02
1.772136e-03 5.362190e-36 1.000000e+02
1.805149e-03 5.173712e-36 1.000000e+02
1.838777e-03 4.993286e-36 1.000000e+02
1.873032e-03 4.821083e-36 1.000000e+02
1.907924e-03 4.657220e-36 1.000000e+02
1.943467e-03 4.501766e-36 1.000000e+02
1.979672e-03 4.354748e-36 1.000000e+02
2.016551e-03 4.216159e-36 1.000000e+02
2.054117e-03 4.085967e-36 1.000000e+02
2.092383e-03 3.964118e-36 1.000000e+02
2.131362e-03 3.850544e-36 1.000000e+02
2.171068e-03 3.745168e-36 1.000000e+02
2.211512e-03 3.647912e-36 1.000000e+02
2.252711e-03 3.558697e-36 1.000000e+02
2.294676e-03 3.477454e-36 1.000000e+02
2.337424e-03 3.404124e-36 1.000000e+02
2.380968e-03 3.338666e-36 1.000000e+02
2.425323e-03 3.281060e-36 1.000000e+02
2.470504e-03 3.231312e-36 1.000000e+02
2.516527e-03 3.189460e-36 1.000000e+02
2.563407e-03 3.155577e-36 1.000000e+02
2.611161e-03 3.129781e-36 1.000000e+02
2.659804e-03 3.112236e-36 1.000000e+02
2.709354e-03 3.103162e-36 1.000000e+02
2.759826e-03 3.102842e-36 1.000000e+02
2.811239e-03 3.111632e-36 1.000000e+02
2.863610e-03 3.129969e-36 1.000000e+02
2.916956e-03 3.158385e-36 1.000000e+02
2.971296e-03 3.197520e-36 1.000000e+02
3.026648e-03 3.248097e-36 1.000000e+02
3.083031e-03 3.309867e-36 1.000000e+02
3.140465e-03 3.381446e-36 1.000000e+02
3.198969e-03 3.461319e-36 1.000000e+02
3.258562e-03 3.547851e-36 1.000000e+02
3.319266e-03 3.639240e-36 1.000000e+02
3.381101e-03 3.733487e-36 1.000000e+02
3.444087e-03 3.828374e-36 1.000000e+02
3.508247e-03 3.921451e-36 1.000000e+02
3.573602e-03 4.010045e-36 1.000000e+02
3.640175e-03 4.091274e-36 1.000000e+02
3.707988e-03 4.162095e-36 1.000000e+02
3.777064e-03 4.219360e-36 1.000000e+02
3.847427e-03 4.259900e-36 1.000000e+02
3.919100e-03 4.280629e-36 1.000000e+02
3.992109e-03 4.278664e-36 1.000000e+02
4.066478e-03 4.254054e-36 1.000000e+02
4.142232e-03 4.221405e-36 1.000000e+02
4.219398e-03 4.199886e-36 1.000000e+02
4.298001e-03 4.208357e-36 1.000000e+02
4.378069e-03 4.266286e-36 1.000000e+02
4.459628e-03 4.395593e-36 1.000000e+02
4.542706e-03 4.623630e-36 1.000000e+02
4.627332e-03 4.987865e-36 1.000000e+02
4.713535e-03 5.543450e-36 1.000000e+02
4.801343e-03 6.375984e-36 1.000000e+02
4.890787e-03 7.624019e-36 1.000000e+02
4.981898e-03 9.520464e-36 1.000000e+02
5.074705e-03 1.246214e-35 1.000000e+02
5.169242e-03 1.706435e-35 1.000000e+02
5.265540e-03 2.432944e-35 1.000000e+02
5.363631e-03 3.594997e-35 1.000000e+02
5.463550e-03 5.479825e-35 1.000000e+02
5.565331e-03 8.576593e-35 1.000000e+02
5.669007e-03 1.371895e-34 1.000000e+02
5.774615e-03 2.232356e-34 1.000000e+02
5.882190e-03 3.678073e-34 1.000000e+02
5.991770e-03 6.107587e-34 1.000000e+02
6.103390e-03 1.018393e-33 1.000000e+02
6.217090e-03 1.707228e-33 1.000000e+02
6.332908e-03 2.885340e-33 1.000000e+02
6.450884e-03 4.929818e-33 1.000000e+02
6.571058e-03 8.538715e-33 1.000000e+02
6.693470e-03 1.503422e-32 1.000000e+02
6.818162e-03 2.698331e-32 1.000000e+02
6.945178e-03 4.950334e-32 1.000000e+02
7.074559e-03 9.307456e-32 1.000000e+02
7.206351e-03 1.793503e-31 1.000000e+02
7.340598e-03 3.534651e-31 1.000000e+02
7.477346e-03 7.109449e-31 1.000000e+02
7.616642e-03 1.456269e-30 1.000000e+02
7.758532e-03 3.031344e-30 1.000000e+02
7.903066e-03 6.398647e-30 1.000000e+02
8.050292e-03 1.366818e-29 1.000000e+02
8.200261e-03 2.963810e-29 1.000000e+02
8.353023e-03 6.595770e-29 1.000000e+02
8.508632e-03 1.524057e-28 1.000000e+02
8.667139e-03 3.699155e-28 1.000000e+02
8.828599e-03 9.541455e-28 1.000000e+02
8.993067e-03 2.645955e-27 1.000000e+02
9.160598e-03 7.914472e-27 1.000000e+02
9.331251e-03 2.466566e-26 1.000000e+02
9.505083e-03 7.654070e-26 1.000000e+02
9.682153e-03 2.260053e-25 1.000000e+02
9.862522e-03 6.068320e-25 1.000000e+02
1.004625e-02 1.416255e-24 1.000000e+02
1.023340e-02 2.825410e-24 1.000000e+02
1.042404e-02 5.007324e-24 1.000000e+02
1.061823e-02 8.244926e-24 1.000000e+02
1.081604e-02 1.319158e-23 1.000000e+02
1.101753e-02 2.144890e-23 1.000000e+02
1.122277e-02 3.660597e-23 1.000000e+02
1.143184e-02 6.516016e-23 1.000000e+02
1.164481e-02 1.193170e-22 1.000000e+02
1.186174e-02 2.216760e-22 1.000000e+02
1.208271e-02 4.121971e-22 1.000000e+02
1.230780e-02 7.620980e-22 1.000000e+02
1.253708e-02 1.405684e-21 1.000000e+02
1.277063e-02 2.597213e-21 1.000000e+02
1.300854e-02 4.826604e-21 1.000000e+02
1.325087e-02 9.049476e-21 1.000000e+02
1.349772e-02 1.710840e-20 1.000000e+02
1.374917e-02 3.256884e-20 1.000000e+02
1.400531e-02 6.234537e-20 1.000000e+02
1.426621e-02 1.198773e-19 1.000000e+02
