# C14 + t > N17 + g   [C14tTON17g]   ref=TALYS2
# detailed balance: alpha=3.8615e+10 beta=1.5 gamma=-117.19  Q=10.0987
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.007072e-35 1.000000e+02
1.037605e-03 1.012275e-35 1.000000e+02
1.056935e-03 1.015649e-35 1.000000e+02
1.076624e-03 1.017242e-35 1.000000e+02
1.096681e-03 1.017114e-35 1.000000e+02
1.117111e-03 1.015332e-35 1.000000e+02
1.137921e-03 1.011972e-35 1.000000e+02
1.159120e-03 1.007117e-35 1.000000e+02
1.180713e-03 1.000855e-35 1.000000e+02
1.202708e-03 9.932794e-36 1.000000e+02
1.225114e-03 9.844849e-36 1.000000e+02
1.247936e-03 9.745702e-36 1.000000e+02
1.271184e-03 9.636347e-36 1.000000e+02
1.294865e-03 9.517784e-36 1.000000e+02
1.318987e-03 9.391008e-36 1.000000e+02
1.343558e-03 9.257003e-36 1.000000e+02
1.368587e-03 9.116734e-36 1.000000e+02
1.394083e-03 8.971140e-36 1.000000e+02
1.420053e-03 8.821133e-36 1.000000e+02
1.446507e-03 8.667589e-36 1.000000e+02
1.473454e-03 8.511348e-36 1.000000e+02
1.500903e-03 8.353208e-36 1.000000e+02
1.528864e-03 8.193925e-36 1.000000e+02
1.557345e-03 8.034213e-36 1.000000e+02
1.586357e-03 7.874738e-36 1.000000e+02
1.615909e-03 7.716125e-36 1.000000e+02
1.646012e-03 7.558952e-36 1.000000e+02
1.676675e-03 7.403753e-36 1.000000e+02
1.707910e-03 7.251020e-36 1.000000e+02
1.739726e-03 7.101205e-36 1.000000e+02
1.772136e-03 6.954719e-36 1.000000e+02
1.805149e-03 6.811936e-36 1.000000e+02
1.838777e-03 6.673195e-36 1.000000e+02
1.873032e-03 6.538802e-36 1.000000e+02
1.907924e-03 6.409033e-36 1.000000e+02
1.943467e-03 6.284138e-36 1.000000e+02
1.979672e-03 6.164341e-36 1.000000e+02
2.016551e-03 6.049843e-36 1.000000e+02
2.054117e-03 5.940827e-36 1.000000e+02
2.092383e-03 5.837461e-36 1.000000e+02
2.131362e-03 5.739898e-36 1.000000e+02
2.171068e-03 5.648281e-36 1.000000e+02
2.211512e-03 5.562745e-36 1.000000e+02
2.252711e-03 5.483423e-36 1.000000e+02
2.294676e-03 5.410443e-36 1.000000e+02
2.337424e-03 5.343936e-36 1.000000e+02
2.380968e-03 5.284037e-36 1.000000e+02
2.425323e-03 5.230889e-36 1.000000e+02
2.470504e-03 5.184646e-36 1.000000e+02
2.516527e-03 5.145475e-36 1.000000e+02
2.563407e-03 5.113560e-36 1.000000e+02
2.611161e-03 5.089110e-36 1.000000e+02
2.659804e-03 5.072354e-36 1.000000e+02
2.709354e-03 5.063554e-36 1.000000e+02
2.759826e-03 5.063004e-36 1.000000e+02
2.811239e-03 5.071040e-36 1.000000e+02
2.863610e-03 5.088040e-36 1.000000e+02
2.916956e-03 5.114434e-36 1.000000e+02
2.971296e-03 5.150710e-36 1.000000e+02
3.026648e-03 5.197381e-36 1.000000e+02
3.083031e-03 5.254022e-36 1.000000e+02
3.140465e-03 5.319156e-36 1.000000e+02
3.198969e-03 5.391214e-36 1.000000e+02
3.258562e-03 5.468555e-36 1.000000e+02
3.319266e-03 5.549455e-36 1.000000e+02
3.381101e-03 5.632084e-36 1.000000e+02
3.444087e-03 5.714502e-36 1.000000e+02
3.508247e-03 5.794653e-36 1.000000e+02
3.573602e-03 5.870373e-36 1.000000e+02
3.640175e-03 5.939400e-36 1.000000e+02
3.707988e-03 5.999394e-36 1.000000e+02
3.777064e-03 6.047969e-36 1.000000e+02
