# F18 + n > F19 + g   [F18nTOF19g]   ref=TALYS2
# detailed balance: alpha=2.766e+10 beta=1.5 gamma=-121.063  Q=10.4324
# T9                 rate                error
1.000000e-03 2.670000e+04 1.000000e+02
1.018629e-03 2.666508e+04 1.000000e+02
1.037605e-03 2.662999e+04 1.000000e+02
1.056935e-03 2.659474e+04 1.000000e+02
1.076624e-03 2.655934e+04 1.000000e+02
1.096681e-03 2.652379e+04 1.000000e+02
1.117111e-03 2.648811e+04 1.000000e+02
1.137921e-03 2.645229e+04 1.000000e+02
1.159120e-03 2.641634e+04 1.000000e+02
1.180713e-03 2.638028e+04 1.000000e+02
1.202708e-03 2.634410e+04 1.000000e+02
1.225114e-03 2.630782e+04 1.000000e+02
1.247936e-03 2.627144e+04 1.000000e+02
1.271184e-03 2.623497e+04 1.000000e+02
1.294865e-03 2.619841e+04 1.000000e+02
1.318987e-03 2.616177e+04 1.000000e+02
1.343558e-03 2.612506e+04 1.000000e+02
1.368587e-03 2.608828e+04 1.000000e+02
1.394083e-03 2.605144e+04 1.000000e+02
1.420053e-03 2.601455e+04 1.000000e+02
1.446507e-03 2.597761e+04 1.000000e+02
1.473454e-03 2.594062e+04 1.000000e+02
1.500903e-03 2.590361e+04 1.000000e+02
1.528864e-03 2.586656e+04 1.000000e+02
1.557345e-03 2.582950e+04 1.000000e+02
1.586357e-03 2.579241e+04 1.000000e+02
1.615909e-03 2.575532e+04 1.000000e+02
1.646012e-03 2.571822e+04 1.000000e+02
1.676675e-03 2.568113e+04 1.000000e+02
1.707910e-03 2.564404e+04 1.000000e+02
1.739726e-03 2.560697e+04 1.000000e+02
1.772136e-03 2.556991e+04 1.000000e+02
1.805149e-03 2.553289e+04 1.000000e+02
1.838777e-03 2.549589e+04 1.000000e+02
1.873032e-03 2.545893e+04 1.000000e+02
1.907924e-03 2.542202e+04 1.000000e+02
1.943467e-03 2.538516e+04 1.000000e+02
1.979672e-03 2.534835e+04 1.000000e+02
2.016551e-03 2.531160e+04 1.000000e+02
2.054117e-03 2.527492e+04 1.000000e+02
2.092383e-03 2.523831e+04 1.000000e+02
2.131362e-03 2.520178e+04 1.000000e+02
2.171068e-03 2.516533e+04 1.000000e+02
2.211512e-03 2.512897e+04 1.000000e+02
2.252711e-03 2.509270e+04 1.000000e+02
2.294676e-03 2.505654e+04 1.000000e+02
2.337424e-03 2.502048e+04 1.000000e+02
2.380968e-03 2.498453e+04 1.000000e+02
2.425323e-03 2.494870e+04 1.000000e+02
2.470504e-03 2.491299e+04 1.000000e+02
2.516527e-03 2.487741e+04 1.000000e+02
2.563407e-03 2.484196e+04 1.000000e+02
2.611161e-03 2.480665e+04 1.000000e+02
2.659804e-03 2.477148e+04 1.000000e+02
2.709354e-03 2.473645e+04 1.000000e+02
2.759826e-03 2.470158e+04 1.000000e+02
2.811239e-03 2.466687e+04 1.000000e+02
2.863610e-03 2.463233e+04 1.000000e+02
2.916956e-03 2.459795e+04 1.000000e+02
2.971296e-03 2.456375e+04 1.000000e+02
3.026648e-03 2.452973e+04 1.000000e+02
3.083031e-03 2.449611e+04 1.000000e+02
3.140465e-03 2.446329e+04 1.000000e+02
3.198969e-03 2.443171e+04 1.000000e+02
3.258562e-03 2.440179e+04 1.000000e+02
3.319266e-03 2.437393e+04 1.000000e+02
3.381101e-03 2.434856e+04 1.000000e+02
3.444087e-03 2.432610e+04 1.000000e+02
3.508247e-03 2.430695e+04 1.000000e+02
3.573602e-03 2.429154e+04 1.000000e+02
3.640175e-03 2.428028e+04 1.000000e+02
3.707988e-03 2.427359e+04 1.000000e+02
3.777064e-03 2.427189e+04 1.000000e+02
3.847427e-03 2.427559e+04 1.000000e+02
3.919100e-03 2.428512e+04 1.000000e+02
3.992109e-03 2.430092e+04 1.000000e+02
4.066478e-03 2.432319e+04 1.000000e+02
4.142232e-03 2.435083e+04 1.000000e+02
4.219398e-03 2.438234e+04 1.000000e+02
4.298001e-03 2.441617e+04 1.000000e+02
4.378069e-03 2.445078e+04 1.000000e+02
4.459628e-03 2.448463e+04 1.000000e+02
4.542706e-03 2.451615e+04 1.000000e+02
4.627332e-03 2.454379e+04 1.000000e+02
4.713535e-03 2.456597e+04 1.000000e+02
4.801343e-03 2.458112e+04 1.000000e+02
