# F19 + a > Ne22 + p   [F19aTONe22p]   ref=TALYS2
# detailed balance: alpha=6.3553 beta=0 gamma=-19.4175  Q=1.6733
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 9.999345e-36 1.000000e+02
1.037605e-03 9.998748e-36 1.000000e+02
1.056935e-03 9.998206e-36 1.000000e+02
1.076624e-03 9.997719e-36 1.000000e+02
1.096681e-03 9.997283e-36 1.000000e+02
1.117111e-03 9.996898e-36 1.000000e+02
1.137921e-03 9.996561e-36 1.000000e+02
1.159120e-03 9.996271e-36 1.000000e+02
1.180713e-03 9.996025e-36 1.000000e+02
1.202708e-03 9.995823e-36 1.000000e+02
1.225114e-03 9.995661e-36 1.000000e+02
1.247936e-03 9.995539e-36 1.000000e+02
1.271184e-03 9.995454e-36 1.000000e+02
1.294865e-03 9.995405e-36 1.000000e+02
1.318987e-03 9.995389e-36 1.000000e+02
1.343558e-03 9.995405e-36 1.000000e+02
1.368587e-03 9.995452e-36 1.000000e+02
1.394083e-03 9.995526e-36 1.000000e+02
1.420053e-03 9.995627e-36 1.000000e+02
1.446507e-03 9.995752e-36 1.000000e+02
1.473454e-03 9.995901e-36 1.000000e+02
1.500903e-03 9.996070e-36 1.000000e+02
1.528864e-03 9.996258e-36 1.000000e+02
1.557345e-03 9.996463e-36 1.000000e+02
1.586357e-03 9.996683e-36 1.000000e+02
1.615909e-03 9.996917e-36 1.000000e+02
1.646012e-03 9.997163e-36 1.000000e+02
1.676675e-03 9.997419e-36 1.000000e+02
1.707910e-03 9.997682e-36 1.000000e+02
1.739726e-03 9.997952e-36 1.000000e+02
1.772136e-03 9.998226e-36 1.000000e+02
1.805149e-03 9.998503e-36 1.000000e+02
1.838777e-03 9.998780e-36 1.000000e+02
1.873032e-03 9.999056e-36 1.000000e+02
1.907924e-03 9.999329e-36 1.000000e+02
1.943467e-03 9.999597e-36 1.000000e+02
1.979672e-03 9.999859e-36 1.000000e+02
2.016551e-03 1.000011e-35 1.000000e+02
2.054117e-03 1.000035e-35 1.000000e+02
