# Li8 + p > a + a + n   [Li8pTOaan]   ref=Men12  (analytic, PRIMAT-main.m)
# forward[T9] = With[{T932=T9^(3/2),T913=T9^(1/3),T923=T9^(2/3),T92=T9^2,T93=T9^3,T94=T9^4,T95=T9^5}, If[T9<5,( 5.36*^8/T932*Exp[-4.41/T9]+1.99*^8/T932*Exp[-7.08/T9]+5.85*^10/T923*Exp[-8.50/T913]* (1.-1.70*T9+0.849*T92-0.175*T93+1.62*^-2*T94-5.60*^-4*T95)), 7.777*^7]]   uncertainty factor f = 1
# T9                 rate                error
1.000000e-03 7.102093e-25 1.000000e+00
1.018629e-03 1.181550e-24 1.000000e+00
1.037605e-03 1.959427e-24 1.000000e+00
1.056935e-03 3.239107e-24 1.000000e+00
1.076624e-03 5.337642e-24 1.000000e+00
1.096681e-03 8.768191e-24 1.000000e+00
1.117111e-03 1.435870e-23 1.000000e+00
1.137921e-03 2.344085e-23 1.000000e+00
1.159120e-03 3.814985e-23 1.000000e+00
1.180713e-03 6.189872e-23 1.000000e+00
1.202708e-03 1.001263e-22 1.000000e+00
1.225114e-03 1.614731e-22 1.000000e+00
1.247936e-03 2.596248e-22 1.000000e+00
1.271184e-03 4.161922e-22 1.000000e+00
1.294865e-03 6.651987e-22 1.000000e+00
1.318987e-03 1.060050e-21 1.000000e+00
1.343558e-03 1.684329e-21 1.000000e+00
1.368587e-03 2.668461e-21 1.000000e+00
1.394083e-03 4.215370e-21 1.000000e+00
1.420053e-03 6.639866e-21 1.000000e+00
1.446507e-03 1.042892e-20 1.000000e+00
1.473454e-03 1.633366e-20 1.000000e+00
1.500903e-03 2.550935e-20 1.000000e+00
1.528864e-03 3.972777e-20 1.000000e+00
1.557345e-03 6.169866e-20 1.000000e+00
1.586357e-03 9.555455e-20 1.000000e+00
1.615909e-03 1.475803e-19 1.000000e+00
1.646012e-03 2.273077e-19 1.000000e+00
1.676675e-03 3.491533e-19 1.000000e+00
1.707910e-03 5.348616e-19 1.000000e+00
1.739726e-03 8.171414e-19 1.000000e+00
1.772136e-03 1.245061e-18 1.000000e+00
1.805149e-03 1.892034e-18 1.000000e+00
1.838777e-03 2.867605e-18 1.000000e+00
1.873032e-03 4.334794e-18 1.000000e+00
1.907924e-03 6.535570e-18 1.000000e+00
1.943467e-03 9.828142e-18 1.000000e+00
1.979672e-03 1.474141e-17 1.000000e+00
2.016551e-03 2.205431e-17 1.000000e+00
2.054117e-03 3.291101e-17 1.000000e+00
2.092383e-03 4.898794e-17 1.000000e+00
2.131362e-03 7.273511e-17 1.000000e+00
2.171068e-03 1.077240e-16 1.000000e+00
2.211512e-03 1.591481e-16 1.000000e+00
2.252711e-03 2.345402e-16 1.000000e+00
2.294676e-03 3.447993e-16 1.000000e+00
2.337424e-03 5.056565e-16 1.000000e+00
2.380968e-03 7.397607e-16 1.000000e+00
2.425323e-03 1.079642e-15 1.000000e+00
2.470504e-03 1.571910e-15 1.000000e+00
2.516527e-03 2.283187e-15 1.000000e+00
2.563407e-03 3.308469e-15 1.000000e+00
2.611161e-03 4.782898e-15 1.000000e+00
2.659804e-03 6.898261e-15 1.000000e+00
2.709354e-03 9.926107e-15 1.000000e+00
2.759826e-03 1.425001e-14 1.000000e+00
2.811239e-03 2.041055e-14 1.000000e+00
2.863610e-03 2.916777e-14 1.000000e+00
2.916956e-03 4.158790e-14 1.000000e+00
2.971296e-03 5.916326e-14 1.000000e+00
3.026648e-03 8.397780e-14 1.000000e+00
3.083031e-03 1.189351e-13 1.000000e+00
3.140465e-03 1.680717e-13 1.000000e+00
3.198969e-03 2.369869e-13 1.000000e+00
3.258562e-03 3.334301e-13 1.000000e+00
3.319266e-03 4.681035e-13 1.000000e+00
3.381101e-03 6.557547e-13 1.000000e+00
3.444087e-03 9.166616e-13 1.000000e+00
3.508247e-03 1.278646e-12 1.000000e+00
3.573602e-03 1.779801e-12 1.000000e+00
3.640175e-03 2.472165e-12 1.000000e+00
3.707988e-03 3.426685e-12 1.000000e+00
3.777064e-03 4.739877e-12 1.000000e+00
3.847427e-03 6.542772e-12 1.000000e+00
3.919100e-03 9.012884e-12 1.000000e+00
3.992109e-03 1.239020e-11 1.000000e+00
4.066478e-03 1.699853e-11 1.000000e+00
4.142232e-03 2.327381e-11 1.000000e+00
4.219398e-03 3.180188e-11 1.000000e+00
4.298001e-03 4.336827e-11 1.000000e+00
4.378069e-03 5.902430e-11 1.000000e+00
4.459628e-03 8.017415e-11 1.000000e+00
4.542706e-03 1.086895e-10 1.000000e+00
4.627332e-03 1.470606e-10 1.000000e+00
4.713535e-03 1.985935e-10 1.000000e+00
4.801343e-03 2.676697e-10 1.000000e+00
4.890787e-03 3.600841e-10 1.000000e+00
4.981898e-03 4.834863e-10 1.000000e+00
5.074705e-03 6.479551e-10 1.000000e+00
5.169242e-03 8.667448e-10 1.000000e+00
5.265540e-03 1.157252e-09 1.000000e+00
5.363631e-03 1.542270e-09 1.000000e+00
5.463550e-03 2.051601e-09 1.000000e+00
5.565331e-03 2.724149e-09 1.000000e+00
5.669007e-03 3.610595e-09 1.000000e+00
5.774615e-03 4.776850e-09 1.000000e+00
5.882190e-03 6.308470e-09 1.000000e+00
5.991770e-03 8.316314e-09 1.000000e+00
6.103390e-03 1.094377e-08 1.000000e+00
6.217090e-03 1.437595e-08 1.000000e+00
6.332908e-03 1.885146e-08 1.000000e+00
6.450884e-03 2.467723e-08 1.000000e+00
6.571058e-03 3.224745e-08 1.000000e+00
6.693470e-03 4.206751e-08 1.000000e+00
6.818162e-03 5.478416e-08 1.000000e+00
6.945178e-03 7.122370e-08 1.000000e+00
7.074559e-03 9.244000e-08 1.000000e+00
7.206351e-03 1.197748e-07 1.000000e+00
7.340598e-03 1.549337e-07 1.000000e+00
7.477346e-03 2.000808e-07 1.000000e+00
7.616642e-03 2.579577e-07 1.000000e+00
7.758532e-03 3.320315e-07 1.000000e+00
7.903066e-03 4.266801e-07 1.000000e+00
8.050292e-03 5.474215e-07 1.000000e+00
8.200261e-03 7.012002e-07 1.000000e+00
8.353023e-03 8.967414e-07 1.000000e+00
8.508632e-03 1.144990e-06 1.000000e+00
8.667139e-03 1.459652e-06 1.000000e+00
8.828599e-03 1.857866e-06 1.000000e+00
8.993067e-03 2.361029e-06 1.000000e+00
9.160598e-03 2.995808e-06 1.000000e+00
9.331251e-03 3.795389e-06 1.000000e+00
9.505083e-03 4.801010e-06 1.000000e+00
9.682153e-03 6.063828e-06 1.000000e+00
9.862522e-03 7.647209e-06 1.000000e+00
1.004625e-02 9.629528e-06 1.000000e+00
1.023340e-02 1.210757e-05 1.000000e+00
1.042404e-02 1.520066e-05 1.000000e+00
1.061823e-02 1.905573e-05 1.000000e+00
1.081604e-02 2.385341e-05 1.000000e+00
1.101753e-02 2.981540e-05 1.000000e+00
1.122277e-02 3.721345e-05 1.000000e+00
1.143184e-02 4.638016e-05 1.000000e+00
1.164481e-02 5.772200e-05 1.000000e+00
1.186174e-02 7.173498e-05 1.000000e+00
1.208271e-02 8.902354e-05 1.000000e+00
1.230780e-02 1.103232e-04 1.000000e+00
1.253708e-02 1.365275e-04 1.000000e+00
1.277063e-02 1.687209e-04 1.000000e+00
1.300854e-02 2.082171e-04 1.000000e+00
1.325087e-02 2.566059e-04 1.000000e+00
1.349772e-02 3.158077e-04 1.000000e+00
1.374917e-02 3.881402e-04 1.000000e+00
1.400531e-02 4.763955e-04 1.000000e+00
1.426621e-02 5.839335e-04 1.000000e+00
1.453198e-02 7.147914e-04 1.000000e+00
1.480269e-02 8.738138e-04 1.000000e+00
1.507845e-02 1.066806e-03 1.000000e+00
1.535935e-02 1.300717e-03 1.000000e+00
1.564548e-02 1.583849e-03 1.000000e+00
1.593694e-02 1.926114e-03 1.000000e+00
1.623382e-02 2.339327e-03 1.000000e+00
1.653624e-02 2.837552e-03 1.000000e+00
1.684430e-02 3.437510e-03 1.000000e+00
1.715809e-02 4.159055e-03 1.000000e+00
1.747773e-02 5.025729e-03 1.000000e+00
1.780332e-02 6.065416e-03 1.000000e+00
1.813498e-02 7.311094e-03 1.000000e+00
1.847281e-02 8.801720e-03 1.000000e+00
1.881694e-02 1.058326e-02 1.000000e+00
1.916748e-02 1.270987e-02 1.000000e+00
1.952456e-02 1.524528e-02 1.000000e+00
1.988828e-02 1.826443e-02 1.000000e+00
2.025878e-02 2.185524e-02 1.000000e+00
2.063618e-02 2.612085e-02 1.000000e+00
2.102061e-02 3.118203e-02 1.000000e+00
2.141220e-02 3.718001e-02 1.000000e+00
2.181109e-02 4.427983e-02 1.000000e+00
2.221741e-02 5.267404e-02 1.000000e+00
2.263130e-02 6.258704e-02 1.000000e+00
2.305289e-02 7.428007e-02 1.000000e+00
2.348235e-02 8.805686e-02 1.000000e+00
2.391980e-02 1.042702e-01 1.000000e+00
2.436540e-02 1.233291e-01 1.000000e+00
2.481930e-02 1.457078e-01 1.000000e+00
2.528166e-02 1.719549e-01 1.000000e+00
2.575263e-02 2.027047e-01 1.000000e+00
2.623238e-02 2.386892e-01 1.000000e+00
2.672106e-02 2.807533e-01 1.000000e+00
2.721885e-02 3.298697e-01 1.000000e+00
2.772591e-02 3.871581e-01 1.000000e+00
2.824241e-02 4.539054e-01 1.000000e+00
2.876854e-02 5.315892e-01 1.000000e+00
2.930447e-02 6.219039e-01 1.000000e+00
2.985038e-02 7.267909e-01 1.000000e+00
3.040646e-02 8.484718e-01 1.000000e+00
3.097291e-02 9.894860e-01 1.000000e+00
3.154990e-02 1.152733e+00 1.000000e+00
3.213764e-02 1.341521e+00 1.000000e+00
3.273634e-02 1.559617e+00 1.000000e+00
3.334618e-02 1.811312e+00 1.000000e+00
3.396739e-02 2.101481e+00 1.000000e+00
3.460016e-02 2.435663e+00 1.000000e+00
3.524473e-02 2.820142e+00 1.000000e+00
3.590130e-02 3.262040e+00 1.000000e+00
3.657011e-02 3.769419e+00 1.000000e+00
3.725137e-02 4.351399e+00 1.000000e+00
3.794533e-02 5.018282e+00 1.000000e+00
3.865221e-02 5.781698e+00 1.000000e+00
3.937226e-02 6.654755e+00 1.000000e+00
4.010573e-02 7.652222e+00 1.000000e+00
4.085286e-02 8.790713e+00 1.000000e+00
4.161391e-02 1.008891e+01 1.000000e+00
4.238913e-02 1.156777e+01 1.000000e+00
4.317880e-02 1.325083e+01 1.000000e+00
4.398317e-02 1.516445e+01 1.000000e+00
4.480254e-02 1.733814e+01 1.000000e+00
4.563716e-02 1.980492e+01 1.000000e+00
4.648734e-02 2.260165e+01 1.000000e+00
4.735335e-02 2.576951e+01 1.000000e+00
4.823549e-02 2.935440e+01 1.000000e+00
4.913407e-02 3.340746e+01 1.000000e+00
5.004939e-02 3.798558e+01 1.000000e+00
5.098176e-02 4.315205e+01 1.000000e+00
5.193150e-02 4.897713e+01 1.000000e+00
5.289893e-02 5.553883e+01 1.000000e+00
5.388438e-02 6.292358e+01 1.000000e+00
5.488820e-02 7.122714e+01 1.000000e+00
5.591071e-02 8.055546e+01 1.000000e+00
5.695227e-02 9.102563e+01 1.000000e+00
5.801323e-02 1.027670e+02 1.000000e+00
5.909396e-02 1.159223e+02 1.000000e+00
6.019482e-02 1.306487e+02 1.000000e+00
6.131619e-02 1.471194e+02 1.000000e+00
6.245845e-02 1.655251e+02 1.000000e+00
6.362198e-02 1.860751e+02 1.000000e+00
6.480720e-02 2.089995e+02 1.000000e+00
6.601449e-02 2.345504e+02 1.000000e+00
6.724427e-02 2.630045e+02 1.000000e+00
6.849697e-02 2.946645e+02 1.000000e+00
6.977300e-02 3.298617e+02 1.000000e+00
7.107280e-02 3.689581e+02 1.000000e+00
7.239681e-02 4.123491e+02 1.000000e+00
7.374549e-02 4.604659e+02 1.000000e+00
7.511929e-02 5.137786e+02 1.000000e+00
7.651869e-02 5.727990e+02 1.000000e+00
7.794416e-02 6.380839e+02 1.000000e+00
7.939618e-02 7.102384e+02 1.000000e+00
8.087525e-02 7.899198e+02 1.000000e+00
8.238187e-02 8.778407e+02 1.000000e+00
8.391656e-02 9.747739e+02 1.000000e+00
8.547985e-02 1.081556e+03 1.000000e+00
8.707225e-02 1.199092e+03 1.000000e+00
8.869432e-02 1.328359e+03 1.000000e+00
9.034660e-02 1.470415e+03 1.000000e+00
9.202967e-02 1.626398e+03 1.000000e+00
9.374409e-02 1.797537e+03 1.000000e+00
9.549045e-02 1.985153e+03 1.000000e+00
9.726934e-02 2.190669e+03 1.000000e+00
9.908137e-02 2.415612e+03 1.000000e+00
1.009272e-01 2.661625e+03 1.000000e+00
1.028073e-01 2.930466e+03 1.000000e+00
1.047225e-01 3.224023e+03 1.000000e+00
1.066734e-01 3.544314e+03 1.000000e+00
1.086606e-01 3.893499e+03 1.000000e+00
1.106848e-01 4.273886e+03 1.000000e+00
1.127468e-01 4.687937e+03 1.000000e+00
1.148472e-01 5.138279e+03 1.000000e+00
1.169866e-01 5.627711e+03 1.000000e+00
1.191660e-01 6.159208e+03 1.000000e+00
1.213859e-01 6.735938e+03 1.000000e+00
1.236472e-01 7.361262e+03 1.000000e+00
1.259506e-01 8.038747e+03 1.000000e+00
1.282970e-01 8.772174e+03 1.000000e+00
1.306870e-01 9.565545e+03 1.000000e+00
1.331216e-01 1.042309e+04 1.000000e+00
1.356015e-01 1.134929e+04 1.000000e+00
1.381276e-01 1.234886e+04 1.000000e+00
1.407008e-01 1.342676e+04 1.000000e+00
1.433219e-01 1.458825e+04 1.000000e+00
1.459919e-01 1.583883e+04 1.000000e+00
1.487115e-01 1.718428e+04 1.000000e+00
1.514819e-01 1.863068e+04 1.000000e+00
1.543038e-01 2.018439e+04 1.000000e+00
1.571784e-01 2.185206e+04 1.000000e+00
1.601064e-01 2.364067e+04 1.000000e+00
1.630891e-01 2.555747e+04 1.000000e+00
1.661273e-01 2.761005e+04 1.000000e+00
1.692220e-01 2.980629e+04 1.000000e+00
1.723745e-01 3.215439e+04 1.000000e+00
1.755856e-01 3.466288e+04 1.000000e+00
1.788566e-01 3.734058e+04 1.000000e+00
1.821885e-01 4.019664e+04 1.000000e+00
1.855825e-01 4.324050e+04 1.000000e+00
1.890397e-01 4.648192e+04 1.000000e+00
1.925614e-01 4.993095e+04 1.000000e+00
1.961486e-01 5.359793e+04 1.000000e+00
1.998026e-01 5.749348e+04 1.000000e+00
2.035248e-01 6.162850e+04 1.000000e+00
2.073162e-01 6.601413e+04 1.000000e+00
2.111783e-01 7.066177e+04 1.000000e+00
2.151123e-01 7.558307e+04 1.000000e+00
2.191197e-01 8.078987e+04 1.000000e+00
2.232016e-01 8.629425e+04 1.000000e+00
2.273597e-01 9.210847e+04 1.000000e+00
2.315951e-01 9.824498e+04 1.000000e+00
2.359095e-01 1.047164e+05 1.000000e+00
2.403043e-01 1.115356e+05 1.000000e+00
2.447809e-01 1.187154e+05 1.000000e+00
2.493409e-01 1.262692e+05 1.000000e+00
2.539859e-01 1.342102e+05 1.000000e+00
2.587174e-01 1.425519e+05 1.000000e+00
2.635371e-01 1.513084e+05 1.000000e+00
2.684465e-01 1.604935e+05 1.000000e+00
2.734474e-01 1.701220e+05 1.000000e+00
2.785414e-01 1.802086e+05 1.000000e+00
2.837304e-01 1.907689e+05 1.000000e+00
2.890160e-01 2.018190e+05 1.000000e+00
2.944000e-01 2.133759e+05 1.000000e+00
2.998844e-01 2.254575e+05 1.000000e+00
3.054710e-01 2.380830e+05 1.000000e+00
3.111616e-01 2.512728e+05 1.000000e+00
3.169582e-01 2.650493e+05 1.000000e+00
3.228628e-01 2.794367e+05 1.000000e+00
3.288774e-01 2.944615e+05 1.000000e+00
3.350041e-01 3.101530e+05 1.000000e+00
3.412449e-01 3.265434e+05 1.000000e+00
3.476019e-01 3.436686e+05 1.000000e+00
3.540774e-01 3.615684e+05 1.000000e+00
3.606735e-01 3.802869e+05 1.000000e+00
3.673925e-01 3.998735e+05 1.000000e+00
3.742366e-01 4.203827e+05 1.000000e+00
3.812083e-01 4.418753e+05 1.000000e+00
3.883098e-01 4.644186e+05 1.000000e+00
3.955436e-01 4.880869e+05 1.000000e+00
4.029122e-01 5.129622e+05 1.000000e+00
4.104181e-01 5.391345e+05 1.000000e+00
4.180637e-01 5.667025e+05 1.000000e+00
4.258518e-01 5.957740e+05 1.000000e+00
4.337850e-01 6.264660e+05 1.000000e+00
4.418660e-01 6.589052e+05 1.000000e+00
4.500975e-01 6.932284e+05 1.000000e+00
4.584824e-01 7.295823e+05 1.000000e+00
4.670234e-01 7.681238e+05 1.000000e+00
