# Li9 + d > Be10 + n   [Li9dTOBe10n]   ref=TALYS2
# detailed balance: alpha=14.49 beta=0 gamma=-202.058  Q=17.412
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.104148e-35 1.000000e+02
1.037605e-03 1.227215e-35 1.000000e+02
1.056935e-03 1.373086e-35 1.000000e+02
1.076624e-03 1.546597e-35 1.000000e+02
1.096681e-03 1.753784e-35 1.000000e+02
1.117111e-03 2.002225e-35 1.000000e+02
1.137921e-03 2.301471e-35 1.000000e+02
1.159120e-03 2.663616e-35 1.000000e+02
1.180713e-03 3.104056e-35 1.000000e+02
1.202708e-03 3.642478e-35 1.000000e+02
1.225114e-03 4.304193e-35 1.000000e+02
1.247936e-03 5.121911e-35 1.000000e+02
1.271184e-03 6.138124e-35 1.000000e+02
1.294865e-03 7.408336e-35 1.000000e+02
1.318987e-03 9.005438e-35 1.000000e+02
1.343558e-03 1.102570e-34 1.000000e+02
1.368587e-03 1.359699e-34 1.000000e+02
1.394083e-03 1.689011e-34 1.000000e+02
1.420053e-03 2.113455e-34 1.000000e+02
1.446507e-03 2.664051e-34 1.000000e+02
1.473454e-03 3.382976e-34 1.000000e+02
1.500903e-03 4.327930e-34 1.000000e+02
1.528864e-03 5.578330e-34 1.000000e+02
1.557345e-03 7.244175e-34 1.000000e+02
1.586357e-03 9.478778e-34 1.000000e+02
1.615909e-03 1.249719e-33 1.000000e+02
1.646012e-03 1.660301e-33 1.000000e+02
1.676675e-03 2.222766e-33 1.000000e+02
1.707910e-03 2.998825e-33 1.000000e+02
1.739726e-03 4.077340e-33 1.000000e+02
1.772136e-03 5.587131e-33 1.000000e+02
1.805149e-03 7.716229e-33 1.000000e+02
1.838777e-03 1.074097e-32 1.000000e+02
1.873032e-03 1.507031e-32 1.000000e+02
1.907924e-03 2.131369e-32 1.000000e+02
1.943467e-03 3.038583e-32 1.000000e+02
1.979672e-03 4.366944e-32 1.000000e+02
2.016551e-03 6.326973e-32 1.000000e+02
2.054117e-03 9.241536e-32 1.000000e+02
2.092383e-03 1.360943e-31 1.000000e+02
2.131362e-03 2.020699e-31 1.000000e+02
2.171068e-03 3.025150e-31 1.000000e+02
2.211512e-03 4.566607e-31 1.000000e+02
2.252711e-03 6.951203e-31 1.000000e+02
2.294676e-03 1.066998e-30 1.000000e+02
2.337424e-03 1.651668e-30 1.000000e+02
2.380968e-03 2.578430e-30 1.000000e+02
2.425323e-03 4.059560e-30 1.000000e+02
2.470504e-03 6.446321e-30 1.000000e+02
2.516527e-03 1.032457e-29 1.000000e+02
2.563407e-03 1.667928e-29 1.000000e+02
2.611161e-03 2.717975e-29 1.000000e+02
2.659804e-03 4.467809e-29 1.000000e+02
2.709354e-03 7.408711e-29 1.000000e+02
2.759826e-03 1.239389e-28 1.000000e+02
2.811239e-03 2.091738e-28 1.000000e+02
2.863610e-03 3.561720e-28 1.000000e+02
2.916956e-03 6.119034e-28 1.000000e+02
2.971296e-03 1.060705e-27 1.000000e+02
3.026648e-03 1.855399e-27 1.000000e+02
3.083031e-03 3.280022e-27 1.000000e+02
3.140465e-03 5.878090e-27 1.000000e+02
3.198969e-03 1.071200e-26 1.000000e+02
3.258562e-03 1.991293e-26 1.000000e+02
3.319266e-03 3.787781e-26 1.000000e+02
3.381101e-03 7.395617e-26 1.000000e+02
3.444087e-03 1.486822e-25 1.000000e+02
3.508247e-03 3.087404e-25 1.000000e+02
3.573602e-03 6.642522e-25 1.000000e+02
3.640175e-03 1.485362e-24 1.000000e+02
3.707988e-03 3.462954e-24 1.000000e+02
3.777064e-03 8.443664e-24 1.000000e+02
3.847427e-03 2.159932e-23 1.000000e+02
3.919100e-03 5.814722e-23 1.000000e+02
3.992109e-03 1.652543e-22 1.000000e+02
4.066478e-03 4.963947e-22 1.000000e+02
4.142232e-03 1.561100e-21 1.000000e+02
4.219398e-03 5.072819e-21 1.000000e+02
4.298001e-03 1.680999e-20 1.000000e+02
4.378069e-03 5.606212e-20 1.000000e+02
4.459628e-03 1.857120e-19 1.000000e+02
4.542706e-03 6.030633e-19 1.000000e+02
4.627332e-03 1.894624e-18 1.000000e+02
4.713535e-03 5.683354e-18 1.000000e+02
4.801343e-03 1.606543e-17 1.000000e+02
4.890787e-03 4.223478e-17 1.000000e+02
4.981898e-03 1.019114e-16 1.000000e+02
5.074705e-03 2.232671e-16 1.000000e+02
5.169242e-03 4.466683e-16 1.000000e+02
5.265540e-03 8.268465e-16 1.000000e+02
5.363631e-03 1.435090e-15 1.000000e+02
5.463550e-03 2.366372e-15 1.000000e+02
5.565331e-03 3.756399e-15 1.000000e+02
5.669007e-03 5.816751e-15 1.000000e+02
5.774615e-03 8.903165e-15 1.000000e+02
5.882190e-03 1.364893e-14 1.000000e+02
5.991770e-03 2.123628e-14 1.000000e+02
6.103390e-03 3.389660e-14 1.000000e+02
6.217090e-03 5.542274e-14 1.000000e+02
6.332908e-03 9.233583e-14 1.000000e+02
6.450884e-03 1.559190e-13 1.000000e+02
6.571058e-03 2.654425e-13 1.000000e+02
6.693470e-03 4.531898e-13 1.000000e+02
6.818162e-03 7.718349e-13 1.000000e+02
6.945178e-03 1.304365e-12 1.000000e+02
7.074559e-03 2.176164e-12 1.000000e+02
7.206351e-03 3.578541e-12 1.000000e+02
7.340598e-03 5.807598e-12 1.000000e+02
7.477346e-03 9.314398e-12 1.000000e+02
7.616642e-03 1.478334e-11 1.000000e+02
7.758532e-03 2.325097e-11 1.000000e+02
7.903066e-03 3.628709e-11 1.000000e+02
8.050292e-03 5.627050e-11 1.000000e+02
8.200261e-03 8.662712e-11 1.000000e+02
8.353023e-03 1.318415e-10 1.000000e+02
8.508632e-03 1.974855e-10 1.000000e+02
8.667139e-03 2.898427e-10 1.000000e+02
8.828599e-03 4.149471e-10 1.000000e+02
8.993067e-03 5.768806e-10 1.000000e+02
9.160598e-03 7.771666e-10 1.000000e+02
9.331251e-03 1.023158e-09 1.000000e+02
9.505083e-03 1.331489e-09 1.000000e+02
9.682153e-03 1.732470e-09 1.000000e+02
9.862522e-03 2.279782e-09 1.000000e+02
1.004625e-02 3.068785e-09 1.000000e+02
1.023340e-02 4.249497e-09 1.000000e+02
1.042404e-02 6.020289e-09 1.000000e+02
1.061823e-02 8.666826e-09 1.000000e+02
1.081604e-02 1.259274e-08 1.000000e+02
1.101753e-02 1.834223e-08 1.000000e+02
1.122277e-02 2.665180e-08 1.000000e+02
1.143184e-02 3.866686e-08 1.000000e+02
1.164481e-02 5.612684e-08 1.000000e+02
1.186174e-02 8.167767e-08 1.000000e+02
1.208271e-02 1.194012e-07 1.000000e+02
1.230780e-02 1.755045e-07 1.000000e+02
1.253708e-02 2.592308e-07 1.000000e+02
