# N13 + a > F17 + g   [N13aTOF17g]   ref=TALYS2
# detailed balance: alpha=1.7623e+10 beta=1.5 gamma=-67.5231  Q=5.8187
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 9.998499e-36 1.000000e+02
1.037605e-03 9.997130e-36 1.000000e+02
1.056935e-03 9.995889e-36 1.000000e+02
1.076624e-03 9.994771e-36 1.000000e+02
1.096681e-03 9.993774e-36 1.000000e+02
1.117111e-03 9.992891e-36 1.000000e+02
1.137921e-03 9.992119e-36 1.000000e+02
1.159120e-03 9.991454e-36 1.000000e+02
1.180713e-03 9.990892e-36 1.000000e+02
1.202708e-03 9.990428e-36 1.000000e+02
1.225114e-03 9.990058e-36 1.000000e+02
1.247936e-03 9.989778e-36 1.000000e+02
1.271184e-03 9.989583e-36 1.000000e+02
1.294865e-03 9.989470e-36 1.000000e+02
1.318987e-03 9.989435e-36 1.000000e+02
1.343558e-03 9.989472e-36 1.000000e+02
1.368587e-03 9.989578e-36 1.000000e+02
1.394083e-03 9.989748e-36 1.000000e+02
1.420053e-03 9.989980e-36 1.000000e+02
1.446507e-03 9.990267e-36 1.000000e+02
1.473454e-03 9.990606e-36 1.000000e+02
1.500903e-03 9.990993e-36 1.000000e+02
1.528864e-03 9.991424e-36 1.000000e+02
1.557345e-03 9.991894e-36 1.000000e+02
1.586357e-03 9.992399e-36 1.000000e+02
1.615909e-03 9.992935e-36 1.000000e+02
1.646012e-03 9.993498e-36 1.000000e+02
1.676675e-03 9.994084e-36 1.000000e+02
1.707910e-03 9.994688e-36 1.000000e+02
1.739726e-03 9.995306e-36 1.000000e+02
1.772136e-03 9.995934e-36 1.000000e+02
1.805149e-03 9.996568e-36 1.000000e+02
1.838777e-03 9.997203e-36 1.000000e+02
1.873032e-03 9.997836e-36 1.000000e+02
1.907924e-03 9.998462e-36 1.000000e+02
1.943467e-03 9.999077e-36 1.000000e+02
1.979672e-03 9.999676e-36 1.000000e+02
2.016551e-03 1.000026e-35 1.000000e+02
2.054117e-03 1.000081e-35 1.000000e+02
2.092383e-03 1.000134e-35 1.000000e+02
2.131362e-03 1.000184e-35 1.000000e+02
2.171068e-03 1.000230e-35 1.000000e+02
2.211512e-03 1.000272e-35 1.000000e+02
2.252711e-03 1.000309e-35 1.000000e+02
2.294676e-03 1.000342e-35 1.000000e+02
2.337424e-03 1.000369e-35 1.000000e+02
2.380968e-03 1.000390e-35 1.000000e+02
2.425323e-03 1.000406e-35 1.000000e+02
2.470504e-03 1.000414e-35 1.000000e+02
2.516527e-03 1.000416e-35 1.000000e+02
2.563407e-03 1.000410e-35 1.000000e+02
2.611161e-03 1.000397e-35 1.000000e+02
2.659804e-03 1.000375e-35 1.000000e+02
2.709354e-03 1.000344e-35 1.000000e+02
2.759826e-03 1.000305e-35 1.000000e+02
2.811239e-03 1.000255e-35 1.000000e+02
2.863610e-03 1.000196e-35 1.000000e+02
2.916956e-03 1.000127e-35 1.000000e+02
2.971296e-03 1.000046e-35 1.000000e+02
3.026648e-03 9.999548e-36 1.000000e+02
3.083031e-03 9.998542e-36 1.000000e+02
3.140465e-03 9.997487e-36 1.000000e+02
3.198969e-03 9.996429e-36 1.000000e+02
3.258562e-03 9.995412e-36 1.000000e+02
3.319266e-03 9.994481e-36 1.000000e+02
3.381101e-03 9.993681e-36 1.000000e+02
3.444087e-03 9.993055e-36 1.000000e+02
3.508247e-03 9.992649e-36 1.000000e+02
3.573602e-03 9.992508e-36 1.000000e+02
3.640175e-03 9.992675e-36 1.000000e+02
3.707988e-03 9.993196e-36 1.000000e+02
3.777064e-03 9.994116e-36 1.000000e+02
3.847427e-03 9.995478e-36 1.000000e+02
3.919100e-03 9.997328e-36 1.000000e+02
3.992109e-03 9.999712e-36 1.000000e+02
4.066478e-03 1.000264e-35 1.000000e+02
4.142232e-03 1.000592e-35 1.000000e+02
4.219398e-03 1.000929e-35 1.000000e+02
4.298001e-03 1.001251e-35 1.000000e+02
4.378069e-03 1.001532e-35 1.000000e+02
4.459628e-03 1.001745e-35 1.000000e+02
4.542706e-03 1.001865e-35 1.000000e+02
4.627332e-03 1.001866e-35 1.000000e+02
4.713535e-03 1.001723e-35 1.000000e+02
4.801343e-03 1.001410e-35 1.000000e+02
4.890787e-03 1.000901e-35 1.000000e+02
4.981898e-03 1.000171e-35 1.000000e+02
5.074705e-03 9.992019e-36 1.000000e+02
5.169242e-03 9.980169e-36 1.000000e+02
5.265540e-03 9.966602e-36 1.000000e+02
5.363631e-03 9.951759e-36 1.000000e+02
5.463550e-03 9.936074e-36 1.000000e+02
5.565331e-03 9.919983e-36 1.000000e+02
5.669007e-03 9.903916e-36 1.000000e+02
5.774615e-03 9.888302e-36 1.000000e+02
5.882190e-03 9.873567e-36 1.000000e+02
5.991770e-03 9.860135e-36 1.000000e+02
6.103390e-03 9.848336e-36 1.000000e+02
6.217090e-03 9.838039e-36 1.000000e+02
6.332908e-03 9.828972e-36 1.000000e+02
6.450884e-03 9.820865e-36 1.000000e+02
6.571058e-03 9.813448e-36 1.000000e+02
6.693470e-03 9.806454e-36 1.000000e+02
6.818162e-03 9.799613e-36 1.000000e+02
6.945178e-03 9.792661e-36 1.000000e+02
7.074559e-03 9.785372e-36 1.000000e+02
7.206351e-03 9.778205e-36 1.000000e+02
7.340598e-03 9.772183e-36 1.000000e+02
7.477346e-03 9.768342e-36 1.000000e+02
7.616642e-03 9.767719e-36 1.000000e+02
7.758532e-03 9.771350e-36 1.000000e+02
7.903066e-03 9.780282e-36 1.000000e+02
8.050292e-03 9.795536e-36 1.000000e+02
8.200261e-03 9.816215e-36 1.000000e+02
8.353023e-03 9.838464e-36 1.000000e+02
8.508632e-03 9.858150e-36 1.000000e+02
8.667139e-03 9.871105e-36 1.000000e+02
8.828599e-03 9.873150e-36 1.000000e+02
8.993067e-03 9.860132e-36 1.000000e+02
9.160598e-03 9.831343e-36 1.000000e+02
9.331251e-03 9.801362e-36 1.000000e+02
9.505083e-03 9.788920e-36 1.000000e+02
9.682153e-03 9.812718e-36 1.000000e+02
9.862522e-03 9.891936e-36 1.000000e+02
1.004625e-02 1.004703e-35 1.000000e+02
1.023340e-02 1.028847e-35 1.000000e+02
1.042404e-02 1.060412e-35 1.000000e+02
1.061823e-02 1.097854e-35 1.000000e+02
1.081604e-02 1.139448e-35 1.000000e+02
1.101753e-02 1.183204e-35 1.000000e+02
1.122277e-02 1.227495e-35 1.000000e+02
1.143184e-02 1.272658e-35 1.000000e+02
1.164481e-02 1.319527e-35 1.000000e+02
1.186174e-02 1.369057e-35 1.000000e+02
1.208271e-02 1.422335e-35 1.000000e+02
1.230780e-02 1.480134e-35 1.000000e+02
1.253708e-02 1.542653e-35 1.000000e+02
1.277063e-02 1.610045e-35 1.000000e+02
1.300854e-02 1.682464e-35 1.000000e+02
1.325087e-02 1.760135e-35 1.000000e+02
1.349772e-02 1.843597e-35 1.000000e+02
1.374917e-02 1.933524e-35 1.000000e+02
1.400531e-02 2.030672e-35 1.000000e+02
1.426621e-02 2.135873e-35 1.000000e+02
1.453198e-02 2.249958e-35 1.000000e+02
1.480269e-02 2.373836e-35 1.000000e+02
1.507845e-02 2.508525e-35 1.000000e+02
1.535935e-02 2.655185e-35 1.000000e+02
1.564548e-02 2.815166e-35 1.000000e+02
1.593694e-02 2.990000e-35 1.000000e+02
1.623382e-02 3.181424e-35 1.000000e+02
1.653624e-02 3.391440e-35 1.000000e+02
1.684430e-02 3.622344e-35 1.000000e+02
1.715809e-02 3.876760e-35 1.000000e+02
1.747773e-02 4.157694e-35 1.000000e+02
1.780332e-02 4.468599e-35 1.000000e+02
1.813498e-02 4.813445e-35 1.000000e+02
1.847281e-02 5.196785e-35 1.000000e+02
1.881694e-02 5.623834e-35 1.000000e+02
1.916748e-02 6.100621e-35 1.000000e+02
1.952456e-02 6.634132e-35 1.000000e+02
1.988828e-02 7.232483e-35 1.000000e+02
2.025878e-02 7.905163e-35 1.000000e+02
2.063618e-02 8.663664e-35 1.000000e+02
2.102061e-02 9.521807e-35 1.000000e+02
2.141220e-02 1.049600e-34 1.000000e+02
2.181109e-02 1.160579e-34 1.000000e+02
2.221741e-02 1.287455e-34 1.000000e+02
2.263130e-02 1.433030e-34 1.000000e+02
2.305289e-02 1.600680e-34 1.000000e+02
2.348235e-02 1.794482e-34 1.000000e+02
2.391980e-02 2.019385e-34 1.000000e+02
2.436540e-02 2.281415e-34 1.000000e+02
2.481930e-02 2.587940e-34 1.000000e+02
2.528166e-02 2.947997e-34 1.000000e+02
2.575263e-02 3.372550e-34 1.000000e+02
2.623238e-02 3.874947e-34 1.000000e+02
2.672106e-02 4.471640e-34 1.000000e+02
2.721885e-02 5.182975e-34 1.000000e+02
2.772591e-02 6.034203e-34 1.000000e+02
2.824241e-02 7.056783e-34 1.000000e+02
2.876854e-02 8.290051e-34 1.000000e+02
2.930447e-02 9.783374e-34 1.000000e+02
2.985038e-02 1.159895e-33 1.000000e+02
3.040646e-02 1.381583e-33 1.000000e+02
3.097291e-02 1.653914e-33 1.000000e+02
3.154990e-02 1.990854e-33 1.000000e+02
3.213764e-02 2.410850e-33 1.000000e+02
3.273634e-02 2.938456e-33 1.000000e+02
3.334618e-02 3.606621e-33 1.000000e+02
3.396739e-02 4.459929e-33 1.000000e+02
3.460016e-02 5.559240e-33 1.000000e+02
3.524473e-02 6.988384e-33 1.000000e+02
3.590130e-02 8.863921e-33 1.000000e+02
3.657011e-02 1.134950e-32 1.000000e+02
3.725137e-02 1.467719e-32 1.000000e+02
3.794533e-02 1.917957e-32 1.000000e+02
3.865221e-02 2.533834e-32 1.000000e+02
3.937226e-02 3.385903e-32 1.000000e+02
4.010573e-02 4.578697e-32 1.000000e+02
4.085286e-02 6.266977e-32 1.000000e+02
4.161391e-02 8.676515e-32 1.000000e+02
4.238913e-02 1.214138e-31 1.000000e+02
4.317880e-02 1.715897e-31 1.000000e+02
4.398317e-02 2.447255e-31 1.000000e+02
4.480254e-02 3.519625e-31 1.000000e+02
4.563716e-02 5.100438e-31 1.000000e+02
4.648734e-02 7.441786e-31 1.000000e+02
4.735335e-02 1.092370e-30 1.000000e+02
4.823549e-02 1.611945e-30 1.000000e+02
4.913407e-02 2.389367e-30 1.000000e+02
5.004939e-02 3.554939e-30 1.000000e+02
5.098176e-02 5.306006e-30 1.000000e+02
5.193150e-02 7.947225e-30 1.000000e+02
5.289893e-02 1.195027e-29 1.000000e+02
5.388438e-02 1.804916e-29 1.000000e+02
5.488820e-02 2.739396e-29 1.000000e+02
5.591071e-02 4.179976e-29 1.000000e+02
5.695227e-02 6.415287e-29 1.000000e+02
5.801323e-02 9.907952e-29 1.000000e+02
5.909396e-02 1.540562e-28 1.000000e+02
6.019482e-02 2.412706e-28 1.000000e+02
6.131619e-02 3.807291e-28 1.000000e+02
6.245845e-02 6.054294e-28 1.000000e+02
6.362198e-02 9.702414e-28 1.000000e+02
6.480720e-02 1.567106e-27 1.000000e+02
6.601449e-02 2.551247e-27 1.000000e+02
6.724427e-02 4.186733e-27 1.000000e+02
6.849697e-02 6.926284e-27 1.000000e+02
6.977300e-02 1.155209e-26 1.000000e+02
7.107280e-02 1.942505e-26 1.000000e+02
7.239681e-02 3.291708e-26 1.000000e+02
7.374549e-02 5.617924e-26 1.000000e+02
7.511929e-02 9.650798e-26 1.000000e+02
7.651869e-02 1.667710e-25 1.000000e+02
7.794416e-02 2.897245e-25 1.000000e+02
7.939618e-02 5.057019e-25 1.000000e+02
8.087525e-02 8.864269e-25 1.000000e+02
8.238187e-02 1.562838e-24 1.000000e+02
8.391656e-02 2.780319e-24 1.000000e+02
8.547985e-02 5.007162e-24 1.000000e+02
8.707225e-02 9.158230e-24 1.000000e+02
8.869432e-02 1.706714e-23 1.000000e+02
9.034660e-02 3.251131e-23 1.000000e+02
9.202967e-02 6.318937e-23 1.000000e+02
9.374409e-02 1.237200e-22 1.000000e+02
9.549045e-02 2.405725e-22 1.000000e+02
9.726934e-02 4.580206e-22 1.000000e+02
9.908137e-02 8.417451e-22 1.000000e+02
1.009272e-01 1.473016e-21 1.000000e+02
1.028073e-01 2.453710e-21 1.000000e+02
1.047225e-01 3.941568e-21 1.000000e+02
1.066734e-01 6.189233e-21 1.000000e+02
1.086606e-01 9.629839e-21 1.000000e+02
1.106848e-01 1.504724e-20 1.000000e+02
1.127468e-01 2.376815e-20 1.000000e+02
1.148472e-01 3.779824e-20 1.000000e+02
1.169866e-01 6.021858e-20 1.000000e+02
1.191660e-01 9.563505e-20 1.000000e+02
1.213859e-01 1.506907e-19 1.000000e+02
1.236472e-01 2.352927e-19 1.000000e+02
1.259506e-01 3.645456e-19 1.000000e+02
1.282970e-01 5.611912e-19 1.000000e+02
1.306870e-01 8.595471e-19 1.000000e+02
1.331216e-01 1.309152e-18 1.000000e+02
1.356015e-01 1.975072e-18 1.000000e+02
1.381276e-01 2.939084e-18 1.000000e+02
1.407008e-01 4.295992e-18 1.000000e+02
1.433219e-01 6.174706e-18 1.000000e+02
1.459919e-01 8.821835e-18 1.000000e+02
1.487115e-01 1.267743e-17 1.000000e+02
1.514819e-01 1.853330e-17 1.000000e+02
1.543038e-01 2.759863e-17 1.000000e+02
1.571784e-01 4.153342e-17 1.000000e+02
1.601064e-01 6.264659e-17 1.000000e+02
1.630891e-01 9.407431e-17 1.000000e+02
1.661273e-01 1.404786e-16 1.000000e+02
1.692220e-01 2.086153e-16 1.000000e+02
1.723745e-01 3.081135e-16 1.000000e+02
1.755856e-01 4.526218e-16 1.000000e+02
