    # BBN prediction of the primordial abundances (He-4 and Deuterium) as a function of
    # 1)the baryon density $\Omega_b h^2$ and
    # 2)the number of extra relativistic degrees of freedom $\Delta N$
    #
    # $\Delta N=0$ is the number of extra relativistic species (which mimic decoupled neutrinos).
    # If $\Delta N=0$, then $N_{eff} = 3.0440$ because of QED effects and Incomplete Neutrino decoupling (arXiv:2008.01074).
    #
    # Computation performed with PRIMAT (Python port by Cyril Pitrou 2018-2026)
    # Details on arXiv:1801.08023 and update arXiv:2011.11320
    # Last update 2026 (notably including the LUNA rate for the d(p,g)He3 reaction)
    #
    # Neutron Decay rate $\tau_n$ is 878.4s (+-0.5s), following Particle Data Group 2026
    # CMB temperature is 2.7255 K (without taking into account a possible uncertainty)
    #
    # He4 is given either as $Y^BBN_P = 4 Y_{He4}$ where $Y_{He4}$ is the ratio of He-4 number density to baryons number density.
    # He4 is also provided as $Y_P = Y_{He4} * m_{He4} /[Y_{He4} m_{He4} + (1 - 4*Y_{He4}) m_H1]$
    # where $m_{He4}=4.0026032541$ and $m_H1=1.00782503223$ are atomic masses.
    #
    # Deuterium is given as the ratio of its number density to the H1 number density and noted $D/H$.
    #
    # eta10 is $10^{10} eta_0$ where $eta_0$ is the density ratio between baryons and photons AT THE END OF BBN.
    # Hence eta10 ignores the extra production of He4 by stars after BBN. Whenever possible, working with $\Omega_b h^2$ is better.
    #
    # Errors are computed with a Monte-Carlo method on 1000 samples, varying nuclear rates and tau_n.
    # See PRIMAT paper (2018) for details.
    #
    # Ombh2       eta10       DeltaN          Yp              Yp^BBN          sig(Yp^BBN)     D/H             sig(D/H)
  0.005000    1.36874     -3.000000       0.177030        0.178073        0.0001056782    0.0001556627    1.189452e-06
  0.006000    1.64249     -3.000000       0.179567        0.180621        0.0001044453    0.00011693      9.113027e-07
  0.007000    1.91624     -3.000000       0.181539        0.182603        0.0001037579    9.196117e-05    7.319905e-07
  0.008000    2.18999     -3.000000       0.183146        0.184217        0.000103343     7.476877e-05    6.09212e-07
  0.009000    2.46374     -3.000000       0.184500        0.185577        0.0001031013    6.232528e-05    5.211335e-07
  0.010000    2.73748     -3.000000       0.185668        0.186751        0.0001029596    5.296166e-05    4.555561e-07
  0.011000    3.01123     -3.000000       0.186696        0.187783        0.0001028074    4.569428e-05    4.05241e-07
  0.012000    3.28498     -3.000000       0.187612        0.188703        0.0001026345    3.990995e-05    3.656537e-07
  0.013000    3.55873     -3.000000       0.188440        0.189535        0.0001025756    3.520945e-05    3.338324e-07
  0.014000    3.83248     -3.000000       0.189193        0.190291        0.0001024602    3.132276e-05    3.077697e-07
  0.015000    4.10623     -3.000000       0.189884        0.190986        0.0001024497    2.806152e-05    2.860732e-07
  0.016000    4.37997     -3.000000       0.190525        0.191629        0.0001023301    2.529041e-05    2.677407e-07
  0.017000    4.65372     -3.000000       0.191120        0.192227        0.0001023215    2.291027e-05    2.520408e-07
  0.018000    4.92747     -3.000000       0.191676        0.192785        0.0001023193    2.084665e-05    2.384244e-07
  0.019000    5.20122     -3.000000       0.192198        0.193310        0.0001021284    1.904264e-05    2.264826e-07
  0.020000    5.47497     -3.000000       0.192689        0.193803        0.0001021714    1.745419e-05    2.158994e-07
